Nov. 2, 2023   12:16:01
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\blank0_1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 1.2
Low E (V) = -0.25
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.005
Quiet Time (sec) = 8
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 1.195V
ip = -1.189e-7A
Ah = -2.833e-8C

Segment 2:
Ep = 0.395V
ip = 3.702e-6A
Ah = 3.246e-6C

Ep = -0.245V
ip = 1.749e-6A
Ah = 7.923e-7C

Segment 3:
Ep = 1.195V
ip = -3.284e-7A
Ah = -1.292e-7C

Segment 4:
Ep = 0.400V
ip = 4.025e-6A
Ah = 3.487e-6C

Ep = -0.240V
ip = 2.112e-6A
Ah = 9.547e-7C

Segment 5:
Ep = 1.195V
ip = -3.939e-7A
Ah = -1.682e-7C

Segment 6:
Ep = 0.405V
ip = 4.212e-6A
Ah = 3.415e-6C

Ep = -0.235V
ip = 1.726e-6A
Ah = 6.604e-7C

Segment 7:
Ep = 1.195V
ip = -3.512e-7A
Ah = -1.156e-7C

Segment 8:
Ep = 0.405V
ip = 4.383e-6A
Ah = 3.604e-6C

Ep = -0.235V
ip = 1.650e-6A
Ah = 6.369e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.245, -1.969e-6, -9.846e-8
-0.240, -1.871e-6, -1.920e-7
-0.235, -2.077e-6, -2.959e-7
-0.230, -2.065e-6, -3.991e-7
-0.225, -1.942e-6, -4.962e-7
-0.220, -2.123e-6, -6.024e-7
-0.215, -2.122e-6, -7.085e-7
-0.210, -1.965e-6, -8.067e-7
-0.205, -2.140e-6, -9.137e-7
-0.200, -2.129e-6, -1.020e-6
-0.195, -1.958e-6, -1.118e-6
-0.190, -2.087e-6, -1.222e-6
-0.185, -2.090e-6, -1.327e-6
-0.180, -1.868e-6, -1.420e-6
-0.175, -1.970e-6, -1.519e-6
-0.170, -1.976e-6, -1.618e-6
-0.165, -1.782e-6, -1.707e-6
-0.160, -1.850e-6, -1.799e-6
-0.155, -1.894e-6, -1.894e-6
-0.150, -1.716e-6, -1.980e-6
-0.145, -1.796e-6, -2.070e-6
-0.140, -1.869e-6, -2.163e-6
-0.135, -1.726e-6, -2.249e-6
-0.130, -1.800e-6, -2.339e-6
-0.125, -1.906e-6, -2.435e-6
-0.120, -1.763e-6, -2.523e-6
-0.115, -1.837e-6, -2.615e-6
-0.110, -1.932e-6, -2.711e-6
-0.105, -1.804e-6, -2.801e-6
-0.100, -1.849e-6, -2.894e-6
-0.095, -1.972e-6, -2.992e-6
-0.090, -1.850e-6, -3.085e-6
-0.085, -1.895e-6, -3.180e-6
-0.080, -2.063e-6, -3.283e-6
-0.075, -1.941e-6, -3.380e-6
-0.070, -1.964e-6, -3.478e-6
-0.065, -2.121e-6, -3.584e-6
-0.060, -1.943e-6, -3.681e-6
-0.055, -1.860e-6, -3.774e-6
-0.050, -1.894e-6, -3.869e-6
-0.045, -1.643e-6, -3.951e-6
-0.040, -1.484e-6, -4.025e-6
-0.035, -1.436e-6, -4.097e-6
-0.030, -1.213e-6, -4.158e-6
-0.025, -1.075e-6, -4.212e-6
-0.020, -1.035e-6, -4.263e-6
-0.015, -9.003e-7, -4.308e-6
-0.010, -8.055e-7, -4.349e-6
-0.005, -7.909e-7, -4.388e-6
-0.000, -6.992e-7, -4.423e-6
0.005, -6.383e-7, -4.455e-6
0.010, -6.386e-7, -4.487e-6
0.015, -5.860e-7, -4.516e-6
0.020, -5.363e-7, -4.543e-6
0.025, -5.368e-7, -4.570e-6
0.030, -4.947e-7, -4.595e-6
0.035, -4.603e-7, -4.618e-6
0.040, -4.662e-7, -4.641e-6
0.045, -4.401e-7, -4.663e-6
0.050, -4.101e-7, -4.683e-6
0.055, -4.193e-7, -4.704e-6
0.060, -4.053e-7, -4.725e-6
0.065, -3.906e-7, -4.744e-6
0.070, -3.993e-7, -4.764e-6
0.075, -3.895e-7, -4.784e-6
0.080, -3.628e-7, -4.802e-6
0.085, -3.779e-7, -4.821e-6
0.090, -3.733e-7, -4.839e-6
0.095, -3.569e-7, -4.857e-6
0.100, -3.641e-7, -4.875e-6
0.105, -3.641e-7, -4.894e-6
0.110, -3.516e-7, -4.911e-6
0.115, -3.564e-7, -4.929e-6
0.120, -3.582e-7, -4.947e-6
0.125, -3.462e-7, -4.964e-6
0.130, -3.547e-7, -4.982e-6
0.135, -3.590e-7, -5.000e-6
0.140, -3.487e-7, -5.017e-6
0.145, -3.547e-7, -5.035e-6
0.150, -3.582e-7, -5.053e-6
0.155, -3.514e-7, -5.071e-6
0.160, -3.545e-7, -5.088e-6
0.165, -3.610e-7, -5.106e-6
0.170, -3.526e-7, -5.124e-6
0.175, -3.557e-7, -5.142e-6
0.180, -3.614e-7, -5.160e-6
0.185, -3.544e-7, -5.178e-6
0.190, -3.562e-7, -5.195e-6
0.195, -3.644e-7, -5.214e-6
0.200, -3.553e-7, -5.231e-6
0.205, -3.581e-7, -5.249e-6
0.210, -3.707e-7, -5.268e-6
0.215, -3.608e-7, -5.286e-6
0.220, -3.630e-7, -5.304e-6
0.225, -3.830e-7, -5.323e-6
0.230, -3.627e-7, -5.341e-6
0.235, -3.671e-7, -5.360e-6
0.240, -3.911e-7, -5.379e-6
0.245, -3.776e-7, -5.398e-6
0.250, -3.777e-7, -5.417e-6
0.255, -4.004e-7, -5.437e-6
0.260, -3.900e-7, -5.456e-6
0.265, -3.893e-7, -5.476e-6
0.270, -4.030e-7, -5.496e-6
0.275, -4.026e-7, -5.516e-6
0.280, -4.000e-7, -5.536e-6
0.285, -4.072e-7, -5.557e-6
0.290, -4.056e-7, -5.577e-6
0.295, -4.050e-7, -5.597e-6
0.300, -4.214e-7, -5.618e-6
0.305, -4.205e-7, -5.639e-6
0.310, -4.166e-7, -5.660e-6
0.315, -4.443e-7, -5.682e-6
0.320, -4.439e-7, -5.704e-6
0.325, -4.369e-7, -5.726e-6
0.330, -4.509e-7, -5.749e-6
0.335, -4.519e-7, -5.771e-6
0.340, -4.492e-7, -5.794e-6
0.345, -4.576e-7, -5.817e-6
0.350, -4.626e-7, -5.840e-6
0.355, -4.554e-7, -5.863e-6
0.360, -4.827e-7, -5.887e-6
0.365, -4.925e-7, -5.911e-6
0.370, -4.841e-7, -5.936e-6
0.375, -5.023e-7, -5.961e-6
0.380, -5.080e-7, -5.986e-6
0.385, -5.036e-7, -6.011e-6
0.390, -5.274e-7, -6.038e-6
0.395, -5.464e-7, -6.065e-6
0.400, -5.362e-7, -6.092e-6
0.405, -5.550e-7, -6.120e-6
0.410, -5.766e-7, -6.148e-6
0.415, -5.683e-7, -6.177e-6
0.420, -5.924e-7, -6.206e-6
0.425, -6.063e-7, -6.237e-6
0.430, -6.032e-7, -6.267e-6
0.435, -6.293e-7, -6.298e-6
0.440, -6.512e-7, -6.331e-6
0.445, -6.487e-7, -6.363e-6
0.450, -6.758e-7, -6.397e-6
0.455, -7.105e-7, -6.433e-6
0.460, -7.102e-7, -6.468e-6
0.465, -7.404e-7, -6.505e-6
0.470, -7.829e-7, -6.544e-6
0.475, -7.890e-7, -6.584e-6
0.480, -8.178e-7, -6.625e-6
0.485, -8.741e-7, -6.668e-6
0.490, -8.905e-7, -6.713e-6
0.495, -9.262e-7, -6.759e-6
0.500, -1.001e-6, -6.809e-6
0.505, -1.024e-6, -6.860e-6
0.510, -1.073e-6, -6.914e-6
0.515, -1.163e-6, -6.972e-6
0.520, -1.197e-6, -7.032e-6
0.525, -1.241e-6, -7.094e-6
0.530, -1.343e-6, -7.161e-6
0.535, -1.379e-6, -7.230e-6
0.540, -1.410e-6, -7.301e-6
0.545, -1.507e-6, -7.376e-6
0.550, -1.545e-6, -7.453e-6
0.555, -1.559e-6, -7.531e-6
0.560, -1.657e-6, -7.614e-6
0.565, -1.685e-6, -7.699e-6
0.570, -1.688e-6, -7.783e-6
0.575, -1.779e-6, -7.872e-6
0.580, -1.807e-6, -7.962e-6
0.585, -1.803e-6, -8.052e-6
0.590, -1.890e-6, -8.147e-6
0.595, -1.935e-6, -8.244e-6
0.600, -1.918e-6, -8.340e-6
0.605, -1.998e-6, -8.439e-6
0.610, -2.038e-6, -8.541e-6
0.615, -2.018e-6, -8.642e-6
0.620, -2.097e-6, -8.747e-6
0.625, -2.139e-6, -8.854e-6
0.630, -2.110e-6, -8.960e-6
0.635, -2.171e-6, -9.068e-6
0.640, -2.207e-6, -9.178e-6
0.645, -2.179e-6, -9.287e-6
0.650, -2.236e-6, -9.399e-6
0.655, -2.282e-6, -9.513e-6
0.660, -2.243e-6, -9.625e-6
0.665, -2.289e-6, -9.740e-6
0.670, -2.340e-6, -9.857e-6
0.675, -2.299e-6, -9.972e-6
0.680, -2.341e-6, -1.009e-5
0.685, -2.385e-6, -1.021e-5
0.690, -2.347e-6, -1.033e-5
0.695, -2.376e-6, -1.044e-5
0.700, -2.425e-6, -1.057e-5
0.705, -2.390e-6, -1.069e-5
0.710, -2.412e-6, -1.081e-5
0.715, -2.471e-6, -1.093e-5
0.720, -2.434e-6, -1.105e-5
0.725, -2.451e-6, -1.117e-5
0.730, -2.508e-6, -1.130e-5
0.735, -2.477e-6, -1.142e-5
0.740, -2.481e-6, -1.155e-5
0.745, -2.536e-6, -1.167e-5
0.750, -2.510e-6, -1.180e-5
0.755, -2.514e-6, -1.192e-5
0.760, -2.562e-6, -1.205e-5
0.765, -2.543e-6, -1.218e-5
0.770, -2.544e-6, -1.231e-5
0.775, -2.590e-6, -1.244e-5
