Nov. 2, 2023   12:36:52
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\blank0_1new.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.390V
ip = 4.090e-6A
Ah = 3.485e-6C

Ep = -0.290V
ip = 2.435e-6A
Ah = 1.914e-6C

Segment 3:
Ep = -0.080V
ip = -2.860e-7A
Ah = -9.891e-8C

Segment 4:
Ep = 0.390V
ip = 4.399e-6A
Ah = 3.880e-6C

Ep = -0.290V
ip = 1.874e-6A
Ah = 1.667e-6C

Segment 5:

Segment 6:
Ep = 0.400V
ip = 4.426e-6A
Ah = 3.389e-6C

Ep = -0.290V
ip = 2.240e-6A
Ah = 1.894e-6C

Segment 7:

Segment 8:
Ep = 0.400V
ip = 4.557e-6A
Ah = 3.552e-6C

Potential/V, Current/A, Charge/C

Segment 1:
-0.240, -1.591e-6, -1.591e-7
-0.230, -1.640e-6, -3.230e-7
-0.220, -1.771e-6, -5.001e-7
-0.210, -1.861e-6, -6.862e-7
-0.200, -1.785e-6, -8.647e-7
-0.190, -1.715e-6, -1.036e-6
-0.180, -1.738e-6, -1.210e-6
-0.170, -1.709e-6, -1.381e-6
-0.160, -1.572e-6, -1.538e-6
-0.150, -1.525e-6, -1.691e-6
-0.140, -1.579e-6, -1.848e-6
-0.130, -1.555e-6, -2.004e-6
-0.120, -1.478e-6, -2.152e-6
-0.110, -1.487e-6, -2.301e-6
-0.100, -1.552e-6, -2.456e-6
-0.090, -1.562e-6, -2.612e-6
-0.080, -1.516e-6, -2.763e-6
-0.070, -1.529e-6, -2.916e-6
-0.060, -1.555e-6, -3.072e-6
-0.050, -1.469e-6, -3.219e-6
-0.040, -1.256e-6, -3.344e-6
-0.030, -1.034e-6, -3.448e-6
-0.020, -8.990e-7, -3.538e-6
-0.010, -8.036e-7, -3.618e-6
0.000, -7.068e-7, -3.689e-6
0.010, -6.224e-7, -3.751e-6
0.020, -5.759e-7, -3.809e-6
0.030, -5.522e-7, -3.864e-6
0.040, -5.213e-7, -3.916e-6
0.050, -4.855e-7, -3.964e-6
0.060, -4.721e-7, -4.012e-6
0.070, -4.661e-7, -4.058e-6
0.080, -4.660e-7, -4.105e-6
0.090, -4.501e-7, -4.150e-6
0.100, -4.449e-7, -4.194e-6
0.110, -4.443e-7, -4.239e-6
0.120, -4.529e-7, -4.284e-6
0.130, -4.500e-7, -4.329e-6
0.140, -4.497e-7, -4.374e-6
0.150, -4.480e-7, -4.419e-6
0.160, -4.516e-7, -4.464e-6
0.170, -4.532e-7, -4.509e-6
0.180, -4.538e-7, -4.555e-6
0.190, -4.518e-7, -4.600e-6
0.200, -4.553e-7, -4.645e-6
0.210, -4.572e-7, -4.691e-6
0.220, -4.646e-7, -4.738e-6
0.230, -4.599e-7, -4.784e-6
0.240, -4.640e-7, -4.830e-6
0.250, -4.762e-7, -4.878e-6
0.260, -4.912e-7, -4.927e-6
0.270, -4.946e-7, -4.976e-6
0.280, -4.934e-7, -5.026e-6
0.290, -5.023e-7, -5.076e-6
0.300, -5.129e-7, -5.127e-6
0.310, -5.309e-7, -5.180e-6
0.320, -5.381e-7, -5.234e-6
0.330, -5.483e-7, -5.289e-6
0.340, -5.565e-7, -5.344e-6
0.350, -5.868e-7, -5.403e-6
0.360, -5.943e-7, -5.463e-6
0.370, -6.026e-7, -5.523e-6
0.380, -6.137e-7, -5.584e-6
0.390, -6.469e-7, -5.649e-6
0.400, -6.704e-7, -5.716e-6
0.410, -6.883e-7, -5.785e-6
0.420, -7.085e-7, -5.856e-6
0.430, -7.449e-7, -5.930e-6
0.440, -7.895e-7, -6.009e-6
0.450, -8.244e-7, -6.091e-6
0.460, -8.585e-7, -6.177e-6
0.470, -9.068e-7, -6.268e-6
0.480, -9.852e-7, -6.367e-6
0.490, -1.065e-6, -6.473e-6
0.500, -1.145e-6, -6.588e-6
0.510, -1.228e-6, -6.710e-6
0.520, -1.337e-6, -6.844e-6
0.530, -1.452e-6, -6.989e-6
0.540, -1.536e-6, -7.143e-6
0.550, -1.600e-6, -7.303e-6
0.560, -1.656e-6, -7.468e-6
0.570, -1.742e-6, -7.643e-6
0.580, -1.813e-6, -7.824e-6
0.590, -1.865e-6, -8.010e-6
0.600, -1.907e-6, -8.201e-6
0.610, -1.987e-6, -8.400e-6
0.620, -2.064e-6, -8.606e-6
0.630, -2.123e-6, -8.818e-6
0.640, -2.153e-6, -9.034e-6
0.650, -2.186e-6, -9.252e-6
0.660, -2.251e-6, -9.477e-6
0.670, -2.314e-6, -9.709e-6
0.680, -2.344e-6, -9.943e-6
0.690, -2.355e-6, -1.018e-5
0.700, -2.392e-6, -1.042e-5
0.710, -2.458e-6, -1.066e-5
0.720, -2.497e-6, -1.091e-5
0.730, -2.513e-6, -1.116e-5
0.740, -2.528e-6, -1.142e-5
0.750, -2.574e-6, -1.167e-5
0.760, -2.621e-6, -1.194e-5
0.770, -2.652e-6, -1.220e-5
0.780, -2.668e-6, -1.247e-5
0.790, -2.705e-6, -1.274e-5
0.800, -2.761e-6, -1.302e-5
0.810, -2.809e-6, -1.330e-5
0.820, -2.833e-6, -1.358e-5
0.830, -2.869e-6, -1.387e-5
0.840, -2.931e-6, -1.416e-5
0.850, -2.988e-6, -1.446e-5
0.860, -3.040e-6, -1.476e-5
0.870, -3.079e-6, -1.507e-5
0.880, -3.135e-6, -1.538e-5
0.890, -3.200e-6, -1.570e-5
0.900, -3.268e-6, -1.603e-5
0.910, -3.317e-6, -1.636e-5
0.920, -3.364e-6, -1.670e-5
0.930, -3.434e-6, -1.704e-5
0.940, -3.517e-6, -1.739e-5
0.950, -3.570e-6, -1.775e-5
0.960, -3.619e-6, -1.811e-5
0.970, -3.680e-6, -1.848e-5
0.980, -3.747e-6, -1.886e-5
0.990, -3.814e-6, -1.924e-5
1.000, -3.860e-6, -1.962e-5
1.010, -3.898e-6, -2.001e-5
1.020, -3.958e-6, -2.041e-5
1.030, -4.015e-6, -2.081e-5
1.040, -4.057e-6, -2.122e-5
1.050, -4.081e-6, -2.162e-5
1.060, -4.109e-6, -2.203e-5
1.070, -4.144e-6, -2.245e-5
1.080, -4.177e-6, -2.287e-5
1.090, -4.192e-6, -2.329e-5
1.100, -4.192e-6, -2.371e-5
1.110, -4.214e-6, -2.413e-5
1.120, -4.241e-6, -2.455e-5
1.130, -4.255e-6, -2.498e-5
1.140, -4.258e-6, -2.540e-5
1.150, -4.263e-6, -2.583e-5
1.160, -4.292e-6, -2.626e-5
1.170, -4.324e-6, -2.669e-5
1.180, -4.351e-6, -2.712e-5
1.190, -4.380e-6, -2.756e-5
1.200, -4.436e-6, -2.801e-5
1.210, -4.514e-6, -2.846e-5
1.220, -4.614e-6, -2.892e-5
1.230, -4.717e-6, -2.939e-5
1.240, -4.848e-6, -2.988e-5

Segment 2:
1.250, -4.221e-6, -3.030e-5
1.240, -3.071e-6, -3.061e-5
1.230, -2.346e-6, -3.084e-5
1.220, -1.842e-6, -3.102e-5
1.210, -1.492e-6, -3.117e-5
1.200, -1.242e-6, -3.130e-5
1.190, -1.058e-6, -3.140e-5
1.180, -9.110e-7, -3.149e-5
1.170, -7.913e-7, -3.157e-5
1.160, -6.935e-7, -3.164e-5
1.150, -6.248e-7, -3.171e-5
1.140, -5.742e-7, -3.176e-5
1.130, -5.088e-7, -3.181e-5
1.120, -4.606e-7, -3.186e-5
1.110, -4.247e-7, -3.190e-5
1.100, -3.997e-7, -3.194e-5
1.090, -3.747e-7, -3.198e-5
1.080, -3.344e-7, -3.201e-5
1.070, -2.305e-7, -3.204e-5
1.060, -2.015e-7, -3.206e-5
1.050, -1.891e-7, -3.207e-5
1.040, -1.642e-7, -3.209e-5
1.030, -1.429e-7, -3.211e-5
1.020, -1.227e-7, -3.212e-5
1.010, -1.138e-7, -3.213e-5
1.000, -1.056e-7, -3.214e-5
0.990, -7.693e-8, -3.215e-5
0.980, -6.328e-8, -3.215e-5
0.970, -5.120e-8, -3.216e-5
0.960, -4.794e-8, -3.216e-5
0.950, -2.842e-8, -3.217e-5
0.940, -7.911e-9, -3.217e-5
0.930, 1.154e-8, -3.217e-5
0.920, 1.480e-8, -3.216e-5
0.910, 2.723e-8, -3.216e-5
0.900, 4.077e-8, -3.216e-5
0.890, 6.621e-8, -3.215e-5
0.880, 7.372e-8, -3.214e-5
0.870, 8.356e-8, -3.214e-5
0.860, 9.598e-8, -3.213e-5
0.850, 1.248e-7, -3.211e-5
0.840, 1.371e-7, -3.210e-5
0.830, 1.500e-7, -3.208e-5
0.820, 1.570e-7, -3.207e-5
0.810, 1.832e-7, -3.205e-5
0.800, 2.115e-7, -3.203e-5
0.790, 2.245e-7, -3.201e-5
0.780, 2.383e-7, -3.198e-5
0.770, 2.570e-7, -3.196e-5
0.760, 2.903e-7, -3.193e-5
0.750, 3.214e-7, -3.190e-5
0.740, 3.373e-7, -3.186e-5
0.730, 3.562e-7, -3.183e-5
0.720, 3.896e-7, -3.179e-5
0.710, 4.306e-7, -3.175e-5
0.700, 4.633e-7, -3.170e-5
0.690, 4.881e-7, -3.165e-5
0.680, 5.235e-7, -3.160e-5
0.670, 5.745e-7, -3.154e-5
0.660, 6.214e-7, -3.148e-5
0.650, 6.636e-7, -3.141e-5
0.640, 7.031e-7, -3.134e-5
0.630, 7.663e-7, -3.126e-5
0.620, 8.387e-7, -3.118e-5
