Nov. 2, 2023   12:30:10
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\blank0_5new.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.5
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.710V
ip = -1.356e-7A
Ah = -4.751e-9C

Segment 2:
Ep = 0.370V
ip = 1.559e-5A
Ah = 2.673e-6C

Ep = -0.090V
ip = 6.961e-6A
Ah = 8.240e-7C

Segment 3:
Ep = 1.240V
ip = -2.014e-6A
Ah = -2.196e-7C

Segment 4:
Ep = 0.370V
ip = 1.681e-5A
Ah = 3.001e-6C

Ep = -0.080V
ip = 7.566e-6A
Ah = 7.768e-7C

Segment 5:
Ep = 1.240V
ip = -1.968e-6A
Ah = -1.930e-7C

Segment 6:
Ep = 0.370V
ip = 1.775e-5A
Ah = 3.192e-6C

Ep = -0.080V
ip = 7.406e-6A
Ah = 7.856e-7C

Segment 7:
Ep = -0.060V
ip = -2.729e-6A
Ah = -2.120e-7C

Ep = 1.240V
ip = -2.076e-6A
Ah = -2.207e-7C

Segment 8:
Ep = 0.370V
ip = 1.807e-5A
Ah = 3.248e-6C

Ep = -0.080V
ip = 8.051e-6A
Ah = 8.376e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.240, -9.725e-6, -1.945e-7
-0.230, -1.018e-5, -3.981e-7
-0.220, -1.027e-5, -6.034e-7
-0.210, -1.019e-5, -8.072e-7
-0.200, -1.023e-5, -1.012e-6
-0.190, -1.016e-5, -1.215e-6
-0.180, -9.805e-6, -1.411e-6
-0.170, -9.178e-6, -1.595e-6
-0.160, -8.590e-6, -1.766e-6
-0.150, -8.213e-6, -1.931e-6
-0.140, -8.077e-6, -2.092e-6
-0.130, -8.110e-6, -2.254e-6
-0.120, -8.283e-6, -2.420e-6
-0.110, -8.458e-6, -2.589e-6
-0.100, -8.568e-6, -2.761e-6
-0.090, -8.754e-6, -2.936e-6
-0.080, -9.017e-6, -3.116e-6
-0.070, -9.506e-6, -3.306e-6
-0.060, -9.868e-6, -3.503e-6
-0.050, -9.519e-6, -3.694e-6
-0.040, -8.201e-6, -3.858e-6
-0.030, -6.391e-6, -3.986e-6
-0.020, -4.920e-6, -4.084e-6
-0.010, -3.918e-6, -4.162e-6
0.000, -3.292e-6, -4.228e-6
0.010, -2.870e-6, -4.286e-6
0.020, -2.535e-6, -4.336e-6
0.030, -2.276e-6, -4.382e-6
0.040, -2.055e-6, -4.423e-6
0.050, -1.877e-6, -4.461e-6
0.060, -1.753e-6, -4.496e-6
0.070, -1.674e-6, -4.529e-6
0.080, -1.619e-6, -4.561e-6
0.090, -1.581e-6, -4.593e-6
0.100, -1.548e-6, -4.624e-6
0.110, -1.506e-6, -4.654e-6
0.120, -1.466e-6, -4.683e-6
0.130, -1.449e-6, -4.712e-6
0.140, -1.449e-6, -4.741e-6
0.150, -1.442e-6, -4.770e-6
0.160, -1.444e-6, -4.799e-6
0.170, -1.425e-6, -4.828e-6
0.180, -1.407e-6, -4.856e-6
0.190, -1.401e-6, -4.884e-6
0.200, -1.386e-6, -4.911e-6
0.210, -1.400e-6, -4.939e-6
0.220, -1.407e-6, -4.968e-6
0.230, -1.412e-6, -4.996e-6
0.240, -1.408e-6, -5.024e-6
0.250, -1.400e-6, -5.052e-6
0.260, -1.390e-6, -5.080e-6
0.270, -1.402e-6, -5.108e-6
0.280, -1.425e-6, -5.136e-6
0.290, -1.444e-6, -5.165e-6
0.300, -1.470e-6, -5.195e-6
0.310, -1.479e-6, -5.224e-6
0.320, -1.488e-6, -5.254e-6
0.330, -1.509e-6, -5.284e-6
0.340, -1.547e-6, -5.315e-6
0.350, -1.595e-6, -5.347e-6
0.360, -1.652e-6, -5.380e-6
0.370, -1.711e-6, -5.414e-6
0.380, -1.756e-6, -5.449e-6
0.390, -1.810e-6, -5.486e-6
0.400, -1.880e-6, -5.523e-6
0.410, -1.996e-6, -5.563e-6
0.420, -2.121e-6, -5.606e-6
0.430, -2.252e-6, -5.651e-6
0.440, -2.415e-6, -5.699e-6
0.450, -2.573e-6, -5.750e-6
0.460, -2.765e-6, -5.806e-6
0.470, -3.015e-6, -5.866e-6
0.480, -3.367e-6, -5.933e-6
0.490, -3.834e-6, -6.010e-6
0.500, -4.443e-6, -6.099e-6
0.510, -5.162e-6, -6.202e-6
0.520, -5.890e-6, -6.320e-6
0.530, -6.571e-6, -6.451e-6
0.540, -7.175e-6, -6.595e-6
0.550, -7.762e-6, -6.750e-6
0.560, -8.270e-6, -6.915e-6
0.570, -8.687e-6, -7.089e-6
0.580, -9.006e-6, -7.269e-6
0.590, -9.190e-6, -7.453e-6
0.600, -9.354e-6, -7.640e-6
0.610, -9.516e-6, -7.830e-6
0.620, -9.731e-6, -8.025e-6
0.630, -9.963e-6, -8.224e-6
0.640, -1.014e-5, -8.427e-6
0.650, -1.025e-5, -8.632e-6
0.660, -1.025e-5, -8.837e-6
0.670, -1.021e-5, -9.041e-6
0.680, -1.021e-5, -9.245e-6
0.690, -1.025e-5, -9.450e-6
0.700, -1.033e-5, -9.657e-6
0.710, -1.040e-5, -9.865e-6
0.720, -1.039e-5, -1.007e-5
0.730, -1.033e-5, -1.028e-5
0.740, -1.022e-5, -1.048e-5
0.750, -1.017e-5, -1.069e-5
0.760, -1.017e-5, -1.089e-5
0.770, -1.019e-5, -1.109e-5
0.780, -1.022e-5, -1.130e-5
0.790, -1.016e-5, -1.150e-5
0.800, -1.009e-5, -1.170e-5
0.810, -1.002e-5, -1.190e-5
0.820, -9.998e-6, -1.210e-5
0.830, -1.007e-5, -1.231e-5
0.840, -1.016e-5, -1.251e-5
0.850, -1.026e-5, -1.271e-5
0.860, -1.032e-5, -1.292e-5
0.870, -1.035e-5, -1.313e-5
0.880, -1.039e-5, -1.334e-5
0.890, -1.047e-5, -1.354e-5
0.900, -1.062e-5, -1.376e-5
0.910, -1.080e-5, -1.397e-5
0.920, -1.097e-5, -1.419e-5
0.930, -1.108e-5, -1.441e-5
0.940, -1.117e-5, -1.464e-5
0.950, -1.124e-5, -1.486e-5
0.960, -1.140e-5, -1.509e-5
0.970, -1.158e-5, -1.532e-5
0.980, -1.178e-5, -1.556e-5
0.990, -1.195e-5, -1.580e-5
1.000, -1.206e-5, -1.604e-5
1.010, -1.214e-5, -1.628e-5
1.020, -1.222e-5, -1.652e-5
1.030, -1.235e-5, -1.677e-5
1.040, -1.251e-5, -1.702e-5
1.050, -1.267e-5, -1.728e-5
1.060, -1.280e-5, -1.753e-5
1.070, -1.289e-5, -1.779e-5
1.080, -1.292e-5, -1.805e-5
1.090, -1.298e-5, -1.831e-5
1.100, -1.307e-5, -1.857e-5
1.110, -1.319e-5, -1.883e-5
1.120, -1.334e-5, -1.910e-5
1.130, -1.345e-5, -1.937e-5
1.140, -1.351e-5, -1.964e-5
1.150, -1.353e-5, -1.991e-5
1.160, -1.359e-5, -2.018e-5
1.170, -1.371e-5, -2.045e-5
1.180, -1.387e-5, -2.073e-5
1.190, -1.405e-5, -2.101e-5
1.200, -1.421e-5, -2.130e-5
1.210, -1.435e-5, -2.158e-5
1.220, -1.451e-5, -2.187e-5
1.230, -1.472e-5, -2.217e-5
1.240, -1.504e-5, -2.247e-5

Segment 2:
1.250, -1.287e-5, -2.273e-5
1.240, -9.019e-6, -2.291e-5
1.230, -6.688e-6, -2.304e-5
1.220, -5.098e-6, -2.314e-5
1.210, -3.967e-6, -2.322e-5
1.200, -3.164e-6, -2.329e-5
1.190, -2.568e-6, -2.334e-5
1.180, -2.117e-6, -2.338e-5
1.170, -1.743e-6, -2.341e-5
1.160, -1.442e-6, -2.344e-5
1.150, -1.188e-6, -2.347e-5
1.140, -9.861e-7, -2.349e-5
1.130, -8.346e-7, -2.350e-5
1.120, -7.079e-7, -2.352e-5
1.110, -6.006e-7, -2.353e-5
1.100, -4.922e-7, -2.354e-5
1.090, -3.735e-7, -2.355e-5
1.080, -1.952e-7, -2.355e-5
1.070, -1.189e-7, -2.355e-5
1.060, -6.253e-8, -2.355e-5
1.050, -1.130e-8, -2.355e-5
1.040, 4.890e-8, -2.355e-5
1.030, 1.107e-7, -2.355e-5
1.020, 1.681e-7, -2.355e-5
1.010, 2.391e-7, -2.354e-5
1.000, 2.840e-7, -2.354e-5
0.990, 3.247e-7, -2.353e-5
0.980, 3.486e-7, -2.352e-5
0.970, 3.917e-7, -2.352e-5
0.960, 4.498e-7, -2.351e-5
0.950, 5.040e-7, -2.350e-5
0.940, 5.655e-7, -2.349e-5
0.930, 6.021e-7, -2.347e-5
0.920, 6.379e-7, -2.346e-5
0.910, 6.717e-7, -2.345e-5
0.900, 6.999e-7, -2.343e-5
0.890, 7.747e-7, -2.342e-5
0.880, 8.367e-7, -2.340e-5
0.870, 9.059e-7, -2.338e-5
0.860, 9.495e-7, -2.336e-5
0.850, 9.775e-7, -2.334e-5
0.840, 1.028e-6, -2.332e-5
0.830, 1.082e-6, -2.330e-5
0.820, 1.159e-6, -2.328e-5
0.810, 1.258e-6, -2.325e-5
0.800, 1.333e-6, -2.323e-5
0.790, 1.403e-6, -2.320e-5
0.780, 1.467e-6, -2.317e-5
0.770, 1.524e-6, -2.314e-5
0.760, 1.613e-6, -2.311e-5
0.750, 1.716e-6, -2.307e-5
0.740, 1.827e-6, -2.304e-5
0.730, 1.955e-6, -2.300e-5
0.720, 2.056e-6, -2.296e-5
0.710, 2.154e-6, -2.291e-5
