Nov. 2, 2023   14:02:41
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\clean0_1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.380V
ip = 5.335e-6A
Ah = 4.439e-6C

Ep = -0.080V
ip = 1.855e-6A
Ah = 1.061e-6C

Segment 3:
Segment 4:
Ep = 0.390V
ip = 5.334e-6A
Ah = 4.055e-6C

Segment 5:
Segment 6:
Ep = 0.390V
ip = 5.330e-6A
Ah = 4.126e-6C

Ep = -0.080V
ip = 1.464e-6A
Ah = 7.078e-7C

Segment 7:
Segment 8:
Ep = 0.390V
ip = 5.436e-6A
Ah = 4.350e-6C

Ep = -0.070V
ip = 1.217e-6A
Ah = 4.965e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.290, 9.687e-7, 9.687e-8
-0.280, 7.598e-7, 1.729e-7
-0.270, 6.456e-7, 2.374e-7
-0.260, 6.881e-7, 3.062e-7
-0.250, 5.599e-7, 3.622e-7
-0.240, 4.426e-7, 4.065e-7
-0.230, 3.666e-7, 4.431e-7
-0.220, 1.986e-7, 4.630e-7
-0.210, 7.235e-8, 4.702e-7
-0.200, 1.932e-8, 4.722e-7
-0.190, -8.026e-8, 4.641e-7
-0.180, -8.434e-8, 4.557e-7
-0.170, -2.861e-8, 4.528e-7
-0.160, 1.972e-7, 4.726e-7
-0.150, 4.208e-7, 5.146e-7
-0.140, 4.382e-7, 5.585e-7
-0.130, 3.582e-7, 5.943e-7
-0.120, 3.743e-7, 6.317e-7
-0.110, 5.771e-7, 6.894e-7
-0.100, 5.732e-7, 7.467e-7
-0.090, 3.751e-7, 7.843e-7
-0.080, 4.250e-7, 8.268e-7
-0.070, 4.287e-7, 8.696e-7
-0.060, 2.773e-7, 8.973e-7
-0.050, 3.135e-7, 9.287e-7
-0.040, 7.513e-7, 1.004e-6
-0.030, 1.334e-6, 1.137e-6
-0.020, 1.655e-6, 1.303e-6
-0.010, 1.536e-6, 1.456e-6
0.000, 1.516e-6, 1.608e-6
0.010, 1.396e-6, 1.748e-6
0.020, 1.376e-6, 1.885e-6
0.030, 1.346e-6, 2.020e-6
0.040, 1.254e-6, 2.145e-6
0.050, 1.275e-6, 2.273e-6
0.060, 1.616e-6, 2.434e-6
0.070, 1.865e-6, 2.621e-6
0.080, 1.753e-6, 2.796e-6
0.090, 1.694e-6, 2.965e-6
0.100, 1.523e-6, 3.118e-6
0.110, 1.553e-6, 3.273e-6
0.120, 1.592e-6, 3.432e-6
0.130, 1.633e-6, 3.596e-6
0.140, 1.781e-6, 3.774e-6
0.150, 1.813e-6, 3.955e-6
0.160, 1.764e-6, 4.131e-6
0.170, 1.666e-6, 4.298e-6
0.180, 1.563e-6, 4.454e-6
0.190, 1.621e-6, 4.616e-6
0.200, 1.635e-6, 4.780e-6
0.210, 1.460e-6, 4.926e-6
0.220, 1.322e-6, 5.058e-6
0.230, 1.226e-6, 5.181e-6
0.240, 1.107e-6, 5.291e-6
0.250, 1.061e-6, 5.397e-6
0.260, 1.097e-6, 5.507e-6
0.270, 1.147e-6, 5.622e-6
0.280, 1.079e-6, 5.730e-6
0.290, 1.045e-6, 5.834e-6
0.300, 1.059e-6, 5.940e-6
0.310, 9.552e-7, 6.036e-6
0.320, 9.346e-7, 6.129e-6
0.330, 8.914e-7, 6.218e-6
0.340, 8.336e-7, 6.301e-6
0.350, 8.254e-7, 6.384e-6
0.360, 7.810e-7, 6.462e-6
0.370, 7.918e-7, 6.541e-6
0.380, 7.898e-7, 6.620e-6
0.390, 7.387e-7, 6.694e-6
0.400, 7.452e-7, 6.769e-6
0.410, 7.559e-7, 6.844e-6
0.420, 6.865e-7, 6.913e-6
0.430, 5.789e-7, 6.971e-6
0.440, 5.029e-7, 7.021e-6
0.450, 4.471e-7, 7.066e-6
0.460, 3.844e-7, 7.104e-6
0.470, 3.281e-7, 7.137e-6
0.480, 2.198e-7, 7.159e-6
0.490, 6.127e-8, 7.165e-6
0.500, -1.326e-7, 7.152e-6
0.510, -4.639e-7, 7.105e-6
0.520, -6.959e-7, 7.036e-6
0.530, -9.156e-7, 6.944e-6
0.540, -1.100e-6, 6.834e-6
0.550, -1.269e-6, 6.707e-6
0.560, -1.410e-6, 6.566e-6
0.570, -1.536e-6, 6.413e-6
0.580, -1.645e-6, 6.248e-6
0.590, -1.751e-6, 6.073e-6
0.600, -1.861e-6, 5.887e-6
0.610, -1.972e-6, 5.690e-6
0.620, -2.050e-6, 5.485e-6
0.630, -2.120e-6, 5.273e-6
0.640, -2.169e-6, 5.056e-6
0.650, -2.216e-6, 4.834e-6
0.660, -2.251e-6, 4.609e-6
0.670, -2.287e-6, 4.380e-6
0.680, -2.315e-6, 4.149e-6
0.690, -2.334e-6, 3.916e-6
0.700, -2.353e-6, 3.680e-6
0.710, -2.371e-6, 3.443e-6
0.720, -2.385e-6, 3.205e-6
0.730, -2.393e-6, 2.965e-6
0.740, -2.397e-6, 2.726e-6
0.750, -2.401e-6, 2.485e-6
0.760, -2.405e-6, 2.245e-6
0.770, -2.404e-6, 2.004e-6
0.780, -2.411e-6, 1.763e-6
0.790, -2.409e-6, 1.523e-6
0.800, -2.418e-6, 1.281e-6
0.810, -2.426e-6, 1.038e-6
0.820, -2.429e-6, 7.953e-7
0.830, -2.449e-6, 5.504e-7
0.840, -2.456e-6, 3.048e-7
0.850, -2.477e-6, 5.713e-8
0.860, -2.499e-6, -1.927e-7
0.870, -2.519e-6, -4.446e-7
0.880, -2.545e-6, -6.991e-7
0.890, -2.560e-6, -9.551e-7
0.900, -2.589e-6, -1.214e-6
0.910, -2.610e-6, -1.475e-6
0.920, -2.639e-6, -1.739e-6
0.930, -2.663e-6, -2.005e-6
0.940, -2.694e-6, -2.275e-6
0.950, -2.718e-6, -2.547e-6
0.960, -2.746e-6, -2.821e-6
0.970, -2.767e-6, -3.098e-6
0.980, -2.797e-6, -3.378e-6
0.990, -2.820e-6, -3.660e-6
1.000, -2.840e-6, -3.944e-6
1.010, -2.857e-6, -4.229e-6
1.020, -2.885e-6, -4.518e-6
1.030, -2.900e-6, -4.808e-6
1.040, -2.922e-6, -5.100e-6
1.050, -2.938e-6, -5.394e-6
1.060, -2.945e-6, -5.688e-6
1.070, -2.960e-6, -5.984e-6
1.080, -2.982e-6, -6.282e-6
1.090, -2.993e-6, -6.582e-6
1.100, -3.005e-6, -6.882e-6
1.110, -3.031e-6, -7.185e-6
1.120, -3.044e-6, -7.490e-6
1.130, -3.073e-6, -7.797e-6
1.140, -3.097e-6, -8.107e-6
1.150, -3.134e-6, -8.420e-6
1.160, -3.168e-6, -8.737e-6
1.170, -3.215e-6, -9.058e-6
1.180, -3.267e-6, -9.385e-6
1.190, -3.334e-6, -9.719e-6
1.200, -3.408e-6, -1.006e-5
1.210, -3.507e-6, -1.041e-5
1.220, -3.622e-6, -1.077e-5
1.230, -3.759e-6, -1.115e-5
1.240, -3.926e-6, -1.154e-5

Segment 2:
1.250, -3.369e-6, -1.188e-5
1.240, -2.406e-6, -1.212e-5
1.230, -1.818e-6, -1.230e-5
1.220, -1.432e-6, -1.244e-5
1.210, -1.161e-6, -1.256e-5
1.200, -9.627e-7, -1.266e-5
1.190, -8.146e-7, -1.274e-5
1.180, -6.996e-7, -1.281e-5
1.170, -6.119e-7, -1.287e-5
1.160, -5.406e-7, -1.292e-5
1.150, -4.797e-7, -1.297e-5
1.140, -4.302e-7, -1.301e-5
1.130, -3.954e-7, -1.305e-5
1.120, -3.578e-7, -1.309e-5
1.110, -2.770e-7, -1.312e-5
1.100, -2.073e-7, -1.314e-5
1.090, -1.768e-7, -1.315e-5
1.080, -1.587e-7, -1.317e-5
1.070, -1.378e-7, -1.318e-5
1.060, -1.144e-7, -1.320e-5
1.050, -1.038e-7, -1.321e-5
1.040, -8.103e-8, -1.321e-5
1.030, -6.589e-8, -1.322e-5
1.020, -5.482e-8, -1.323e-5
1.010, -3.424e-8, -1.323e-5
1.000, -1.755e-8, -1.323e-5
0.990, -7.587e-9, -1.323e-5
0.980, 9.722e-9, -1.323e-5
0.970, 2.864e-8, -1.323e-5
0.960, 3.503e-8, -1.322e-5
0.950, 4.182e-8, -1.322e-5
0.940, 6.015e-8, -1.321e-5
0.930, 7.807e-8, -1.321e-5
0.920, 8.621e-8, -1.320e-5
0.910, 9.995e-8, -1.319e-5
0.900, 1.181e-7, -1.318e-5
0.890, 1.290e-7, -1.316e-5
0.880, 1.393e-7, -1.315e-5
0.870, 1.573e-7, -1.313e-5
0.860, 1.765e-7, -1.312e-5
0.850, 1.848e-7, -1.310e-5
0.840, 2.019e-7, -1.308e-5
0.830, 2.231e-7, -1.306e-5
0.820, 2.322e-7, -1.303e-5
0.810, 2.520e-7, -1.301e-5
0.800, 2.741e-7, -1.298e-5
0.790, 2.889e-7, -1.295e-5
0.780, 3.146e-7, -1.292e-5
0.770, 3.295e-7, -1.289e-5
0.760, 3.536e-7, -1.285e-5
0.750, 3.773e-7, -1.281e-5
0.740, 4.022e-7, -1.277e-5
0.730, 4.281e-7, -1.273e-5
0.720, 4.578e-7, -1.268e-5
0.710, 4.864e-7, -1.264e-5
0.700, 5.214e-7, -1.258e-5
0.690, 5.527e-7, -1.253e-5
0.680, 5.890e-7, -1.247e-5
0.670, 6.261e-7, -1.241e-5
0.660, 6.704e-7, -1.234e-5
