Nov. 2, 2023   14:07:21
Linear Sweep Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\clean_lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 1.25
Final E (V) = -0.3
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Ep = 0.390V
ip = 8.864e-7A
Ah = 6.348e-6C

Potential/V, Current/A, Charge/C

Segment 1:
1.249, -4.273e-6, -4.273e-7
1.248, -3.006e-6, -7.278e-7
1.247, -2.437e-6, -9.715e-7
1.246, -2.100e-6, -1.182e-6
1.245, -1.863e-6, -1.368e-6
1.244, -1.691e-6, -1.537e-6
1.243, -1.561e-6, -1.693e-6
1.242, -1.454e-6, -1.838e-6
1.241, -1.366e-6, -1.975e-6
1.240, -1.292e-6, -2.104e-6
1.239, -1.225e-6, -2.227e-6
1.238, -1.173e-6, -2.344e-6
1.237, -1.120e-6, -2.456e-6
1.236, -1.076e-6, -2.563e-6
1.235, -1.035e-6, -2.667e-6
1.234, -9.919e-7, -2.766e-6
1.233, -9.633e-7, -2.862e-6
1.232, -9.363e-7, -2.956e-6
1.231, -8.969e-7, -3.046e-6
1.230, -8.802e-7, -3.134e-6
1.229, -8.456e-7, -3.218e-6
1.228, -8.320e-7, -3.301e-6
1.227, -7.988e-7, -3.381e-6
1.226, -7.922e-7, -3.461e-6
1.225, -7.644e-7, -3.537e-6
1.224, -7.464e-7, -3.612e-6
1.223, -7.382e-7, -3.686e-6
1.222, -7.069e-7, -3.756e-6
1.221, -6.973e-7, -3.826e-6
1.220, -6.907e-7, -3.895e-6
1.219, -6.654e-7, -3.962e-6
1.218, -6.505e-7, -4.027e-6
1.217, -6.476e-7, -4.091e-6
1.216, -6.374e-7, -4.155e-6
1.215, -6.143e-7, -4.217e-6
1.214, -6.014e-7, -4.277e-6
1.213, -5.995e-7, -4.337e-6
1.212, -5.968e-7, -4.396e-6
1.211, -5.867e-7, -4.455e-6
1.210, -5.672e-7, -4.512e-6
1.209, -5.549e-7, -4.567e-6
1.208, -5.511e-7, -4.622e-6
1.207, -5.497e-7, -4.677e-6
1.206, -5.434e-7, -4.732e-6
1.205, -5.291e-7, -4.784e-6
1.204, -5.125e-7, -4.836e-6
1.203, -5.054e-7, -4.886e-6
1.202, -5.023e-7, -4.936e-6
1.201, -5.010e-7, -4.987e-6
1.200, -4.982e-7, -5.036e-6
1.199, -4.896e-7, -5.085e-6
1.198, -4.803e-7, -5.133e-6
1.197, -4.666e-7, -5.180e-6
1.196, -4.597e-7, -5.226e-6
1.195, -4.546e-7, -5.272e-6
1.194, -4.534e-7, -5.317e-6
1.193, -4.527e-7, -5.362e-6
1.192, -4.511e-7, -5.407e-6
1.191, -4.476e-7, -5.452e-6
1.190, -4.396e-7, -5.496e-6
1.189, -4.312e-7, -5.539e-6
1.188, -4.198e-7, -5.581e-6
1.187, -4.136e-7, -5.622e-6
1.186, -4.078e-7, -5.663e-6
1.185, -4.059e-7, -5.704e-6
1.184, -4.047e-7, -5.744e-6
1.183, -4.043e-7, -5.785e-6
1.182, -4.041e-7, -5.825e-6
1.181, -4.037e-7, -5.865e-6
1.180, -4.024e-7, -5.906e-6
1.179, -4.006e-7, -5.946e-6
1.178, -3.956e-7, -5.985e-6
1.177, -3.905e-7, -6.024e-6
1.176, -3.821e-7, -6.063e-6
1.175, -3.757e-7, -6.100e-6
1.174, -3.677e-7, -6.137e-6
1.173, -3.631e-7, -6.173e-6
1.172, -3.591e-7, -6.209e-6
1.171, -3.573e-7, -6.245e-6
1.170, -3.561e-7, -6.280e-6
1.169, -3.556e-7, -6.316e-6
1.168, -3.551e-7, -6.352e-6
1.167, -3.548e-7, -6.387e-6
1.166, -3.538e-7, -6.422e-6
1.165, -3.526e-7, -6.458e-6
1.164, -3.488e-7, -6.493e-6
1.163, -3.452e-7, -6.527e-6
1.162, -3.357e-7, -6.561e-6
1.161, -3.268e-7, -6.593e-6
1.160, -3.094e-7, -6.624e-6
1.159, -2.961e-7, -6.654e-6
1.158, -2.737e-7, -6.681e-6
1.157, -2.619e-7, -6.707e-6
1.156, -2.432e-7, -6.732e-6
1.155, -2.359e-7, -6.755e-6
1.154, -2.246e-7, -6.778e-6
1.153, -2.201e-7, -6.800e-6
1.152, -2.159e-7, -6.821e-6
1.151, -2.135e-7, -6.843e-6
1.150, -2.114e-7, -6.864e-6
1.149, -2.104e-7, -6.885e-6
1.148, -2.094e-7, -6.906e-6
1.147, -2.090e-7, -6.927e-6
1.146, -2.083e-7, -6.948e-6
1.145, -2.079e-7, -6.968e-6
1.144, -2.069e-7, -6.989e-6
1.143, -2.061e-7, -7.010e-6
1.142, -2.044e-7, -7.030e-6
1.141, -2.034e-7, -7.050e-6
1.140, -2.009e-7, -7.071e-6
1.139, -1.998e-7, -7.091e-6
1.138, -1.973e-7, -7.110e-6
1.137, -1.960e-7, -7.130e-6
1.136, -1.936e-7, -7.149e-6
1.135, -1.919e-7, -7.168e-6
1.134, -1.893e-7, -7.187e-6
1.133, -1.874e-7, -7.206e-6
1.132, -1.844e-7, -7.225e-6
1.131, -1.818e-7, -7.243e-6
1.130, -1.781e-7, -7.261e-6
1.129, -1.750e-7, -7.278e-6
1.128, -1.726e-7, -7.295e-6
1.127, -1.693e-7, -7.312e-6
1.126, -1.667e-7, -7.329e-6
1.125, -1.649e-7, -7.345e-6
1.124, -1.633e-7, -7.362e-6
1.123, -1.624e-7, -7.378e-6
1.122, -1.615e-7, -7.394e-6
1.121, -1.611e-7, -7.410e-6
1.120, -1.608e-7, -7.426e-6
1.119, -1.606e-7, -7.442e-6
1.118, -1.604e-7, -7.458e-6
1.117, -1.603e-7, -7.474e-6
1.116, -1.602e-7, -7.490e-6
1.115, -1.601e-7, -7.506e-6
1.114, -1.600e-7, -7.522e-6
1.113, -1.599e-7, -7.538e-6
1.112, -1.598e-7, -7.554e-6
1.111, -1.596e-7, -7.570e-6
1.110, -1.595e-7, -7.586e-6
1.109, -1.592e-7, -7.602e-6
1.108, -1.587e-7, -7.618e-6
1.107, -1.584e-7, -7.634e-6
1.106, -1.578e-7, -7.650e-6
1.105, -1.571e-7, -7.665e-6
1.104, -1.562e-7, -7.681e-6
1.103, -1.554e-7, -7.697e-6
1.102, -1.545e-7, -7.712e-6
1.101, -1.535e-7, -7.727e-6
1.100, -1.517e-7, -7.743e-6
1.099, -1.504e-7, -7.758e-6
1.098, -1.487e-7, -7.772e-6
1.097, -1.469e-7, -7.787e-6
1.096, -1.447e-7, -7.802e-6
1.095, -1.423e-7, -7.816e-6
1.094, -1.397e-7, -7.830e-6
1.093, -1.373e-7, -7.844e-6
1.092, -1.343e-7, -7.857e-6
1.091, -1.330e-7, -7.870e-6
1.090, -1.306e-7, -7.883e-6
1.089, -1.287e-7, -7.896e-6
1.088, -1.257e-7, -7.909e-6
1.087, -1.239e-7, -7.921e-6
1.086, -1.220e-7, -7.933e-6
1.085, -1.204e-7, -7.945e-6
1.084, -1.191e-7, -7.957e-6
1.083, -1.182e-7, -7.969e-6
1.082, -1.173e-7, -7.981e-6
1.081, -1.163e-7, -7.993e-6
1.080, -1.153e-7, -8.004e-6
1.079, -1.145e-7, -8.015e-6
1.078, -1.139e-7, -8.027e-6
1.077, -1.135e-7, -8.038e-6
1.076, -1.129e-7, -8.050e-6
1.075, -1.125e-7, -8.061e-6
1.074, -1.123e-7, -8.072e-6
1.073, -1.121e-7, -8.083e-6
1.072, -1.119e-7, -8.094e-6
1.071, -1.118e-7, -8.106e-6
1.070, -1.116e-7, -8.117e-6
1.069, -1.115e-7, -8.128e-6
1.068, -1.114e-7, -8.139e-6
1.067, -1.113e-7, -8.150e-6
1.066, -1.113e-7, -8.161e-6
1.065, -1.113e-7, -8.172e-6
1.064, -1.112e-7, -8.184e-6
1.063, -1.110e-7, -8.195e-6
1.062, -1.110e-7, -8.206e-6
1.061, -1.108e-7, -8.217e-6
1.060, -1.106e-7, -8.228e-6
1.059, -1.104e-7, -8.239e-6
1.058, -1.104e-7, -8.250e-6
1.057, -1.102e-7, -8.261e-6
1.056, -1.101e-7, -8.272e-6
1.055, -1.096e-7, -8.283e-6
1.054, -1.095e-7, -8.294e-6
1.053, -1.088e-7, -8.305e-6
1.052, -1.087e-7, -8.316e-6
1.051, -1.078e-7, -8.326e-6
1.050, -1.077e-7, -8.337e-6
1.049, -1.067e-7, -8.348e-6
1.048, -1.066e-7, -8.358e-6
1.047, -1.048e-7, -8.369e-6
1.046, -1.048e-7, -8.379e-6
1.045, -1.031e-7, -8.390e-6
1.044, -1.041e-7, -8.400e-6
1.043, -1.021e-7, -8.410e-6
1.042, -1.026e-7, -8.421e-6
1.041, -1.005e-7, -8.431e-6
1.040, -1.008e-7, -8.441e-6
1.039, -9.787e-8, -8.451e-6
1.038, -9.865e-8, -8.460e-6
1.037, -9.502e-8, -8.470e-6
1.036, -9.530e-8, -8.479e-6
1.035, -9.235e-8, -8.489e-6
1.034, -9.288e-8, -8.498e-6
1.033, -8.927e-8, -8.507e-6
1.032, -9.046e-8, -8.516e-6
1.031, -8.633e-8, -8.525e-6
1.030, -8.745e-8, -8.533e-6
1.029, -8.371e-8, -8.542e-6
1.028, -8.440e-8, -8.550e-6
1.027, -8.139e-8, -8.558e-6
1.026, -8.251e-8, -8.567e-6
1.025, -7.941e-8, -8.574e-6
1.024, -8.013e-8, -8.582e-6
1.023, -7.757e-8, -8.590e-6
1.022, -7.864e-8, -8.598e-6
1.021, -7.504e-8, -8.606e-6
1.020, -7.522e-8, -8.613e-6
