Nov. 2, 2023   13:39:28
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\met_.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.490V
ip = -4.719e-6A
Ah = -5.187e-6C

Segment 2:
Ep = 0.410V
ip = 2.917e-6A
Ah = 2.431e-6C

Segment 3:
Ep = 0.480V
ip = -7.996e-6A
Ah = -7.777e-6C

Segment 4:
Ep = 0.420V
ip = 3.001e-6A
Ah = 2.275e-6C

Segment 5:
Ep = 0.480V
ip = -8.536e-6A
Ah = -7.651e-6C

Segment 6:
Ep = 0.420V
ip = 3.086e-6A
Ah = 2.501e-6C

Ep = -0.290V
ip = 2.758e-6A
Ah = 3.255e-6C

Segment 7:
Ep = 0.480V
ip = -7.901e-6A
Ah = -6.887e-6C

Ep = 1.240V
ip = -6.260e-7A
Ah = -1.647e-7C

Segment 8:
Ep = 0.420V
ip = 3.225e-6A
Ah = 2.573e-6C

Ep = -0.290V
ip = 2.262e-6A
Ah = 3.119e-6C

Potential/V, Current/A, Charge/C

Segment 1:
-0.290, 4.285e-7, 4.285e-8
-0.280, -2.239e-7, 2.046e-8
-0.270, -9.305e-8, 1.115e-8
-0.260, -4.751e-7, -3.636e-8
-0.250, -6.951e-7, -1.059e-7
-0.240, -4.111e-7, -1.470e-7
-0.230, -4.716e-7, -1.941e-7
-0.220, -8.423e-7, -2.784e-7
-0.210, -6.627e-7, -3.446e-7
-0.200, -7.329e-7, -4.179e-7
-0.190, -5.985e-7, -4.778e-7
-0.180, -5.715e-7, -5.349e-7
-0.170, -8.597e-7, -6.209e-7
-0.160, -7.626e-7, -6.972e-7
-0.150, -4.396e-7, -7.411e-7
-0.140, -3.677e-7, -7.779e-7
-0.130, -4.197e-7, -8.199e-7
-0.120, -4.313e-7, -8.630e-7
-0.110, -5.844e-7, -9.214e-7
-0.100, -1.583e-7, -9.372e-7
-0.090, -4.511e-7, -9.823e-7
-0.080, -5.632e-7, -1.039e-6
-0.070, -5.809e-7, -1.097e-6
-0.060, -5.235e-8, -1.102e-6
-0.050, 3.453e-8, -1.099e-6
-0.040, -2.300e-7, -1.122e-6
-0.030, 2.774e-7, -1.094e-6
-0.020, 2.500e-7, -1.069e-6
-0.010, 2.411e-7, -1.045e-6
0.000, 4.748e-7, -9.972e-7
0.010, 5.725e-7, -9.399e-7
0.020, 3.280e-7, -9.071e-7
0.030, 3.741e-7, -8.697e-7
0.040, 6.183e-7, -8.079e-7
0.050, 8.253e-7, -7.254e-7
0.060, 5.068e-7, -6.747e-7
0.070, 2.641e-7, -6.483e-7
0.080, 3.304e-7, -6.153e-7
0.090, -1.333e-9, -6.154e-7
0.100, 5.032e-7, -5.651e-7
0.110, 4.634e-7, -5.187e-7
0.120, 3.115e-7, -4.876e-7
0.130, 5.935e-8, -4.816e-7
0.140, 2.135e-7, -4.603e-7
0.150, -7.766e-9, -4.611e-7
0.160, -4.334e-7, -5.044e-7
0.170, -6.146e-7, -5.659e-7
0.180, -7.545e-7, -6.413e-7
0.190, -5.703e-7, -6.983e-7
0.200, -7.605e-8, -7.059e-7
0.210, -1.967e-7, -7.256e-7
0.220, -5.352e-7, -7.791e-7
0.230, -4.226e-9, -7.796e-7
0.240, -1.599e-7, -7.955e-7
0.250, -2.816e-7, -8.237e-7
0.260, -3.505e-7, -8.588e-7
0.270, -3.830e-7, -8.971e-7
0.280, -5.790e-7, -9.550e-7
0.290, -7.038e-7, -1.025e-6
0.300, -8.342e-7, -1.109e-6
0.310, -1.000e-6, -1.209e-6
0.320, -1.369e-6, -1.346e-6
0.330, -1.567e-6, -1.502e-6
0.340, -1.887e-6, -1.691e-6
0.350, -2.380e-6, -1.929e-6
0.360, -2.722e-6, -2.201e-6
0.370, -3.044e-6, -2.506e-6
0.380, -3.423e-6, -2.848e-6
0.390, -3.850e-6, -3.233e-6
0.400, -4.644e-6, -3.697e-6
0.410, -5.101e-6, -4.207e-6
0.420, -5.452e-6, -4.753e-6
0.430, -5.853e-6, -5.338e-6
0.440, -6.215e-6, -5.959e-6
0.450, -6.552e-6, -6.615e-6
0.460, -6.869e-6, -7.302e-6
0.470, -7.043e-6, -8.006e-6
0.480, -7.107e-6, -8.717e-6
0.490, -7.231e-6, -9.440e-6
0.500, -7.145e-6, -1.015e-5
0.510, -7.055e-6, -1.086e-5
0.520, -6.819e-6, -1.154e-5
0.530, -6.600e-6, -1.220e-5
0.540, -6.357e-6, -1.284e-5
0.550, -6.057e-6, -1.344e-5
0.560, -5.744e-6, -1.402e-5
0.570, -5.420e-6, -1.456e-5
0.580, -5.179e-6, -1.508e-5
0.590, -4.861e-6, -1.556e-5
0.600, -4.599e-6, -1.602e-5
0.610, -4.386e-6, -1.646e-5
0.620, -4.126e-6, -1.687e-5
0.630, -4.005e-6, -1.727e-5
0.640, -3.836e-6, -1.766e-5
0.650, -3.675e-6, -1.803e-5
0.660, -3.543e-6, -1.838e-5
0.670, -3.296e-6, -1.871e-5
0.680, -3.416e-6, -1.905e-5
0.690, -3.277e-6, -1.938e-5
0.700, -3.152e-6, -1.969e-5
0.710, -3.192e-6, -2.001e-5
0.720, -3.171e-6, -2.033e-5
0.730, -3.111e-6, -2.064e-5
0.740, -3.133e-6, -2.096e-5
0.750, -3.124e-6, -2.127e-5
0.760, -3.147e-6, -2.158e-5
0.770, -3.159e-6, -2.190e-5
0.780, -3.162e-6, -2.221e-5
0.790, -3.180e-6, -2.253e-5
0.800, -3.208e-6, -2.285e-5
0.810, -3.256e-6, -2.318e-5
0.820, -3.352e-6, -2.351e-5
0.830, -3.432e-6, -2.386e-5
0.840, -3.472e-6, -2.420e-5
0.850, -3.583e-6, -2.456e-5
0.860, -3.700e-6, -2.493e-5
0.870, -3.782e-6, -2.531e-5
0.880, -3.932e-6, -2.570e-5
0.890, -3.885e-6, -2.609e-5
0.900, -4.254e-6, -2.652e-5
0.910, -4.300e-6, -2.695e-5
0.920, -4.474e-6, -2.740e-5
0.930, -4.605e-6, -2.786e-5
0.940, -4.775e-6, -2.833e-5
0.950, -4.923e-6, -2.883e-5
0.960, -5.096e-6, -2.934e-5
0.970, -5.269e-6, -2.986e-5
0.980, -5.427e-6, -3.040e-5
0.990, -5.326e-6, -3.094e-5
1.000, -5.582e-6, -3.150e-5
1.010, -5.733e-6, -3.207e-5
1.020, -5.915e-6, -3.266e-5
1.030, -6.116e-6, -3.327e-5
1.040, -6.244e-6, -3.390e-5
1.050, -6.377e-6, -3.453e-5
1.060, -6.256e-6, -3.516e-5
1.070, -6.529e-6, -3.581e-5
1.080, -6.587e-6, -3.647e-5
1.090, -6.616e-6, -3.713e-5
1.100, -6.644e-6, -3.780e-5
1.110, -6.626e-6, -3.846e-5
1.120, -6.694e-6, -3.913e-5
1.130, -6.763e-6, -3.981e-5
1.140, -6.766e-6, -4.048e-5
1.150, -6.824e-6, -4.116e-5
1.160, -6.777e-6, -4.184e-5
1.170, -6.878e-6, -4.253e-5
1.180, -6.928e-6, -4.322e-5
1.190, -6.880e-6, -4.391e-5
1.200, -7.013e-6, -4.461e-5
1.210, -7.088e-6, -4.532e-5
1.220, -7.157e-6, -4.604e-5
1.230, -7.062e-6, -4.674e-5
1.240, -7.430e-6, -4.749e-5

Segment 2:
1.250, -6.636e-6, -4.815e-5
1.240, -5.108e-6, -4.866e-5
1.230, -4.244e-6, -4.908e-5
1.220, -3.482e-6, -4.943e-5
1.210, -3.034e-6, -4.974e-5
1.200, -2.620e-6, -5.000e-5
1.190, -2.334e-6, -5.023e-5
1.180, -2.086e-6, -5.044e-5
1.170, -1.855e-6, -5.063e-5
1.160, -1.684e-6, -5.079e-5
1.150, -1.533e-6, -5.095e-5
1.140, -1.402e-6, -5.109e-5
1.130, -1.290e-6, -5.122e-5
1.120, -1.195e-6, -5.134e-5
1.110, -1.098e-6, -5.145e-5
1.100, -1.022e-6, -5.155e-5
1.090, -9.674e-7, -5.165e-5
1.080, -8.877e-7, -5.173e-5
1.070, -8.289e-7, -5.182e-5
1.060, -7.712e-7, -5.189e-5
1.050, -7.134e-7, -5.197e-5
1.040, -6.731e-7, -5.203e-5
1.030, -6.200e-7, -5.209e-5
1.020, -5.758e-7, -5.215e-5
1.010, -5.420e-7, -5.221e-5
1.000, -4.903e-7, -5.226e-5
0.990, -4.551e-7, -5.230e-5
0.980, -4.270e-7, -5.234e-5
0.970, -3.862e-7, -5.238e-5
0.960, -3.220e-7, -5.241e-5
0.950, -2.809e-7, -5.244e-5
0.940, -2.043e-7, -5.246e-5
0.930, -1.672e-7, -5.248e-5
0.920, -1.373e-7, -5.249e-5
0.910, -1.016e-7, -5.250e-5
0.900, -7.925e-8, -5.251e-5
0.890, -5.640e-8, -5.252e-5
0.880, -2.234e-8, -5.252e-5
0.870, -4.120e-9, -5.252e-5
0.860, 2.387e-8, -5.252e-5
0.850, 5.448e-8, -5.251e-5
0.840, 6.921e-8, -5.250e-5
0.830, 9.675e-8, -5.250e-5
0.820, 1.243e-7, -5.248e-5
0.810, 1.413e-7, -5.247e-5
0.800, 1.707e-7, -5.245e-5
0.790, 1.953e-7, -5.243e-5
0.780, 2.121e-7, -5.241e-5
0.770, 2.462e-7, -5.239e-5
0.760, 2.731e-7, -5.236e-5
0.750, 2.924e-7, -5.233e-5
0.740, 3.234e-7, -5.230e-5
0.730, 3.551e-7, -5.226e-5
