Nov. 2, 2023   13:50:48
Linear Sweep Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\met_lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
Final E (V) = 1.25
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5


Potential/V, Current/A, Charge/C

Segment 1:
-0.299, 2.515e-6, 2.515e-7
-0.298, 2.392e-6, 4.907e-7
-0.297, 2.155e-6, 7.062e-7
-0.296, 2.124e-6, 9.187e-7
-0.295, 2.072e-6, 1.126e-6
-0.294, 2.054e-6, 1.331e-6
-0.293, 1.848e-6, 1.516e-6
-0.292, 1.697e-6, 1.686e-6
-0.291, 1.517e-6, 1.838e-6
-0.290, 1.435e-6, 1.981e-6
-0.289, 1.416e-6, 2.123e-6
-0.288, 1.522e-6, 2.275e-6
-0.287, 1.566e-6, 2.431e-6
-0.286, 1.557e-6, 2.587e-6
-0.285, 1.464e-6, 2.734e-6
-0.284, 1.472e-6, 2.881e-6
-0.283, 1.455e-6, 3.026e-6
-0.282, 1.299e-6, 3.156e-6
-0.281, 1.333e-6, 3.289e-6
-0.280, 1.446e-6, 3.434e-6
-0.279, 1.260e-6, 3.560e-6
-0.278, 1.324e-6, 3.693e-6
-0.277, 1.240e-6, 3.817e-6
-0.276, 1.278e-6, 3.944e-6
-0.275, 1.180e-6, 4.062e-6
-0.274, 1.217e-6, 4.184e-6
-0.273, 1.279e-6, 4.312e-6
-0.272, 1.138e-6, 4.426e-6
-0.271, 1.228e-6, 4.548e-6
-0.270, 1.247e-6, 4.673e-6
-0.269, 1.098e-6, 4.783e-6
-0.268, 1.114e-6, 4.894e-6
-0.267, 1.141e-6, 5.009e-6
-0.266, 1.222e-6, 5.131e-6
-0.265, 1.076e-6, 5.238e-6
-0.264, 1.147e-6, 5.353e-6
-0.263, 9.158e-7, 5.445e-6
-0.262, 8.751e-7, 5.532e-6
-0.261, 1.087e-6, 5.641e-6
-0.260, 1.122e-6, 5.753e-6
-0.259, 9.475e-7, 5.848e-6
-0.258, 1.000e-6, 5.948e-6
-0.257, 9.267e-7, 6.040e-6
-0.256, 1.269e-6, 6.167e-6
-0.255, 1.257e-6, 6.293e-6
-0.254, 1.026e-6, 6.396e-6
-0.253, 1.204e-6, 6.516e-6
-0.252, 1.142e-6, 6.630e-6
-0.251, 9.438e-7, 6.725e-6
-0.250, 8.640e-7, 6.811e-6
-0.249, 1.041e-6, 6.915e-6
-0.248, 1.016e-6, 7.017e-6
-0.247, 9.750e-7, 7.114e-6
-0.246, 9.883e-7, 7.213e-6
-0.245, 1.091e-6, 7.322e-6
-0.244, 1.036e-6, 7.426e-6
-0.243, 9.262e-7, 7.518e-6
-0.242, 9.248e-7, 7.611e-6
-0.241, 1.064e-6, 7.717e-6
-0.240, 1.055e-6, 7.823e-6
-0.239, 1.033e-6, 7.926e-6
-0.238, 1.138e-6, 8.040e-6
-0.237, 1.152e-6, 8.155e-6
-0.236, 1.031e-6, 8.258e-6
-0.235, 1.044e-6, 8.363e-6
-0.234, 1.058e-6, 8.468e-6
-0.233, 1.013e-6, 8.570e-6
-0.232, 1.084e-6, 8.678e-6
-0.231, 1.062e-6, 8.784e-6
-0.230, 1.080e-6, 8.892e-6
-0.229, 1.018e-6, 8.994e-6
-0.228, 1.106e-6, 9.105e-6
-0.227, 1.076e-6, 9.212e-6
-0.226, 1.081e-6, 9.320e-6
-0.225, 1.110e-6, 9.431e-6
-0.224, 1.179e-6, 9.549e-6
-0.223, 1.173e-6, 9.667e-6
-0.222, 1.114e-6, 9.778e-6
-0.221, 1.061e-6, 9.884e-6
-0.220, 1.103e-6, 9.994e-6
-0.219, 1.076e-6, 1.010e-5
-0.218, 1.127e-6, 1.021e-5
-0.217, 1.145e-6, 1.033e-5
-0.216, 1.071e-6, 1.044e-5
-0.215, 1.186e-6, 1.055e-5
-0.214, 1.068e-6, 1.066e-5
-0.213, 9.920e-7, 1.076e-5
-0.212, 1.115e-6, 1.087e-5
-0.211, 1.155e-6, 1.099e-5
-0.210, 1.087e-6, 1.110e-5
-0.209, 1.034e-6, 1.120e-5
-0.208, 1.089e-6, 1.131e-5
-0.207, 7.910e-7, 1.139e-5
-0.206, 1.026e-6, 1.149e-5
-0.205, 1.009e-6, 1.159e-5
-0.204, 9.862e-7, 1.169e-5
-0.203, 1.141e-6, 1.180e-5
-0.202, 1.205e-6, 1.192e-5
-0.201, 1.093e-6, 1.203e-5
-0.200, 1.012e-6, 1.214e-5
-0.199, 1.009e-6, 1.224e-5
-0.198, 1.044e-6, 1.234e-5
-0.197, 1.026e-6, 1.244e-5
-0.196, 1.010e-6, 1.254e-5
-0.195, 1.019e-6, 1.265e-5
-0.194, 1.101e-6, 1.276e-5
-0.193, 1.107e-6, 1.287e-5
-0.192, 1.251e-6, 1.299e-5
-0.191, 1.184e-6, 1.311e-5
-0.190, 1.009e-6, 1.321e-5
-0.189, 1.012e-6, 1.331e-5
-0.188, 8.508e-7, 1.340e-5
-0.187, 9.329e-7, 1.349e-5
-0.186, 1.101e-6, 1.360e-5
-0.185, 1.029e-6, 1.370e-5
-0.184, 9.839e-7, 1.380e-5
-0.183, 1.112e-6, 1.391e-5
-0.182, 1.178e-6, 1.403e-5
-0.181, 1.048e-6, 1.414e-5
-0.180, 1.014e-6, 1.424e-5
-0.179, 1.180e-6, 1.436e-5
-0.178, 1.051e-6, 1.446e-5
-0.177, 1.079e-6, 1.457e-5
-0.176, 1.024e-6, 1.467e-5
-0.175, 1.187e-6, 1.479e-5
-0.174, 9.543e-7, 1.489e-5
-0.173, 9.183e-7, 1.498e-5
-0.172, 1.044e-6, 1.508e-5
-0.171, 1.016e-6, 1.518e-5
-0.170, 1.053e-6, 1.529e-5
-0.169, 9.718e-7, 1.539e-5
-0.168, 9.674e-7, 1.548e-5
-0.167, 1.001e-6, 1.558e-5
-0.166, 1.087e-6, 1.569e-5
-0.165, 1.060e-6, 1.580e-5
-0.164, 1.063e-6, 1.590e-5
-0.163, 1.056e-6, 1.601e-5
-0.162, 1.165e-6, 1.613e-5
-0.161, 1.005e-6, 1.623e-5
-0.160, 1.025e-6, 1.633e-5
-0.159, 1.029e-6, 1.643e-5
-0.158, 9.579e-7, 1.653e-5
-0.157, 9.935e-7, 1.663e-5
-0.156, 1.139e-6, 1.674e-5
-0.155, 1.037e-6, 1.684e-5
-0.154, 1.144e-6, 1.696e-5
-0.153, 1.044e-6, 1.706e-5
-0.152, 1.046e-6, 1.717e-5
-0.151, 1.316e-6, 1.730e-5
-0.150, 1.399e-6, 1.744e-5
-0.149, 1.166e-6, 1.756e-5
-0.148, 1.246e-6, 1.768e-5
-0.147, 1.063e-6, 1.779e-5
-0.146, 1.017e-6, 1.789e-5
-0.145, 8.885e-7, 1.798e-5
-0.144, 9.721e-7, 1.807e-5
-0.143, 1.106e-6, 1.818e-5
-0.142, 1.009e-6, 1.829e-5
-0.141, 1.037e-6, 1.839e-5
-0.140, 9.306e-7, 1.848e-5
-0.139, 1.047e-6, 1.859e-5
-0.138, 7.930e-7, 1.867e-5
-0.137, 1.033e-6, 1.877e-5
-0.136, 1.073e-6, 1.888e-5
-0.135, 1.126e-6, 1.899e-5
-0.134, 1.015e-6, 1.909e-5
-0.133, 8.871e-7, 1.918e-5
-0.132, 1.067e-6, 1.929e-5
-0.131, 9.331e-7, 1.938e-5
-0.130, 1.063e-6, 1.949e-5
-0.129, 1.162e-6, 1.960e-5
-0.128, 1.039e-6, 1.971e-5
-0.127, 1.119e-6, 1.982e-5
-0.126, 1.093e-6, 1.993e-5
-0.125, 1.271e-6, 2.005e-5
-0.124, 1.173e-6, 2.017e-5
-0.123, 1.241e-6, 2.030e-5
-0.122, 1.297e-6, 2.043e-5
-0.121, 1.091e-6, 2.053e-5
-0.120, 1.084e-6, 2.064e-5
-0.119, 1.091e-6, 2.075e-5
-0.118, 1.105e-6, 2.086e-5
-0.117, 1.067e-6, 2.097e-5
-0.116, 9.743e-7, 2.107e-5
-0.115, 1.062e-6, 2.117e-5
-0.114, 9.767e-7, 2.127e-5
-0.113, 1.059e-6, 2.138e-5
-0.112, 1.172e-6, 2.149e-5
-0.111, 1.210e-6, 2.161e-5
-0.110, 8.877e-7, 2.170e-5
-0.109, 8.750e-7, 2.179e-5
-0.108, 9.552e-7, 2.189e-5
-0.107, 8.451e-7, 2.197e-5
-0.106, 1.023e-6, 2.207e-5
-0.105, 1.104e-6, 2.218e-5
-0.104, 1.129e-6, 2.230e-5
-0.103, 1.112e-6, 2.241e-5
-0.102, 1.104e-6, 2.252e-5
-0.101, 8.497e-7, 2.260e-5
-0.100, 8.240e-7, 2.269e-5
-0.099, 1.024e-6, 2.279e-5
-0.098, 9.900e-7, 2.289e-5
-0.097, 1.053e-6, 2.299e-5
-0.096, 8.917e-7, 2.308e-5
-0.095, 1.194e-6, 2.320e-5
-0.094, 1.002e-6, 2.330e-5
-0.093, 1.054e-6, 2.341e-5
-0.092, 1.093e-6, 2.352e-5
-0.091, 1.088e-6, 2.362e-5
-0.090, 1.065e-6, 2.373e-5
-0.089, 1.151e-6, 2.385e-5
-0.088, 1.106e-6, 2.396e-5
-0.087, 1.083e-6, 2.407e-5
-0.086, 1.185e-6, 2.418e-5
-0.085, 9.911e-7, 2.428e-5
-0.084, 1.167e-6, 2.440e-5
-0.083, 9.965e-7, 2.450e-5
-0.082, 1.147e-6, 2.461e-5
-0.081, 1.055e-6, 2.472e-5
-0.080, 1.014e-6, 2.482e-5
-0.079, 1.088e-6, 2.493e-5
