Nov. 2, 2023   13:15:40
Linear Sweep Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\oxidelsv_air.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 1.25
Final E (V) = -0.3
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5


Potential/V, Current/A, Charge/C

Segment 1:
1.249, -4.965e-6, -4.965e-7
1.248, -3.468e-6, -8.434e-7
1.247, -2.784e-6, -1.122e-6
1.246, -2.377e-6, -1.359e-6
1.245, -2.103e-6, -1.570e-6
1.244, -1.891e-6, -1.759e-6
1.243, -1.729e-6, -1.932e-6
1.242, -1.602e-6, -2.092e-6
1.241, -1.497e-6, -2.242e-6
1.240, -1.406e-6, -2.382e-6
1.239, -1.331e-6, -2.515e-6
1.238, -1.262e-6, -2.641e-6
1.237, -1.202e-6, -2.762e-6
1.236, -1.151e-6, -2.877e-6
1.235, -1.099e-6, -2.987e-6
1.234, -1.056e-6, -3.092e-6
1.233, -1.020e-6, -3.194e-6
1.232, -9.882e-7, -3.293e-6
1.231, -9.482e-7, -3.388e-6
1.230, -9.221e-7, -3.480e-6
1.229, -8.921e-7, -3.569e-6
1.228, -8.609e-7, -3.655e-6
1.227, -8.423e-7, -3.740e-6
1.226, -8.123e-7, -3.821e-6
1.225, -7.948e-7, -3.900e-6
1.224, -7.801e-7, -3.978e-6
1.223, -7.490e-7, -4.053e-6
1.222, -7.432e-7, -4.128e-6
1.221, -7.151e-7, -4.199e-6
1.220, -6.981e-7, -4.269e-6
1.219, -6.929e-7, -4.338e-6
1.218, -6.684e-7, -4.405e-6
1.217, -6.509e-7, -4.470e-6
1.216, -6.476e-7, -4.535e-6
1.215, -6.357e-7, -4.598e-6
1.214, -6.117e-7, -4.660e-6
1.213, -6.004e-7, -4.720e-6
1.212, -5.991e-7, -4.780e-6
1.211, -5.941e-7, -4.839e-6
1.210, -5.791e-7, -4.897e-6
1.209, -5.596e-7, -4.953e-6
1.208, -5.519e-7, -5.008e-6
1.207, -5.500e-7, -5.063e-6
1.206, -5.444e-7, -5.117e-6
1.205, -5.275e-7, -5.170e-6
1.204, -5.117e-7, -5.221e-6
1.203, -5.039e-7, -5.272e-6
1.202, -5.019e-7, -5.322e-6
1.201, -5.003e-7, -5.372e-6
1.200, -4.943e-7, -5.421e-6
1.199, -4.839e-7, -5.470e-6
1.198, -4.686e-7, -5.517e-6
1.197, -4.599e-7, -5.563e-6
1.196, -4.544e-7, -5.608e-6
1.195, -4.533e-7, -5.653e-6
1.194, -4.524e-7, -5.699e-6
1.193, -4.500e-7, -5.744e-6
1.192, -4.455e-7, -5.788e-6
1.191, -4.353e-7, -5.832e-6
1.190, -4.245e-7, -5.874e-6
1.189, -4.130e-7, -5.915e-6
1.188, -4.079e-7, -5.956e-6
1.187, -4.052e-7, -5.997e-6
1.186, -4.045e-7, -6.037e-6
1.185, -4.042e-7, -6.078e-6
1.184, -4.039e-7, -6.118e-6
1.183, -4.028e-7, -6.158e-6
1.182, -4.012e-7, -6.198e-6
1.181, -3.969e-7, -6.238e-6
1.180, -3.913e-7, -6.277e-6
1.179, -3.825e-7, -6.316e-6
1.178, -3.747e-7, -6.353e-6
1.177, -3.664e-7, -6.390e-6
1.176, -3.619e-7, -6.426e-6
1.175, -3.580e-7, -6.462e-6
1.174, -3.566e-7, -6.497e-6
1.173, -3.556e-7, -6.533e-6
1.172, -3.553e-7, -6.568e-6
1.171, -3.546e-7, -6.604e-6
1.170, -3.535e-7, -6.639e-6
1.169, -3.503e-7, -6.674e-6
1.168, -3.459e-7, -6.709e-6
1.167, -3.361e-7, -6.742e-6
1.166, -3.266e-7, -6.775e-6
1.165, -3.104e-7, -6.806e-6
1.164, -2.972e-7, -6.836e-6
1.163, -2.734e-7, -6.863e-6
1.162, -2.585e-7, -6.889e-6
1.161, -2.403e-7, -6.913e-6
1.160, -2.319e-7, -6.936e-6
1.159, -2.207e-7, -6.958e-6
1.158, -2.173e-7, -6.980e-6
1.157, -2.125e-7, -7.001e-6
1.156, -2.108e-7, -7.022e-6
1.155, -2.094e-7, -7.043e-6
1.154, -2.089e-7, -7.064e-6
1.153, -2.082e-7, -7.085e-6
1.152, -2.078e-7, -7.106e-6
1.151, -2.067e-7, -7.126e-6
1.150, -2.060e-7, -7.147e-6
1.149, -2.046e-7, -7.168e-6
1.148, -2.038e-7, -7.188e-6
1.147, -2.013e-7, -7.208e-6
1.146, -1.999e-7, -7.228e-6
1.145, -1.972e-7, -7.248e-6
1.144, -1.952e-7, -7.267e-6
1.143, -1.919e-7, -7.286e-6
1.142, -1.898e-7, -7.305e-6
1.141, -1.860e-7, -7.324e-6
1.140, -1.833e-7, -7.342e-6
1.139, -1.787e-7, -7.360e-6
1.138, -1.761e-7, -7.378e-6
1.137, -1.722e-7, -7.395e-6
1.136, -1.693e-7, -7.412e-6
1.135, -1.668e-7, -7.429e-6
1.134, -1.649e-7, -7.445e-6
1.133, -1.633e-7, -7.462e-6
1.132, -1.621e-7, -7.478e-6
1.131, -1.615e-7, -7.494e-6
1.130, -1.610e-7, -7.510e-6
1.129, -1.607e-7, -7.526e-6
1.128, -1.604e-7, -7.542e-6
1.127, -1.602e-7, -7.558e-6
1.126, -1.601e-7, -7.574e-6
1.125, -1.601e-7, -7.590e-6
1.124, -1.600e-7, -7.606e-6
1.123, -1.599e-7, -7.622e-6
1.122, -1.598e-7, -7.638e-6
1.121, -1.596e-7, -7.654e-6
1.120, -1.593e-7, -7.670e-6
1.119, -1.590e-7, -7.686e-6
1.118, -1.586e-7, -7.702e-6
1.117, -1.579e-7, -7.718e-6
1.116, -1.572e-7, -7.733e-6
1.115, -1.560e-7, -7.749e-6
1.114, -1.544e-7, -7.764e-6
1.113, -1.531e-7, -7.780e-6
1.112, -1.517e-7, -7.795e-6
1.111, -1.502e-7, -7.810e-6
1.110, -1.490e-7, -7.825e-6
1.109, -1.480e-7, -7.839e-6
1.108, -1.464e-7, -7.854e-6
1.107, -1.439e-7, -7.868e-6
1.106, -1.414e-7, -7.883e-6
1.105, -1.392e-7, -7.897e-6
1.104, -1.377e-7, -7.910e-6
1.103, -1.349e-7, -7.924e-6
1.102, -1.321e-7, -7.937e-6
1.101, -1.290e-7, -7.950e-6
1.100, -1.268e-7, -7.963e-6
1.099, -1.247e-7, -7.975e-6
1.098, -1.224e-7, -7.987e-6
1.097, -1.204e-7, -7.999e-6
1.096, -1.193e-7, -8.011e-6
1.095, -1.176e-7, -8.023e-6
1.094, -1.165e-7, -8.035e-6
1.093, -1.153e-7, -8.046e-6
1.092, -1.147e-7, -8.058e-6
1.091, -1.140e-7, -8.069e-6
1.090, -1.135e-7, -8.080e-6
1.089, -1.130e-7, -8.092e-6
1.088, -1.126e-7, -8.103e-6
1.087, -1.122e-7, -8.114e-6
1.086, -1.121e-7, -8.125e-6
1.085, -1.118e-7, -8.137e-6
1.084, -1.116e-7, -8.148e-6
1.083, -1.116e-7, -8.159e-6
1.082, -1.115e-7, -8.170e-6
1.081, -1.113e-7, -8.181e-6
1.080, -1.113e-7, -8.192e-6
1.079, -1.112e-7, -8.203e-6
1.078, -1.111e-7, -8.215e-6
1.077, -1.111e-7, -8.226e-6
1.076, -1.110e-7, -8.237e-6
1.075, -1.109e-7, -8.248e-6
1.074, -1.106e-7, -8.259e-6
1.073, -1.105e-7, -8.270e-6
1.072, -1.103e-7, -8.281e-6
1.071, -1.102e-7, -8.292e-6
1.070, -1.098e-7, -8.303e-6
1.069, -1.096e-7, -8.314e-6
1.068, -1.090e-7, -8.325e-6
1.067, -1.089e-7, -8.336e-6
1.066, -1.082e-7, -8.347e-6
1.065, -1.079e-7, -8.357e-6
1.064, -1.069e-7, -8.368e-6
1.063, -1.067e-7, -8.379e-6
1.062, -1.053e-7, -8.389e-6
1.061, -1.054e-7, -8.400e-6
1.060, -1.035e-7, -8.410e-6
1.059, -1.039e-7, -8.421e-6
1.058, -1.022e-7, -8.431e-6
1.057, -1.021e-7, -8.441e-6
1.056, -9.956e-8, -8.451e-6
1.055, -1.003e-7, -8.461e-6
1.054, -9.782e-8, -8.471e-6
1.053, -9.887e-8, -8.481e-6
1.052, -9.613e-8, -8.490e-6
1.051, -9.642e-8, -8.500e-6
1.050, -9.329e-8, -8.509e-6
1.049, -9.419e-8, -8.519e-6
1.048, -9.053e-8, -8.528e-6
1.047, -9.151e-8, -8.537e-6
1.046, -8.825e-8, -8.546e-6
1.045, -8.914e-8, -8.555e-6
1.044, -8.543e-8, -8.563e-6
1.043, -8.716e-8, -8.572e-6
1.042, -8.421e-8, -8.580e-6
1.041, -8.595e-8, -8.589e-6
1.040, -8.224e-8, -8.597e-6
1.039, -8.254e-8, -8.605e-6
1.038, -7.841e-8, -8.613e-6
1.037, -7.915e-8, -8.621e-6
1.036, -7.511e-8, -8.629e-6
1.035, -7.637e-8, -8.636e-6
1.034, -7.301e-8, -8.644e-6
1.033, -7.382e-8, -8.651e-6
1.032, -7.126e-8, -8.658e-6
1.031, -7.238e-8, -8.665e-6
1.030, -6.980e-8, -8.672e-6
1.029, -7.040e-8, -8.679e-6
1.028, -6.827e-8, -8.686e-6
1.027, -6.890e-8, -8.693e-6
1.026, -6.671e-8, -8.700e-6
1.025, -6.747e-8, -8.706e-6
1.024, -6.564e-8, -8.713e-6
1.023, -6.632e-8, -8.720e-6
1.022, -6.527e-8, -8.726e-6
1.021, -6.564e-8, -8.733e-6
1.020, -6.485e-8, -8.739e-6
1.019, -6.548e-8, -8.746e-6
1.018, -6.455e-8, -8.752e-6
