Nov. 2, 2023   13:10:47
Linear Sweep Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\oxidelsv_str_air.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 1.25
Final E (V) = -0.3
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Ep = 0.254V
ip = 2.020e-5A
Ah = 2.055e-4C

Ep = -0.120V
ip = 1.311e-5A
Ah = 1.247e-5C

Potential/V, Current/A, Charge/C

Segment 1:
1.249, -4.238e-6, -4.238e-7
1.248, -3.065e-6, -7.304e-7
1.247, -2.501e-6, -9.804e-7
1.246, -2.159e-6, -1.196e-6
1.245, -1.920e-6, -1.388e-6
1.244, -1.738e-6, -1.562e-6
1.243, -1.602e-6, -1.722e-6
1.242, -1.495e-6, -1.872e-6
1.241, -1.397e-6, -2.012e-6
1.240, -1.322e-6, -2.144e-6
1.239, -1.256e-6, -2.269e-6
1.238, -1.196e-6, -2.389e-6
1.237, -1.141e-6, -2.503e-6
1.236, -1.085e-6, -2.612e-6
1.235, -1.041e-6, -2.716e-6
1.234, -1.005e-6, -2.816e-6
1.233, -9.746e-7, -2.914e-6
1.232, -9.376e-7, -3.007e-6
1.231, -9.030e-7, -3.098e-6
1.230, -8.749e-7, -3.185e-6
1.229, -8.447e-7, -3.270e-6
1.228, -8.247e-7, -3.352e-6
1.227, -7.972e-7, -3.432e-6
1.226, -7.818e-7, -3.510e-6
1.225, -7.525e-7, -3.585e-6
1.224, -7.428e-7, -3.659e-6
1.223, -7.215e-7, -3.732e-6
1.222, -7.002e-7, -3.802e-6
1.221, -6.911e-7, -3.871e-6
1.220, -6.673e-7, -3.937e-6
1.219, -6.521e-7, -4.003e-6
1.218, -6.457e-7, -4.067e-6
1.217, -6.298e-7, -4.130e-6
1.216, -6.074e-7, -4.191e-6
1.215, -6.004e-7, -4.251e-6
1.214, -5.966e-7, -4.311e-6
1.213, -5.864e-7, -4.369e-6
1.212, -5.668e-7, -4.426e-6
1.211, -5.563e-7, -4.482e-6
1.210, -5.502e-7, -4.537e-6
1.209, -5.442e-7, -4.591e-6
1.208, -5.275e-7, -4.644e-6
1.207, -5.155e-7, -4.695e-6
1.206, -5.046e-7, -4.746e-6
1.205, -5.015e-7, -4.796e-6
1.204, -4.966e-7, -4.846e-6
1.203, -4.880e-7, -4.894e-6
1.202, -4.781e-7, -4.942e-6
1.201, -4.648e-7, -4.989e-6
1.200, -4.589e-7, -5.035e-6
1.199, -4.548e-7, -5.080e-6
1.198, -4.526e-7, -5.125e-6
1.197, -4.497e-7, -5.170e-6
1.196, -4.410e-7, -5.214e-6
1.195, -4.346e-7, -5.258e-6
1.194, -4.233e-7, -5.300e-6
1.193, -4.141e-7, -5.342e-6
1.192, -4.092e-7, -5.383e-6
1.191, -4.067e-7, -5.423e-6
1.190, -4.044e-7, -5.464e-6
1.189, -4.037e-7, -5.504e-6
1.188, -4.016e-7, -5.544e-6
1.187, -3.992e-7, -5.584e-6
1.186, -3.955e-7, -5.624e-6
1.185, -3.888e-7, -5.663e-6
1.184, -3.815e-7, -5.701e-6
1.183, -3.753e-7, -5.738e-6
1.182, -3.667e-7, -5.775e-6
1.181, -3.624e-7, -5.811e-6
1.180, -3.594e-7, -5.847e-6
1.179, -3.577e-7, -5.883e-6
1.178, -3.555e-7, -5.918e-6
1.177, -3.542e-7, -5.954e-6
1.176, -3.514e-7, -5.989e-6
1.175, -3.482e-7, -6.024e-6
1.174, -3.415e-7, -6.058e-6
1.173, -3.312e-7, -6.091e-6
