Nov. 2, 2023   13:02:28
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\oxide_.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-5

Segment 1:
Segment 2:
Ep = 0.360V
ip = 1.490e-5A
Ah = 1.114e-5C

Segment 3:
Segment 4:
Ep = 0.370V
ip = 1.398e-5A
Ah = 1.003e-5C

Segment 5:
Segment 6:
Ep = 0.370V
ip = 1.403e-5A
Ah = 1.050e-5C

Ep = -0.090V
ip = 9.997e-7A
Ah = 5.043e-7C

Segment 7:
Segment 8:
Ep = 0.380V
ip = 1.416e-5A
Ah = 9.275e-6C

Ep = -0.090V
ip = 1.153e-6A
Ah = 6.053e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.240, 8.061e-6, 8.061e-7
-0.230, 7.669e-6, 1.573e-6
-0.220, 7.342e-6, 2.307e-6
-0.210, 7.138e-6, 3.021e-6
-0.200, 7.001e-6, 3.721e-6
-0.190, 6.913e-6, 4.412e-6
-0.180, 6.876e-6, 5.100e-6
-0.170, 6.813e-6, 5.781e-6
-0.160, 6.760e-6, 6.457e-6
-0.150, 6.667e-6, 7.124e-6
-0.140, 6.556e-6, 7.780e-6
-0.130, 6.436e-6, 8.423e-6
-0.120, 6.319e-6, 9.055e-6
-0.110, 6.193e-6, 9.675e-6
-0.100, 6.083e-6, 1.028e-5
-0.090, 5.977e-6, 1.088e-5
-0.080, 5.930e-6, 1.147e-5
-0.070, 5.941e-6, 1.207e-5
-0.060, 6.067e-6, 1.267e-5
-0.050, 6.254e-6, 1.330e-5
-0.040, 6.480e-6, 1.395e-5
-0.030, 6.642e-6, 1.461e-5
-0.020, 6.750e-6, 1.529e-5
-0.010, 6.817e-6, 1.597e-5
0.000, 6.854e-6, 1.665e-5
0.010, 6.870e-6, 1.734e-5
0.020, 6.870e-6, 1.803e-5
0.030, 6.859e-6, 1.871e-5
0.040, 6.828e-6, 1.940e-5
0.050, 6.817e-6, 2.008e-5
0.060, 6.776e-6, 2.076e-5
0.070, 6.732e-6, 2.143e-5
0.080, 6.682e-6, 2.210e-5
0.090, 6.642e-6, 2.276e-5
0.100, 6.596e-6, 2.342e-5
0.110, 6.555e-6, 2.408e-5
0.120, 6.506e-6, 2.473e-5
0.130, 6.470e-6, 2.537e-5
0.140, 6.428e-6, 2.602e-5
0.150, 6.385e-6, 2.666e-5
0.160, 6.331e-6, 2.729e-5
0.170, 6.278e-6, 2.792e-5
0.180, 6.230e-6, 2.854e-5
0.190, 6.182e-6, 2.916e-5
0.200, 6.134e-6, 2.977e-5
0.210, 6.083e-6, 3.038e-5
0.220, 6.042e-6, 3.098e-5
0.230, 5.995e-6, 3.158e-5
0.240, 5.943e-6, 3.218e-5
0.250, 5.887e-6, 3.277e-5
0.260, 5.829e-6, 3.335e-5
0.270, 5.761e-6, 3.393e-5
0.280, 5.698e-6, 3.450e-5
0.290, 5.632e-6, 3.506e-5
0.300, 5.561e-6, 3.561e-5
0.310, 5.500e-6, 3.616e-5
0.320, 5.425e-6, 3.671e-5
0.330, 5.342e-6, 3.724e-5
0.340, 5.252e-6, 3.777e-5
0.350, 5.156e-6, 3.828e-5
0.360, 5.043e-6, 3.879e-5
0.370, 4.924e-6, 3.928e-5
0.380, 4.800e-6, 3.976e-5
0.390, 4.663e-6, 4.022e-5
0.400, 4.521e-6, 4.068e-5
0.410, 4.356e-6, 4.111e-5
0.420, 4.161e-6, 4.153e-5
0.430, 3.949e-6, 4.192e-5
0.440, 3.745e-6, 4.230e-5
0.450, 3.504e-6, 4.265e-5
0.460, 3.237e-6, 4.297e-5
0.470, 2.953e-6, 4.327e-5
0.480, 2.638e-6, 4.353e-5
0.490, 2.296e-6, 4.376e-5
0.500, 1.919e-6, 4.395e-5
0.510, 1.522e-6, 4.410e-5
0.520, 1.104e-6, 4.422e-5
0.530, 7.101e-7, 4.429e-5
0.540, 3.415e-7, 4.432e-5
0.550, -3.572e-9, 4.432e-5
0.560, -3.952e-7, 4.428e-5
0.570, -6.933e-7, 4.421e-5
0.580, -9.481e-7, 4.412e-5
0.590, -1.167e-6, 4.400e-5
0.600, -1.359e-6, 4.386e-5
0.610, -1.521e-6, 4.371e-5
0.620, -1.653e-6, 4.355e-5
0.630, -1.763e-6, 4.337e-5
0.640, -1.847e-6, 4.319e-5
0.650, -1.934e-6, 4.299e-5
0.660, -1.997e-6, 4.279e-5
0.670, -2.048e-6, 4.259e-5
0.680, -2.087e-6, 4.238e-5
0.690, -2.119e-6, 4.217e-5
0.700, -2.152e-6, 4.195e-5
0.710, -2.174e-6, 4.173e-5
0.720, -2.203e-6, 4.151e-5
0.730, -2.223e-6, 4.129e-5
0.740, -2.238e-6, 4.107e-5
0.750, -2.261e-6, 4.084e-5
0.760, -2.285e-6, 4.061e-5
0.770, -2.307e-6, 4.038e-5
0.780, -2.330e-6, 4.015e-5
0.790, -2.353e-6, 3.991e-5
0.800, -2.375e-6, 3.968e-5
0.810, -2.404e-6, 3.944e-5
0.820, -2.426e-6, 3.919e-5
0.830, -2.461e-6, 3.895e-5
0.840, -2.499e-6, 3.870e-5
0.850, -2.534e-6, 3.844e-5
0.860, -2.566e-6, 3.819e-5
0.870, -2.605e-6, 3.793e-5
0.880, -2.643e-6, 3.766e-5
0.890, -2.681e-6, 3.740e-5
0.900, -2.718e-6, 3.712e-5
0.910, -2.752e-6, 3.685e-5
0.920, -2.791e-6, 3.657e-5
0.930, -2.825e-6, 3.629e-5
0.940, -2.851e-6, 3.600e-5
0.950, -2.886e-6, 3.571e-5
0.960, -2.916e-6, 3.542e-5
0.970, -2.943e-6, 3.513e-5
0.980, -2.968e-6, 3.483e-5
0.990, -2.992e-6, 3.453e-5
1.000, -3.010e-6, 3.423e-5
1.010, -3.037e-6, 3.393e-5
1.020, -3.057e-6, 3.362e-5
1.030, -3.083e-6, 3.331e-5
1.040, -3.094e-6, 3.300e-5
1.050, -3.111e-6, 3.269e-5
1.060, -3.134e-6, 3.238e-5
1.070, -3.140e-6, 3.206e-5
1.080, -3.157e-6, 3.175e-5
1.090, -3.181e-6, 3.143e-5
1.100, -3.190e-6, 3.111e-5
1.110, -3.218e-6, 3.079e-5
1.120, -3.238e-6, 3.047e-5
1.130, -3.271e-6, 3.014e-5
1.140, -3.299e-6, 2.981e-5
1.150, -3.337e-6, 2.947e-5
1.160, -3.383e-6, 2.914e-5
1.170, -3.438e-6, 2.879e-5
1.180, -3.511e-6, 2.844e-5
1.190, -3.593e-6, 2.808e-5
1.200, -3.690e-6, 2.771e-5
1.210, -3.803e-6, 2.733e-5
1.220, -3.943e-6, 2.694e-5
1.230, -4.109e-6, 2.653e-5
1.240, -4.317e-6, 2.610e-5

Segment 2:
1.250, -3.734e-6, 2.572e-5
1.240, -2.662e-6, 2.546e-5
1.230, -2.014e-6, 2.526e-5
1.220, -1.570e-6, 2.510e-5
1.210, -1.271e-6, 2.497e-5
1.200, -1.046e-6, 2.487e-5
1.190, -8.790e-7, 2.478e-5
1.180, -7.534e-7, 2.470e-5
1.170, -6.529e-7, 2.464e-5
1.160, -5.770e-7, 2.458e-5
1.150, -5.110e-7, 2.453e-5
1.140, -4.556e-7, 2.448e-5
1.130, -4.104e-7, 2.444e-5
1.120, -3.784e-7, 2.440e-5
1.110, -3.370e-7, 2.437e-5
1.100, -2.386e-7, 2.435e-5
1.090, -1.960e-7, 2.433e-5
1.080, -1.672e-7, 2.431e-5
1.070, -1.524e-7, 2.430e-5
1.060, -1.252e-7, 2.428e-5
1.050, -1.106e-7, 2.427e-5
1.040, -9.442e-8, 2.426e-5
1.030, -7.350e-8, 2.426e-5
1.020, -6.087e-8, 2.425e-5
1.010, -4.650e-8, 2.424e-5
1.000, -2.531e-8, 2.424e-5
0.990, -1.247e-8, 2.424e-5
0.980, 1.592e-9, 2.424e-5
0.970, 2.240e-8, 2.424e-5
0.960, 3.307e-8, 2.425e-5
0.950, 3.828e-8, 2.425e-5
0.940, 5.483e-8, 2.426e-5
0.930, 7.450e-8, 2.426e-5
0.920, 8.450e-8, 2.427e-5
0.910, 9.741e-8, 2.428e-5
0.900, 1.166e-7, 2.429e-5
0.890, 1.285e-7, 2.431e-5
0.880, 1.383e-7, 2.432e-5
0.870, 1.586e-7, 2.434e-5
0.860, 1.768e-7, 2.435e-5
0.850, 1.856e-7, 2.437e-5
0.840, 2.048e-7, 2.439e-5
0.830, 2.261e-7, 2.441e-5
0.820, 2.348e-7, 2.444e-5
0.810, 2.585e-7, 2.446e-5
0.800, 2.778e-7, 2.449e-5
0.790, 2.954e-7, 2.452e-5
0.780, 3.232e-7, 2.455e-5
0.770, 3.369e-7, 2.459e-5
0.760, 3.678e-7, 2.462e-5
0.750, 3.861e-7, 2.466e-5
0.740, 4.186e-7, 2.470e-5
0.730, 4.400e-7, 2.475e-5
0.720, 4.744e-7, 2.480e-5
0.710, 5.044e-7, 2.485e-5
0.700, 5.370e-7, 2.490e-5
0.690, 5.755e-7, 2.496e-5
0.680, 6.168e-7, 2.502e-5
0.670, 6.577e-7, 2.509e-5
0.660, 7.055e-7, 2.516e-5
0.650, 7.536e-7, 2.523e-5
0.640, 8.041e-7, 2.531e-5
0.630, 8.649e-7, 2.540e-5
0.620, 9.281e-7, 2.549e-5
0.610, 9.963e-7, 2.559e-5
0.600, 1.078e-6, 2.570e-5
0.590, 1.163e-6, 2.581e-5
