Nov. 2, 2023   13:20:10
Linear Sweep Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\oxide_lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 1.25
Final E (V) = -0.3
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Ep = 0.346V
ip = 6.827e-6A
Ah = 4.496e-5C

Ep = -0.299V
ip = 3.338e-7A
Ah = 1.452e-5C

Potential/V, Current/A, Charge/C

Segment 1:
1.249, -5.074e-6, -5.074e-7
1.248, -3.521e-6, -8.595e-7
1.247, -2.814e-6, -1.141e-6
1.246, -2.400e-6, -1.381e-6
1.245, -2.117e-6, -1.593e-6
1.244, -1.902e-6, -1.783e-6
1.243, -1.737e-6, -1.956e-6
1.242, -1.608e-6, -2.117e-6
1.241, -1.501e-6, -2.267e-6
1.240, -1.409e-6, -2.408e-6
1.239, -1.336e-6, -2.542e-6
1.238, -1.265e-6, -2.668e-6
1.237, -1.204e-6, -2.789e-6
1.236, -1.153e-6, -2.904e-6
1.235, -1.101e-6, -3.014e-6
1.234, -1.057e-6, -3.120e-6
1.233, -1.021e-6, -3.222e-6
1.232, -9.877e-7, -3.321e-6
1.231, -9.486e-7, -3.416e-6
1.230, -9.220e-7, -3.508e-6
1.229, -8.921e-7, -3.597e-6
1.228, -8.624e-7, -3.683e-6
1.227, -8.427e-7, -3.767e-6
1.226, -8.126e-7, -3.849e-6
1.225, -7.949e-7, -3.928e-6
1.224, -7.799e-7, -4.006e-6
1.223, -7.496e-7, -4.081e-6
1.222, -7.435e-7, -4.156e-6
1.221, -7.176e-7, -4.227e-6
1.220, -6.981e-7, -4.297e-6
1.219, -6.930e-7, -4.366e-6
1.218, -6.707e-7, -4.433e-6
1.217, -6.506e-7, -4.499e-6
1.216, -6.477e-7, -4.563e-6
1.215, -6.374e-7, -4.627e-6
1.214, -6.116e-7, -4.688e-6
1.213, -6.010e-7, -4.748e-6
1.212, -5.993e-7, -4.808e-6
1.211, -5.955e-7, -4.868e-6
1.210, -5.797e-7, -4.926e-6
1.209, -5.614e-7, -4.982e-6
1.208, -5.521e-7, -5.037e-6
1.207, -5.503e-7, -5.092e-6
1.206, -5.460e-7, -5.147e-6
1.205, -5.329e-7, -5.200e-6
1.204, -5.135e-7, -5.251e-6
1.203, -5.050e-7, -5.302e-6
1.202, -5.021e-7, -5.352e-6
1.201, -5.007e-7, -5.402e-6
1.200, -4.968e-7, -5.452e-6
1.199, -4.857e-7, -5.500e-6
1.198, -4.746e-7, -5.548e-6
1.197, -4.615e-7, -5.594e-6
1.196, -4.562e-7, -5.640e-6
1.195, -4.536e-7, -5.685e-6
1.194, -4.528e-7, -5.730e-6
1.193, -4.516e-7, -5.775e-6
1.192, -4.472e-7, -5.820e-6
1.191, -4.397e-7, -5.864e-6
1.190, -4.268e-7, -5.907e-6
1.189, -4.173e-7, -5.948e-6
1.188, -4.091e-7, -5.989e-6
1.187, -4.062e-7, -6.030e-6
1.186, -4.047e-7, -6.070e-6
1.185, -4.043e-7, -6.111e-6
1.184, -4.040e-7, -6.151e-6
1.183, -4.035e-7, -6.192e-6
1.182, -4.021e-7, -6.232e-6
1.181, -3.992e-7, -6.272e-6
1.180, -3.933e-7, -6.311e-6
1.179, -3.871e-7, -6.350e-6
1.178, -3.774e-7, -6.388e-6
1.177, -3.707e-7, -6.425e-6
1.176, -3.638e-7, -6.461e-6
1.175, -3.600e-7, -6.497e-6
1.174, -3.572e-7, -6.533e-6
1.173, -3.562e-7, -6.568e-6
1.172, -3.555e-7, -6.604e-6
1.171, -3.551e-7, -6.639e-6
1.170, -3.544e-7, -6.675e-6
1.169, -3.531e-7, -6.710e-6
1.168, -3.503e-7, -6.745e-6
1.167, -3.461e-7, -6.780e-6
1.166, -3.369e-7, -6.814e-6
1.165, -3.256e-7, -6.846e-6
1.164, -3.056e-7, -6.877e-6
1.163, -2.919e-7, -6.906e-6
1.162, -2.692e-7, -6.933e-6
1.161, -2.564e-7, -6.958e-6
1.160, -2.381e-7, -6.982e-6
1.159, -2.300e-7, -7.005e-6
1.158, -2.199e-7, -7.027e-6
1.157, -2.163e-7, -7.049e-6
1.156, -2.120e-7, -7.070e-6
1.155, -2.110e-7, -7.091e-6
1.154, -2.095e-7, -7.112e-6
1.153, -2.091e-7, -7.133e-6
1.152, -2.085e-7, -7.154e-6
1.151, -2.080e-7, -7.175e-6
1.150, -2.069e-7, -7.195e-6
1.149, -2.060e-7, -7.216e-6
1.148, -2.044e-7, -7.236e-6
1.147, -2.031e-7, -7.257e-6
1.146, -2.005e-7, -7.277e-6
1.145, -1.990e-7, -7.297e-6
1.144, -1.962e-7, -7.316e-6
1.143, -1.945e-7, -7.336e-6
1.142, -1.909e-7, -7.355e-6
1.141, -1.886e-7, -7.374e-6
1.140, -1.853e-7, -7.392e-6
1.139, -1.822e-7, -7.410e-6
1.138, -1.787e-7, -7.428e-6
1.137, -1.753e-7, -7.446e-6
1.136, -1.719e-7, -7.463e-6
1.135, -1.690e-7, -7.480e-6
1.134, -1.669e-7, -7.497e-6
1.133, -1.647e-7, -7.513e-6
1.132, -1.633e-7, -7.529e-6
1.131, -1.623e-7, -7.546e-6
1.130, -1.616e-7, -7.562e-6
1.129, -1.610e-7, -7.578e-6
1.128, -1.607e-7, -7.594e-6
1.127, -1.604e-7, -7.610e-6
1.126, -1.603e-7, -7.626e-6
1.125, -1.602e-7, -7.642e-6
1.124, -1.601e-7, -7.658e-6
1.123, -1.601e-7, -7.674e-6
1.122, -1.599e-7, -7.690e-6
1.121, -1.598e-7, -7.706e-6
1.120, -1.596e-7, -7.722e-6
1.119, -1.595e-7, -7.738e-6
1.118, -1.593e-7, -7.754e-6
1.117, -1.589e-7, -7.770e-6
1.116, -1.583e-7, -7.786e-6
1.115, -1.579e-7, -7.801e-6
1.114, -1.569e-7, -7.817e-6
1.113, -1.560e-7, -7.833e-6
1.112, -1.550e-7, -7.848e-6
1.111, -1.537e-7, -7.864e-6
1.110, -1.520e-7, -7.879e-6
1.109, -1.501e-7, -7.894e-6
1.108, -1.478e-7, -7.909e-6
1.107, -1.459e-7, -7.923e-6
1.106, -1.433e-7, -7.937e-6
1.105, -1.413e-7, -7.952e-6
1.104, -1.387e-7, -7.965e-6
1.103, -1.361e-7, -7.979e-6
1.102, -1.335e-7, -7.992e-6
1.101, -1.314e-7, -8.006e-6
1.100, -1.290e-7, -8.018e-6
1.099, -1.271e-7, -8.031e-6
1.098, -1.243e-7, -8.044e-6
1.097, -1.228e-7, -8.056e-6
1.096, -1.208e-7, -8.068e-6
1.095, -1.195e-7, -8.080e-6
1.094, -1.177e-7, -8.092e-6
1.093, -1.169e-7, -8.103e-6
1.092, -1.156e-7, -8.115e-6
1.091, -1.150e-7, -8.126e-6
1.090, -1.143e-7, -8.138e-6
1.089, -1.136e-7, -8.149e-6
1.088, -1.129e-7, -8.161e-6
1.087, -1.127e-7, -8.172e-6
1.086, -1.124e-7, -8.183e-6
1.085, -1.121e-7, -8.194e-6
1.084, -1.119e-7, -8.205e-6
1.083, -1.118e-7, -8.217e-6
1.082, -1.117e-7, -8.228e-6
