Nov. 2, 2023   12:59:10
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\oxide_air.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-5

Segment 1:
Segment 2:
Ep = -0.060V
ip = 6.650e-6A
Ah = 2.280e-6C

Segment 3:
Segment 4:
Ep = 0.290V
ip = 1.842e-5A
Ah = 2.483e-5C

Segment 5:
Segment 6:
Ep = 0.340V
ip = 1.729e-5A
Ah = 1.600e-5C

Segment 7:
Segment 8:
Ep = 0.350V
ip = 1.872e-5A
Ah = 1.468e-5C

Ep = -0.180V
ip = 6.035e-6A
Ah = 1.662e-6C

Potential/V, Current/A, Charge/C

Segment 1:
-0.240, 2.316e-5, 2.316e-6
-0.230, 2.165e-5, 4.482e-6
-0.220, 2.534e-5, 7.016e-6
-0.210, 2.440e-5, 9.456e-6
-0.200, 2.255e-5, 1.171e-5
-0.190, 2.204e-5, 1.391e-5
-0.180, 2.212e-5, 1.613e-5
-0.170, 2.042e-5, 1.817e-5
-0.160, 1.991e-5, 2.016e-5
-0.150, 1.990e-5, 2.215e-5
-0.140, 2.100e-5, 2.425e-5
-0.130, 2.152e-5, 2.640e-5
-0.120, 2.187e-5, 2.859e-5
-0.110, 2.173e-5, 3.076e-5
-0.100, 2.262e-5, 3.302e-5
-0.090, 2.179e-5, 3.520e-5
-0.080, 2.116e-5, 3.732e-5
-0.070, 2.225e-5, 3.954e-5
-0.060, 2.426e-5, 4.197e-5
-0.050, 2.480e-5, 4.445e-5
-0.040, 2.407e-5, 4.686e-5
-0.030, 2.479e-5, 4.934e-5
-0.020, 2.544e-5, 5.188e-5
-0.010, 2.504e-5, 5.438e-5
0.000, 2.554e-5, 5.694e-5
0.010, 2.599e-5, 5.954e-5
0.020, 2.698e-5, 6.223e-5
0.030, 2.844e-5, 6.508e-5
0.040, 2.581e-5, 6.766e-5
0.050, 2.395e-5, 7.005e-5
0.060, 2.428e-5, 7.248e-5
0.070, 2.549e-5, 7.503e-5
0.080, 2.575e-5, 7.761e-5
0.090, 2.645e-5, 8.025e-5
0.100, 2.537e-5, 8.279e-5
0.110, 2.395e-5, 8.518e-5
0.120, 2.383e-5, 8.757e-5
0.130, 2.475e-5, 9.004e-5
0.140, 2.336e-5, 9.238e-5
0.150, 2.047e-5, 9.443e-5
0.160, 1.934e-5, 9.636e-5
0.170, 1.899e-5, 9.826e-5
0.180, 2.071e-5, 1.003e-4
0.190, 2.198e-5, 1.025e-4
0.200, 2.291e-5, 1.048e-4
0.210, 2.388e-5, 1.072e-4
0.220, 2.209e-5, 1.094e-4
0.230, 2.150e-5, 1.116e-4
0.240, 2.364e-5, 1.139e-4
0.250, 2.568e-5, 1.165e-4
0.260, 2.536e-5, 1.190e-4
0.270, 2.535e-5, 1.216e-4
0.280, 2.210e-5, 1.238e-4
0.290, 1.993e-5, 1.258e-4
0.300, 1.945e-5, 1.277e-4
0.310, 2.043e-5, 1.298e-4
0.320, 2.120e-5, 1.319e-4
0.330, 2.023e-5, 1.339e-4
0.340, 1.922e-5, 1.358e-4
0.350, 1.865e-5, 1.377e-4
0.360, 1.914e-5, 1.396e-4
0.370, 1.797e-5, 1.414e-4
0.380, 1.626e-5, 1.430e-4
0.390, 1.484e-5, 1.445e-4
0.400, 1.358e-5, 1.459e-4
0.410, 1.279e-5, 1.471e-4
0.420, 1.217e-5, 1.484e-4
0.430, 1.215e-5, 1.496e-4
0.440, 1.261e-5, 1.508e-4
0.450, 1.249e-5, 1.521e-4
0.460, 1.169e-5, 1.533e-4
0.470, 1.030e-5, 1.543e-4
0.480, 9.318e-6, 1.552e-4
0.490, 8.350e-6, 1.561e-4
0.500, 7.174e-6, 1.568e-4
0.510, 5.958e-6, 1.574e-4
0.520, 4.943e-6, 1.579e-4
0.530, 3.943e-6, 1.583e-4
0.540, 2.979e-6, 1.586e-4
0.550, 2.121e-6, 1.588e-4
0.560, 1.380e-6, 1.589e-4
0.570, 7.305e-7, 1.590e-4
0.580, 1.651e-7, 1.590e-4
0.590, -3.738e-7, 1.590e-4
0.600, -7.834e-7, 1.589e-4
0.610, -1.086e-6, 1.588e-4
0.620, -1.326e-6, 1.586e-4
0.630, -1.519e-6, 1.585e-4
0.640, -1.664e-6, 1.583e-4
0.650, -1.785e-6, 1.581e-4
0.660, -1.875e-6, 1.580e-4
0.670, -1.960e-6, 1.578e-4
0.680, -2.015e-6, 1.576e-4
0.690, -2.052e-6, 1.573e-4
0.700, -2.093e-6, 1.571e-4
0.710, -2.127e-6, 1.569e-4
0.720, -2.157e-6, 1.567e-4
0.730, -2.180e-6, 1.565e-4
0.740, -2.205e-6, 1.563e-4
0.750, -2.221e-6, 1.561e-4
0.760, -2.248e-6, 1.558e-4
0.770, -2.274e-6, 1.556e-4
0.780, -2.304e-6, 1.554e-4
0.790, -2.326e-6, 1.551e-4
0.800, -2.356e-6, 1.549e-4
0.810, -2.387e-6, 1.547e-4
0.820, -2.417e-6, 1.544e-4
0.830, -2.456e-6, 1.542e-4
0.840, -2.496e-6, 1.539e-4
0.850, -2.535e-6, 1.537e-4
0.860, -2.572e-6, 1.534e-4
0.870, -2.612e-6, 1.532e-4
0.880, -2.658e-6, 1.529e-4
0.890, -2.703e-6, 1.526e-4
0.900, -2.746e-6, 1.523e-4
0.910, -2.790e-6, 1.521e-4
0.920, -2.832e-6, 1.518e-4
0.930, -2.876e-6, 1.515e-4
0.940, -2.917e-6, 1.512e-4
0.950, -2.950e-6, 1.509e-4
0.960, -2.991e-6, 1.506e-4
0.970, -3.030e-6, 1.503e-4
0.980, -3.063e-6, 1.500e-4
0.990, -3.097e-6, 1.497e-4
1.000, -3.133e-6, 1.494e-4
1.010, -3.159e-6, 1.491e-4
1.020, -3.192e-6, 1.487e-4
1.030, -3.223e-6, 1.484e-4
1.040, -3.240e-6, 1.481e-4
1.050, -3.268e-6, 1.478e-4
1.060, -3.288e-6, 1.474e-4
1.070, -3.316e-6, 1.471e-4
1.080, -3.334e-6, 1.468e-4
1.090, -3.355e-6, 1.464e-4
1.100, -3.379e-6, 1.461e-4
1.110, -3.395e-6, 1.458e-4
1.120, -3.427e-6, 1.454e-4
1.130, -3.453e-6, 1.451e-4
1.140, -3.488e-6, 1.447e-4
1.150, -3.529e-6, 1.444e-4
1.160, -3.573e-6, 1.440e-4
1.170, -3.626e-6, 1.437e-4
1.180, -3.693e-6, 1.433e-4
1.190, -3.766e-6, 1.429e-4
1.200, -3.858e-6, 1.425e-4
1.210, -3.968e-6, 1.421e-4
1.220, -4.103e-6, 1.417e-4
1.230, -4.260e-6, 1.413e-4
1.240, -4.458e-6, 1.408e-4

Segment 2:
1.250, -3.865e-6, 1.405e-4
1.240, -2.765e-6, 1.402e-4
1.230, -2.097e-6, 1.400e-4
1.220, -1.635e-6, 1.398e-4
1.210, -1.324e-6, 1.397e-4
1.200, -1.092e-6, 1.396e-4
1.190, -9.189e-7, 1.395e-4
1.180, -7.855e-7, 1.394e-4
1.170, -6.788e-7, 1.393e-4
1.160, -5.984e-7, 1.393e-4
1.150, -5.316e-7, 1.392e-4
1.140, -4.750e-7, 1.392e-4
1.130, -4.276e-7, 1.391e-4
1.120, -3.942e-7, 1.391e-4
1.110, -3.546e-7, 1.390e-4
1.100, -2.666e-7, 1.390e-4
1.090, -2.049e-7, 1.390e-4
1.080, -1.753e-7, 1.390e-4
1.070, -1.585e-7, 1.390e-4
1.060, -1.363e-7, 1.390e-4
1.050, -1.144e-7, 1.389e-4
1.040, -1.007e-7, 1.389e-4
1.030, -7.552e-8, 1.389e-4
1.020, -6.422e-8, 1.389e-4
1.010, -5.483e-8, 1.389e-4
1.000, -3.295e-8, 1.389e-4
0.990, -1.547e-8, 1.389e-4
0.980, -6.676e-9, 1.389e-4
0.970, 1.251e-8, 1.389e-4
0.960, 3.179e-8, 1.389e-4
0.950, 3.585e-8, 1.389e-4
0.940, 4.664e-8, 1.389e-4
0.930, 6.818e-8, 1.389e-4
0.920, 8.278e-8, 1.389e-4
0.910, 9.002e-8, 1.389e-4
0.900, 1.066e-7, 1.390e-4
0.890, 1.282e-7, 1.390e-4
0.880, 1.345e-7, 1.390e-4
0.870, 1.504e-7, 1.390e-4
0.860, 1.739e-7, 1.390e-4
0.850, 1.827e-7, 1.390e-4
0.840, 1.978e-7, 1.390e-4
0.830, 2.229e-7, 1.391e-4
0.820, 2.310e-7, 1.391e-4
0.810, 2.513e-7, 1.391e-4
0.800, 2.757e-7, 1.391e-4
0.790, 2.889e-7, 1.392e-4
0.780, 3.154e-7, 1.392e-4
0.770, 3.317e-7, 1.392e-4
0.760, 3.626e-7, 1.393e-4
0.750, 3.809e-7, 1.393e-4
0.740, 4.140e-7, 1.394e-4
0.730, 4.339e-7, 1.394e-4
0.720, 4.711e-7, 1.394e-4
0.710, 5.033e-7, 1.395e-4
0.700, 5.301e-7, 1.396e-4
0.690, 5.706e-7, 1.396e-4
0.680, 6.110e-7, 1.397e-4
0.670, 6.487e-7, 1.397e-4
0.660, 6.919e-7, 1.398e-4
0.650, 7.430e-7, 1.399e-4
0.640, 7.967e-7, 1.400e-4
0.630, 8.520e-7, 1.400e-4
0.620, 9.193e-7, 1.401e-4
0.610, 9.855e-7, 1.402e-4
0.600, 1.062e-6, 1.403e-4
0.590, 1.146e-6, 1.405e-4
0.580, 1.260e-6, 1.406e-4
0.570, 1.367e-6, 1.407e-4
