Nov. 2, 2023   12:55:03
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\oxide_str_air.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-5

Segment 1:
Segment 2:
Ep = 0.280V
ip = 1.748e-5A
Ah = 2.269e-5C

Ep = 0.140V
ip = 4.916e-6A
Ah = 7.617e-7C

Ep = -0.240V
ip = 9.030e-7A
Ah = 4.800e-7C

Segment 3:
Segment 4:
Ep = 0.330V
ip = 1.736e-5A
Ah = 1.694e-5C

Segment 5:
Segment 6:
Ep = 0.310V
ip = 1.853e-5A
Ah = 1.924e-5C

Ep = -0.120V
ip = 2.215e-6A
Ah = 2.054e-6C

Segment 7:
Segment 8:
Ep = 0.350V
ip = 1.817e-5A
Ah = 1.446e-5C

Ep = -0.240V
ip = 2.796e-6A
Ah = 8.569e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.240, 1.718e-5, 1.718e-6
-0.230, 1.908e-5, 3.626e-6
-0.220, 1.829e-5, 5.454e-6
-0.210, 1.709e-5, 7.163e-6
-0.200, 1.839e-5, 9.002e-6
-0.190, 2.059e-5, 1.106e-5
-0.180, 2.060e-5, 1.312e-5
-0.170, 1.782e-5, 1.490e-5
-0.160, 1.752e-5, 1.666e-5
-0.150, 2.037e-5, 1.869e-5
-0.140, 1.949e-5, 2.064e-5
-0.130, 2.084e-5, 2.273e-5
-0.120, 2.054e-5, 2.478e-5
-0.110, 1.877e-5, 2.666e-5
-0.100, 1.888e-5, 2.854e-5
-0.090, 1.944e-5, 3.049e-5
-0.080, 1.916e-5, 3.240e-5
-0.070, 1.954e-5, 3.436e-5
-0.060, 1.821e-5, 3.618e-5
-0.050, 1.704e-5, 3.788e-5
-0.040, 1.698e-5, 3.958e-5
-0.030, 1.823e-5, 4.140e-5
-0.020, 2.185e-5, 4.359e-5
-0.010, 1.933e-5, 4.552e-5
0.000, 1.931e-5, 4.745e-5
0.010, 1.892e-5, 4.935e-5
0.020, 2.016e-5, 5.136e-5
0.030, 2.106e-5, 5.347e-5
0.040, 1.918e-5, 5.539e-5
0.050, 1.744e-5, 5.713e-5
0.060, 1.711e-5, 5.884e-5
0.070, 1.699e-5, 6.054e-5
0.080, 1.693e-5, 6.223e-5
0.090, 1.933e-5, 6.416e-5
0.100, 1.808e-5, 6.597e-5
0.110, 1.859e-5, 6.783e-5
0.120, 1.868e-5, 6.970e-5
0.130, 1.844e-5, 7.154e-5
0.140, 1.866e-5, 7.341e-5
0.150, 1.608e-5, 7.502e-5
0.160, 1.676e-5, 7.669e-5
0.170, 1.759e-5, 7.845e-5
0.180, 1.740e-5, 8.019e-5
0.190, 1.755e-5, 8.195e-5
0.200, 1.758e-5, 8.371e-5
0.210, 1.637e-5, 8.534e-5
0.220, 1.548e-5, 8.689e-5
0.230, 1.653e-5, 8.854e-5
0.240, 1.697e-5, 9.024e-5
0.250, 1.719e-5, 9.196e-5
0.260, 1.583e-5, 9.354e-5
0.270, 1.601e-5, 9.514e-5
0.280, 1.680e-5, 9.682e-5
0.290, 1.572e-5, 9.840e-5
0.300, 1.740e-5, 1.001e-4
0.310, 1.698e-5, 1.018e-4
0.320, 1.610e-5, 1.034e-4
0.330, 1.651e-5, 1.051e-4
0.340, 1.598e-5, 1.067e-4
0.350, 1.509e-5, 1.082e-4
0.360, 1.427e-5, 1.096e-4
0.370, 1.375e-5, 1.110e-4
0.380, 1.258e-5, 1.123e-4
0.390, 1.323e-5, 1.136e-4
0.400, 1.235e-5, 1.148e-4
0.410, 1.192e-5, 1.160e-4
0.420, 1.221e-5, 1.172e-4
0.430, 1.206e-5, 1.184e-4
0.440, 1.135e-5, 1.196e-4
0.450, 1.042e-5, 1.206e-4
0.460, 9.350e-6, 1.216e-4
0.470, 8.449e-6, 1.224e-4
0.480, 7.358e-6, 1.231e-4
0.490, 6.477e-6, 1.238e-4
0.500, 5.438e-6, 1.243e-4
0.510, 4.604e-6, 1.248e-4
0.520, 3.713e-6, 1.252e-4
0.530, 2.934e-6, 1.254e-4
0.540, 2.186e-6, 1.257e-4
0.550, 1.554e-6, 1.258e-4
0.560, 9.364e-7, 1.259e-4
0.570, 4.089e-7, 1.260e-4
0.580, -4.885e-8, 1.260e-4
0.590, -5.677e-7, 1.259e-4
0.600, -8.883e-7, 1.258e-4
0.610, -1.190e-6, 1.257e-4
0.620, -1.434e-6, 1.255e-4
0.630, -1.587e-6, 1.254e-4
0.640, -1.750e-6, 1.252e-4
0.650, -1.859e-6, 1.250e-4
0.660, -1.932e-6, 1.248e-4
0.670, -2.026e-6, 1.246e-4
0.680, -2.051e-6, 1.244e-4
0.690, -2.094e-6, 1.242e-4
0.700, -2.142e-6, 1.240e-4
0.710, -2.149e-6, 1.238e-4
0.720, -2.196e-6, 1.236e-4
0.730, -2.208e-6, 1.233e-4
0.740, -2.217e-6, 1.231e-4
0.750, -2.258e-6, 1.229e-4
0.760, -2.258e-6, 1.227e-4
0.770, -2.280e-6, 1.224e-4
0.780, -2.309e-6, 1.222e-4
0.790, -2.308e-6, 1.220e-4
0.800, -2.352e-6, 1.217e-4
0.810, -2.372e-6, 1.215e-4
0.820, -2.388e-6, 1.213e-4
0.830, -2.438e-6, 1.210e-4
0.840, -2.455e-6, 1.208e-4
0.850, -2.493e-6, 1.205e-4
0.860, -2.536e-6, 1.203e-4
0.870, -2.561e-6, 1.200e-4
0.880, -2.612e-6, 1.198e-4
0.890, -2.640e-6, 1.195e-4
0.900, -2.676e-6, 1.192e-4
0.910, -2.727e-6, 1.190e-4
0.920, -2.751e-6, 1.187e-4
0.930, -2.795e-6, 1.184e-4
0.940, -2.835e-6, 1.181e-4
0.950, -2.857e-6, 1.178e-4
0.960, -2.907e-6, 1.175e-4
0.970, -2.935e-6, 1.172e-4
0.980, -2.963e-6, 1.170e-4
0.990, -3.008e-6, 1.167e-4
1.000, -3.022e-6, 1.163e-4
1.010, -3.054e-6, 1.160e-4
1.020, -3.089e-6, 1.157e-4
1.030, -3.102e-6, 1.154e-4
1.040, -3.137e-6, 1.151e-4
1.050, -3.153e-6, 1.148e-4
1.060, -3.171e-6, 1.145e-4
1.070, -3.203e-6, 1.142e-4
1.080, -3.212e-6, 1.138e-4
1.090, -3.232e-6, 1.135e-4
1.100, -3.260e-6, 1.132e-4
1.110, -3.270e-6, 1.129e-4
1.120, -3.308e-6, 1.125e-4
1.130, -3.336e-6, 1.122e-4
1.140, -3.366e-6, 1.119e-4
1.150, -3.411e-6, 1.115e-4
1.160, -3.448e-6, 1.112e-4
1.170, -3.507e-6, 1.108e-4
1.180, -3.575e-6, 1.105e-4
1.190, -3.645e-6, 1.101e-4
1.200, -3.742e-6, 1.097e-4
1.210, -3.851e-6, 1.093e-4
1.220, -3.982e-6, 1.089e-4
1.230, -4.155e-6, 1.085e-4
1.240, -4.339e-6, 1.081e-4

Segment 2:
1.250, -3.755e-6, 1.077e-4
1.240, -2.685e-6, 1.074e-4
1.230, -2.026e-6, 1.072e-4
1.220, -1.586e-6, 1.071e-4
1.210, -1.279e-6, 1.070e-4
1.200, -1.051e-6, 1.069e-4
1.190, -8.929e-7, 1.068e-4
1.180, -7.549e-7, 1.067e-4
1.170, -6.581e-7, 1.066e-4
1.160, -5.835e-7, 1.066e-4
1.150, -5.092e-7, 1.065e-4
1.140, -4.647e-7, 1.065e-4
1.130, -4.161e-7, 1.064e-4
1.120, -3.637e-7, 1.064e-4
1.110, -3.201e-7, 1.064e-4
1.100, -2.497e-7, 1.063e-4
1.090, -2.109e-7, 1.063e-4
1.080, -1.719e-7, 1.063e-4
1.070, -1.439e-7, 1.063e-4
1.060, -1.305e-7, 1.063e-4
1.050, -1.076e-7, 1.063e-4
1.040, -8.948e-8, 1.062e-4
1.030, -8.288e-8, 1.062e-4
1.020, -5.589e-8, 1.062e-4
1.010, -4.820e-8, 1.062e-4
1.000, -3.058e-8, 1.062e-4
0.990, -4.873e-9, 1.062e-4
0.980, -5.012e-9, 1.062e-4
0.970, 1.327e-8, 1.062e-4
0.960, 2.802e-8, 1.062e-4
0.950, 3.737e-8, 1.062e-4
0.940, 6.202e-8, 1.062e-4
0.930, 6.841e-8, 1.062e-4
0.920, 7.820e-8, 1.063e-4
0.910, 9.838e-8, 1.063e-4
0.900, 1.065e-7, 1.063e-4
0.890, 1.278e-7, 1.063e-4
0.880, 1.418e-7, 1.063e-4
0.870, 1.472e-7, 1.063e-4
0.860, 1.739e-7, 1.063e-4
0.850, 1.850e-7, 1.064e-4
0.840, 1.979e-7, 1.064e-4
0.830, 2.272e-7, 1.064e-4
0.820, 2.276e-7, 1.064e-4
0.810, 2.523e-7, 1.064e-4
0.800, 2.733e-7, 1.065e-4
0.790, 2.831e-7, 1.065e-4
0.780, 3.179e-7, 1.065e-4
0.770, 3.331e-7, 1.066e-4
0.760, 3.525e-7, 1.066e-4
0.750, 3.865e-7, 1.066e-4
0.740, 4.041e-7, 1.067e-4
0.730, 4.366e-7, 1.067e-4
0.720, 4.705e-7, 1.068e-4
0.710, 4.877e-7, 1.068e-4
0.700, 5.370e-7, 1.069e-4
0.690, 5.690e-7, 1.069e-4
0.680, 6.010e-7, 1.070e-4
0.670, 6.574e-7, 1.071e-4
0.660, 6.906e-7, 1.071e-4
0.650, 7.408e-7, 1.072e-4
0.640, 7.996e-7, 1.073e-4
0.630, 8.428e-7, 1.074e-4
0.620, 9.226e-7, 1.075e-4
