Nov. 0, 2023   12:33:10
Cyclic Voltammetry
File: c:\users\dell\desktop\电化学数据\114514\wht.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 1.25
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.01
Quiet Time (sec) = 1
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.380V
ip = 7.302e-6A
Ah = 6.472e-6C

Ep = -0.290V
ip = 3.849e-6A
Ah = 3.392e-6C

Segment 3:
Ep = 1.240V
ip = -1.197e-6A
Ah = -5.682e-7C

Segment 4:
Ep = 0.380V
ip = 8.356e-6A
Ah = 7.636e-6C

Ep = -0.140V
ip = 3.149e-6A
Ah = 3.360e-6C

Segment 5:
Ep = 1.240V
ip = -1.373e-6A
Ah = -7.134e-7C

Segment 6:
Ep = 0.390V
ip = 8.795e-6A
Ah = 7.137e-6C

Ep = -0.100V
ip = 3.244e-6A
Ah = 2.292e-6C

Segment 7:
Ep = 1.240V
ip = -1.371e-6A
Ah = -6.295e-7C

Segment 8:
Ep = 0.390V
ip = 8.697e-6A
Ah = 6.959e-6C

Ep = -0.090V
ip = 3.143e-6A
Ah = 1.907e-6C

Potential/V, Current/A, Charge/C

Segment 1:
-0.240, -3.239e-6, -3.239e-7
-0.230, -3.210e-6, -6.449e-7
-0.220, -3.510e-6, -9.959e-7
-0.210, -3.549e-6, -1.351e-6
-0.200, -3.383e-6, -1.689e-6
-0.190, -3.579e-6, -2.047e-6
-0.180, -3.300e-6, -2.377e-6
-0.170, -3.157e-6, -2.693e-6
-0.160, -3.198e-6, -3.012e-6
-0.150, -2.938e-6, -3.306e-6
-0.140, -2.973e-6, -3.604e-6
-0.130, -3.005e-6, -3.904e-6
-0.120, -2.834e-6, -4.187e-6
-0.110, -2.984e-6, -4.486e-6
-0.100, -2.969e-6, -4.783e-6
-0.090, -2.907e-6, -5.073e-6
-0.080, -3.120e-6, -5.385e-6
-0.070, -3.035e-6, -5.689e-6
-0.060, -2.948e-6, -5.984e-6
-0.050, -2.830e-6, -6.267e-6
-0.040, -2.289e-6, -6.496e-6
-0.030, -1.937e-6, -6.689e-6
-0.020, -1.592e-6, -6.849e-6
-0.010, -1.256e-6, -6.974e-6
0.000, -1.114e-6, -7.086e-6
0.010, -9.439e-7, -7.180e-6
0.020, -8.174e-7, -7.262e-6
0.030, -7.660e-7, -7.338e-6
0.040, -6.747e-7, -7.406e-6
0.050, -6.307e-7, -7.469e-6
0.060, -6.087e-7, -7.530e-6
0.070, -5.539e-7, -7.585e-6
0.080, -5.523e-7, -7.640e-6
0.090, -5.431e-7, -7.695e-6
0.100, -5.167e-7, -7.746e-6
0.110, -5.283e-7, -7.799e-6
0.120, -5.040e-7, -7.850e-6
0.130, -4.911e-7, -7.899e-6
0.140, -5.114e-7, -7.950e-6
0.150, -4.991e-7, -8.000e-6
0.160, -5.032e-7, -8.050e-6
0.170, -5.146e-7, -8.102e-6
0.180, -5.006e-7, -8.152e-6
0.190, -5.210e-7, -8.204e-6
0.200, -5.278e-7, -8.256e-6
0.210, -5.190e-7, -8.308e-6
0.220, -5.462e-7, -8.363e-6
0.230, -5.378e-7, -8.417e-6
0.240, -5.423e-7, -8.471e-6
0.250, -5.624e-7, -8.527e-6
0.260, -5.552e-7, -8.583e-6
0.270, -5.756e-7, -8.640e-6
0.280, -5.949e-7, -8.700e-6
0.290, -5.948e-7, -8.759e-6
0.300, -6.184e-7, -8.821e-6
0.310, -6.414e-7, -8.885e-6
0.320, -6.480e-7, -8.950e-6
0.330, -6.863e-7, -9.019e-6
0.340, -6.994e-7, -9.089e-6
0.350, -7.277e-7, -9.161e-6
0.360, -7.736e-7, -9.239e-6
0.370, -7.892e-7, -9.318e-6
0.380, -8.301e-7, -9.401e-6
0.390, -8.796e-7, -9.489e-6
0.400, -9.025e-7, -9.579e-6
0.410, -9.726e-7, -9.676e-6
0.420, -1.025e-6, -9.779e-6
0.430, -1.071e-6, -9.886e-6
0.440, -1.172e-6, -1.000e-5
0.450, -1.238e-6, -1.013e-5
0.460, -1.326e-6, -1.026e-5
0.470, -1.472e-6, -1.041e-5
0.480, -1.567e-6, -1.056e-5
0.490, -1.742e-6, -1.074e-5
0.500, -1.976e-6, -1.094e-5
0.510, -2.130e-6, -1.115e-5
0.520, -2.391e-6, -1.139e-5
0.530, -2.607e-6, -1.165e-5
0.540, -2.736e-6, -1.192e-5
0.550, -2.984e-6, -1.222e-5
0.560, -3.094e-6, -1.253e-5
0.570, -3.204e-6, -1.285e-5
0.580, -3.408e-6, -1.319e-5
0.590, -3.455e-6, -1.354e-5
0.600, -3.606e-6, -1.390e-5
0.610, -3.785e-6, -1.428e-5
0.620, -3.807e-6, -1.466e-5
0.630, -3.974e-6, -1.505e-5
0.640, -4.068e-6, -1.546e-5
0.650, -4.095e-6, -1.587e-5
0.660, -4.263e-6, -1.630e-5
0.670, -4.291e-6, -1.672e-5
0.680, -4.326e-6, -1.716e-5
0.690, -4.460e-6, -1.760e-5
0.700, -4.437e-6, -1.805e-5
0.710, -4.506e-6, -1.850e-5
0.720, -4.596e-6, -1.896e-5
0.730, -4.559e-6, -1.941e-5
0.740, -4.643e-6, -1.988e-5
0.750, -4.685e-6, -2.035e-5
0.760, -4.661e-6, -2.081e-5
0.770, -4.770e-6, -2.129e-5
0.780, -4.775e-6, -2.177e-5
0.790, -4.787e-6, -2.225e-5
0.800, -4.900e-6, -2.274e-5
0.810, -4.890e-6, -2.322e-5
0.820, -4.950e-6, -2.372e-5
0.830, -5.067e-6, -2.423e-5
0.840, -5.065e-6, -2.473e-5
0.850, -5.178e-6, -2.525e-5
0.860, -5.261e-6, -2.578e-5
0.870, -5.297e-6, -2.631e-5
0.880, -5.439e-6, -2.685e-5
0.890, -5.493e-6, -2.740e-5
0.900, -5.560e-6, -2.796e-5
0.910, -5.717e-6, -2.853e-5
0.920, -5.756e-6, -2.910e-5
0.930, -5.877e-6, -2.969e-5
0.940, -6.012e-6, -3.029e-5
0.950, -6.053e-6, -3.090e-5
0.960, -6.200e-6, -3.152e-5
0.970, -6.308e-6, -3.215e-5
0.980, -6.364e-6, -3.278e-5
0.990, -6.524e-6, -3.344e-5
1.000, -6.593e-6, -3.410e-5
1.010, -6.666e-6, -3.476e-5
1.020, -6.822e-6, -3.544e-5
1.030, -6.859e-6, -3.613e-5
1.040, -6.957e-6, -3.683e-5
1.050, -7.067e-6, -3.753e-5
1.060, -7.083e-6, -3.824e-5
1.070, -7.191e-6, -3.896e-5
1.080, -7.254e-6, -3.969e-5
1.090, -7.267e-6, -4.041e-5
1.100, -7.367e-6, -4.115e-5
1.110, -7.386e-6, -4.189e-5
1.120, -7.411e-6, -4.263e-5
1.130, -7.504e-6, -4.338e-5
1.140, -7.487e-6, -4.413e-5
1.150, -7.529e-6, -4.488e-5
1.160, -7.602e-6, -4.564e-5
1.170, -7.587e-6, -4.640e-5
1.180, -7.673e-6, -4.717e-5
1.190, -7.734e-6, -4.794e-5
1.200, -7.758e-6, -4.872e-5
1.210, -7.908e-6, -4.951e-5
1.220, -7.988e-6, -5.031e-5
1.230, -8.114e-6, -5.112e-5
1.240, -8.362e-6, -5.195e-5
1.250, -7.018e-6, -5.266e-5

Segment 2:
1.240, -5.062e-6, -5.316e-5
1.230, -3.843e-6, -5.355e-5
1.220, -2.982e-6, -5.384e-5
1.210, -2.414e-6, -5.409e-5
1.200, -1.960e-6, -5.428e-5
1.190, -1.618e-6, -5.444e-5
1.180, -1.380e-6, -5.458e-5
1.170, -1.157e-6, -5.470e-5
1.160, -1.009e-6, -5.480e-5
1.150, -8.800e-7, -5.489e-5
1.140, -7.549e-7, -5.496e-5
1.130, -6.834e-7, -5.503e-5
1.120, -5.993e-7, -5.509e-5
1.110, -5.308e-7, -5.514e-5
1.100, -4.901e-7, -5.519e-5
1.090, -4.227e-7, -5.523e-5
1.080, -3.859e-7, -5.527e-5
1.070, -3.498e-7, -5.531e-5
1.060, -2.072e-7, -5.533e-5
1.050, -1.859e-7, -5.535e-5
1.040, -1.504e-7, -5.536e-5
1.030, -1.019e-7, -5.537e-5
1.020, -9.723e-8, -5.538e-5
1.010, -6.052e-8, -5.539e-5
1.000, -3.400e-8, -5.539e-5
0.990, -2.476e-8, -5.539e-5
0.980, 2.314e-8, -5.539e-5
0.970, 3.521e-8, -5.539e-5
0.960, 4.915e-8, -5.538e-5
0.950, 9.403e-8, -5.537e-5
0.940, 1.003e-7, -5.536e-5
0.930, 1.236e-7, -5.535e-5
0.920, 1.608e-7, -5.533e-5
0.910, 1.603e-7, -5.532e-5
0.900, 1.995e-7, -5.530e-5
0.890, 2.272e-7, -5.528e-5
0.880, 2.306e-7, -5.525e-5
0.870, 2.824e-7, -5.522e-5
0.860, 2.968e-7, -5.520e-5
0.850, 3.118e-7, -5.516e-5
0.840, 3.614e-7, -5.513e-5
0.830, 3.674e-7, -5.509e-5
0.820, 3.996e-7, -5.505e-5
0.810, 4.506e-7, -5.501e-5
0.800, 4.536e-7, -5.496e-5
0.790, 5.082e-7, -5.491e-5
0.780, 5.487e-7, -5.486e-5
0.770, 5.630e-7, -5.480e-5
0.760, 6.279e-7, -5.474e-5
0.750, 6.572e-7, -5.467e-5
0.740, 6.885e-7, -5.460e-5
0.730, 7.701e-7, -5.452e-5
0.720, 7.946e-7, -5.444e-5
0.710, 8.510e-7, -5.436e-5
0.700, 9.299e-7, -5.427e-5
0.690, 9.578e-7, -5.417e-5
0.680, 1.048e-6, -5.407e-5
0.670, 1.125e-6, -5.395e-5
