index	original	background	difference
-----------------------------------------------------
1	537	249	288
2	532	238	294
3	537	236	301
4	572	240	332
5	580	244	336
6	554	252	302
7	584	249	335
8	614	247	367
9	622	254	368
10	594	256	338
11	556	257	299
12	568	245	323
13	592	250	342
14	587	252	335
15	602	255	347
16	584	261	323
17	607	261	346
18	591	258	333
19	570	253	317
20	572	260	312
21	576	253	323
22	589	250	339
23	595	259	336
24	597	261	336
25	615	257	358
26	617	261	356
27	596	266	330
28	601	254	347
29	593	264	329
30	601	265	336
31	608	257	351
32	602	255	347
33	594	267	327
34	619	261	358
35	636	264	372
36	626	271	355
37	654	272	382
38	646	272	374
39	619	263	356
40	611	266	345
41	603	264	339
42	606	270	336
43	623	269	354
44	649	265	384
45	630	269	361
46	603	274	329
47	626	273	353
48	662	267	395
49	658	267	391
50	654	267	387
51	647	269	378
52	642	264	378
53	670	259	411
54	645	267	378
55	656	267	389
56	647	281	366
57	671	278	393
58	672	272	400
59	692	275	417
60	694	269	425
61	663	266	397
62	652	265	387
63	655	275	380
64	675	273	402
65	679	270	409
66	695	270	425
67	670	277	393
68	659	273	386
69	682	280	402
70	681	289	392
71	702	278	424
72	719	280	439
73	696	281	415
74	671	271	400
75	663	268	395
76	705	268	437
77	708	271	437
78	710	274	436
79	726	279	447
80	727	280	447
81	712	274	438
82	713	270	443
83	709	277	432
84	713	273	440
85	729	277	452
86	715	287	428
87	690	283	407
88	698	275	423
89	733	274	459
90	747	268	479
91	756	272	484
92	756	273	483
93	747	261	486
94	720	274	446
95	729	277	452
96	749	274	475
97	772	277	495
98	798	272	526
99	765	271	494
100	748	278	470
101	801	281	520
102	785	272	513
103	782	275	507
104	800	276	524
105	799	277	522
106	822	286	536
107	825	279	546
108	826	272	554
109	819	284	535
110	800	274	526
111	818	276	542
112	811	287	524
113	814	274	540
114	816	272	544
115	835	280	555
116	841	277	564
117	860	276	584
118	840	293	547
119	835	288	547
120	842	269	573
121	840	272	568
122	847	274	573
123	868	287	581
124	866	294	572
125	861	281	580
126	862	281	581
127	849	290	559
128	844	281	563
129	871	279	592
130	886	275	611
131	891	277	614
132	871	279	592
133	876	276	600
134	898	282	616
135	901	279	622
136	905	287	618
137	946	283	663
138	925	278	647
139	917	278	639
140	909	278	631
141	913	280	633
142	927	276	651
143	947	291	656
144	936	288	648
145	935	279	656
146	927	274	653
147	947	277	670
148	955	276	679
149	952	282	670
150	935	278	657
151	976	278	698
152	984	279	705
153	952	287	665
154	979	278	701
155	986	271	715
156	1005	269	736
157	1013	274	739
158	973	279	694
159	979	280	699
160	992	284	708
161	984	277	707
162	1005	279	726
163	1037	279	758
164	1031	276	755
165	1035	279	756
