index	original	background	difference
-----------------------------------------------------
1	539	346	193
2	565	356	209
3	551	362	189
4	523	357	166
5	526	352	174
6	542	352	190
7	541	359	182
8	545	364	181
9	533	360	173
10	522	370	152
11	515	363	152
12	533	359	174
13	550	365	185
14	547	359	188
15	525	350	175
16	523	346	177
17	523	360	163
18	509	357	152
19	525	350	175
20	535	359	176
21	556	363	193
22	559	360	199
23	552	362	190
24	531	361	170
25	526	355	171
26	515	368	147
27	505	371	134
28	530	360	170
29	559	365	194
30	557	371	186
31	539	369	170
32	504	361	143
33	514	369	145
34	523	379	144
35	507	366	141
36	510	363	147
37	513	359	154
38	518	362	156
39	509	359	150
40	513	359	154
41	513	366	147
42	520	363	157
43	518	370	148
44	528	367	161
45	551	353	198
46	560	358	202
47	564	367	197
48	542	364	178
49	518	375	143
50	533	379	154
51	544	377	167
52	538	372	166
53	563	367	196
54	557	380	177
55	554	375	179
56	550	372	178
57	545	374	171
58	523	376	147
59	505	370	135
60	530	373	157
61	543	374	169
62	543	370	173
63	528	376	152
64	515	368	147
65	516	373	143
66	530	379	151
67	515	371	144
68	527	368	159
69	521	363	158
70	528	361	167
71	534	368	166
72	532	377	155
73	548	378	170
74	542	381	161
75	506	374	132
76	509	364	145
77	513	355	158
78	514	367	147
79	531	371	160
80	550	368	182
81	540	373	167
82	527	381	146
83	524	368	156
84	549	373	176
85	566	378	188
86	527	370	157
87	523	371	152
88	544	363	181
89	539	364	175
90	509	374	135
91	517	381	136
92	545	379	166
93	539	372	167
94	550	369	181
95	534	373	161
96	536	367	169
97	540	361	179
98	534	370	164
99	533	372	161
100	554	377	177
101	545	379	166
102	520	376	144
103	514	370	144
104	505	369	136
105	529	378	151
106	541	377	164
107	540	373	167
108	548	371	177
109	575	371	204
110	581	373	208
111	549	370	179
112	537	364	173
113	531	377	154
114	533	375	158
115	540	374	166
116	545	376	169
117	538	372	166
118	539	378	161
119	532	378	154
120	540	369	171
121	557	365	192
122	528	366	162
123	513	378	135
124	538	391	147
125	532	375	157
126	526	368	158
127	514	367	147
128	538	374	164
129	539	381	158
130	556	376	180
131	557	376	181
132	532	369	163
133	535	369	166
134	541	368	173
135	525	375	150
136	499	383	116
137	518	378	140
138	533	377	156
139	542	368	174
140	550	378	172
141	522	386	136
142	544	385	159
143	541	369	172
144	535	369	166
145	533	378	155
146	529	367	162
147	541	365	176
148	546	376	170
149	542	371	171
150	556	381	175
151	542	394	148
152	539	381	158
153	531	372	159
154	541	369	172
155	536	364	172
156	554	369	185
157	539	368	171
158	547	364	183
159	535	374	161
160	537	374	163
161	547	370	177
162	519	370	149
163	507	378	129
164	534	373	161
165	522	373	149
166	527	382	145
167	541	379	162
168	528	376	152
169	523	368	155
170	524	368	156
171	526	366	160
172	532	373	159
173	540	369	171
174	545	372	173
175	537	370	167
176	522	371	151
177	500	363	137
178	511	369	142
179	520	368	152
180	508	379	129
181	510	373	137
182	498	373	125
183	509	373	136
184	535	372	163
185	539	368	171
186	547	373	174
187	533	362	171
188	543	364	179
189	510	373	137
190	494	371	123
191	502	373	129
192	513	374	139
193	491	373	118
194	503	365	138
195	505	364	141
196	522	368	154
197	503	366	137
198	505	368	137
199	519	380	139
200	538	379	159
201	533	374	159
202	512	380	132
203	508	371	137
204	511	367	144
205	513	371	142
206	549	364	185
207	533	365	168
208	525	371	154
209	517	377	140
210	549	372	177
211	565	380	185
212	535	377	158
213	513	366	147
214	506	370	136
215	500	375	125
216	513	374	139
217	531	373	158
218	531	371	160
219	502	361	141
220	538	370	168
221	529	365	164
222	531	366	165
223	508	368	140
224	514	371	143
225	512	374	138
226	494	365	129
227	499	368	131
228	521	361	160
229	532	368	164
230	541	372	169
231	511	369	142
232	518	370	148
233	513	366	147
234	484	367	117
235	505	369	136
236	514	361	153
237	482	363	119
238	516	370	146
239	517	364	153
240	525	357	168
241	533	363	170
242	525	362	163
243	509	364	145
244	524	367	157
245	537	374	163
246	523	378	145
247	500	373	127
248	481	367	114
249	511	360	151
250	525	370	155
251	489	364	125
252	518	367	151
253	497	363	134
254	487	366	121
255	522	369	153
256	544	372	172
257	527	381	146
258	517	371	146
259	505	359	146
260	510	361	149
261	514	368	146
262	516	361	155
263	516	368	148
264	519	371	148
265	511	369	142
266	517	372	145
267	512	373	139
268	504	367	137
269	506	365	141
270	540	363	177
271	533	367	166
272	538	370	168
273	526	364	162
274	517	365	152
275	527	371	156
276	518	374	144
277	514	368	146
278	526	366	160
279	509	365	144
280	525	367	158
281	521	365	156
282	517	360	157
283	516	352	164
284	522	361	161
285	517	357	160
286	524	352	172
287	507	360	147
288	531	368	163
289	512	375	137
290	512	365	147
291	501	351	150
292	531	364	167
293	516	365	151
294	515	357	158
295	516	361	155
296	512	361	151
297	503	368	135
298	511	370	141
299	512	359	153
300	535	359	176
301	516	350	166
302	516	358	158
303	514	354	160
304	534	352	182
305	521	360	161
306	525	365	160
307	517	364	153
308	532	353	179
309	513	351	162
310	513	351	162
311	514	356	158
312	499	361	138
313	510	352	158
314	536	352	184
315	512	353	159
316	524	358	166
317	527	360	167
318	509	362	147
319	496	365	131
320	510	364	146
321	519	368	151
322	520	371	149
323	507	369	138
324	515	365	150
325	496	363	133
326	497	360	137
327	517	354	163
328	503	365	138
329	488	366	122
330	493	362	131
331	507	353	154
332	526	353	173
333	519	358	161
334	506	361	145
335	523	353	170
336	517	359	158
337	501	367	134
338	520	362	158
339	491	356	135
340	501	351	150
341	509	354	155
342	521	362	159
343	505	355	150
344	502	368	134
345	490	366	124
346	495	360	135
347	499	362	137
348	512	353	159
349	515	354	161
350	493	368	125
351	481	370	111
352	501	356	145
353	511	360	151
354	511	365	146
355	537	364	173
356	532	355	177
357	516	365	151
358	501	370	131
359	499	362	137
360	485	354	131
361	499	358	141
362	513	357	156
363	496	347	149
364	514	357	157
365	490	358	132
366	490	357	133
367	513	354	159
368	512	355	157
369	518	357	161
370	500	358	142
371	494	356	138
372	545	358	187
373	541	357	184
374	516	360	156
375	491	353	138
376	476	359	117
377	504	361	143
378	505	352	153
379	513	354	159
380	516	365	151
381	489	358	131
382	509	360	149
383	508	361	147
384	495	355	140
385	465	354	111
386	497	349	148
387	502	351	151
388	493	354	139
389	518	356	162
390	512	349	163
391	497	356	141
392	509	360	149
393	499	352	147
394	504	361	143
395	498	366	132
396	489	371	118
397	500	358	142
398	504	349	155
399	493	353	140
400	473	357	116
401	474	356	118
402	487	358	129
403	499	351	148
404	518	354	164
405	496	346	150
406	490	348	142
407	481	351	130
408	488	362	126
409	488	368	120
410	520	362	158
411	524	360	164
412	507	364	143
413	508	366	142
414	500	359	141
415	482	357	125
416	510	370	140
417	522	364	158
418	518	365	153
419	516	367	149
420	509	367	142
421	478	359	119
422	522	363	159
423	518	358	160
424	509	368	141
425	511	362	149
426	503	354	149
427	510	349	161
428	536	356	180
429	520	359	161
430	514	357	157
431	510	354	156
432	492	351	141
433	477	359	118
434	483	357	126
435	498	352	146
436	502	356	146
437	490	358	132
438	479	355	124
439	492	349	143
440	528	351	177
441	537	357	180
442	516	358	158
443	507	358	149
444	516	363	153
445	502	363	139
446	507	355	152
447	524	346	178
448	529	345	184
449	508	350	158
450	489	346	143
451	488	359	129
452	511	361	150
453	527	357	170
454	530	358	172
455	494	351	143
456	516	352	164
457	523	359	164
458	513	360	153
459	512	353	159
460	509	355	154
461	522	357	165
462	511	364	147
463	489	357	132
464	492	349	143
465	500	360	140
466	518	362	156
467	504	355	149
468	522	352	170
469	526	358	168
470	499	361	138
471	469	354	115
472	489	349	140
473	461	347	114
474	478	360	118
475	499	365	134
476	481	369	112
477	501	363	138
478	516	356	160
479	496	357	139
480	495	341	154
481	474	352	122
482	490	356	134
483	487	358	129
484	478	353	125
485	501	353	148
486	529	357	172
487	518	366	152
488	493	349	144
489	488	351	137
490	494	352	142
491	514	347	167
492	517	347	170
493	511	351	160
494	503	348	155
495	493	345	148
496	513	353	160
497	524	355	169
498	504	359	145
499	518	352	166
500	545	356	189
501	513	349	164
502	504	349	155
503	518	345	173
504	478	348	130
505	470	352	118
506	506	346	160
507	535	340	195
508	531	341	190
509	503	346	157
510	521	355	166
511	536	350	186
512	515	340	175
513	514	342	172
514	527	350	177
515	503	353	150
516	521	354	167
517	508	353	155
518	490	351	139
519	519	352	167
520	518	341	177
521	512	340	172
522	502	348	154
523	489	351	138
524	511	354	157
525	507	351	156
526	488	350	138
527	491	344	147
528	512	349	163
529	500	350	150
530	507	343	164
531	519	337	182
532	506	345	161
533	517	346	171
534	515	343	172
535	497	345	152
536	515	358	157
537	513	345	168
538	528	347	181
539	532	357	175
540	527	348	179
541	514	345	169
542	522	350	172
543	500	343	157
544	506	344	162
545	521	347	174
546	520	351	169
547	493	349	144
548	513	352	161
549	522	342	180
550	507	338	169
551	508	342	166
552	508	346	162
553	528	341	187
554	534	346	188
555	521	341	180
556	541	348	193
557	553	347	206
558	559	341	218
559	530	344	186
560	507	342	165
561	539	349	190
562	556	346	210
563	527	343	184
564	536	342	194
565	561	342	219
566	549	344	205
567	551	348	203
568	555	352	203
569	526	348	178
570	526	335	191
571	518	332	186
572	548	347	201
573	556	352	204
574	543	360	183
575	511	357	154
576	534	356	178
577	554	345	209
578	545	341	204
579	556	344	212
580	550	348	202
581	536	348	188
582	553	344	209
583	559	337	222
584	552	328	224
585	575	348	227
586	599	345	254
587	573	342	231
588	557	349	208
589	530	345	185
590	566	349	217
591	575	353	222
592	571	338	233
593	548	343	205
594	557	339	218
595	582	339	243
596	589	340	249
597	588	341	247
598	589	343	246
599	580	348	232
600	590	344	246
601	578	346	232
602	585	343	242
603	594	352	242
604	582	349	233
605	568	345	223
606	580	352	228
607	571	348	223
608	626	337	289
609	632	334	298
610	626	346	280
611	625	345	280
612	601	334	267
613	589	338	251
614	608	342	266
615	599	342	257
616	591	341	250
617	628	342	286
618	654	335	319
619	649	337	312
620	637	349	288
621	638	339	299
622	650	336	314
623	644	339	305
624	656	342	314
625	643	340	303
626	669	342	327
627	690	337	353
628	691	340	351
629	681	342	339
630	667	343	324
631	682	349	333
632	712	357	355
633	701	354	347
634	729	346	383
635	740	339	401
636	730	337	393
637	756	346	410
638	772	345	427
639	791	344	447
640	786	340	446
641	794	336	458
642	815	341	474
643	809	346	463
644	809	345	464
645	845	338	507
646	857	344	513
647	839	343	496
648	849	344	505
649	857	346	511
650	886	341	545
651	903	345	558
652	920	345	575
653	933	348	585
654	984	348	636
655	969	344	625
656	977	343	634
657	987	344	643
658	982	332	650
