index	original	background	difference
-----------------------------------------------------
1	667	249	418
2	675	238	437
3	672	236	436
4	672	240	432
5	684	244	440
6	683	252	431
7	676	249	427
8	682	247	435
9	694	254	440
10	708	256	452
11	709	257	452
12	716	245	471
13	709	250	459
14	700	252	448
15	706	255	451
16	711	261	450
17	706	261	445
18	716	258	458
19	723	253	470
20	724	260	464
21	727	253	474
22	722	250	472
23	715	259	456
24	715	261	454
25	725	257	468
26	729	261	468
27	724	266	458
28	729	254	475
29	736	264	472
30	727	265	462
31	735	257	478
32	738	255	483
33	735	267	468
34	728	261	467
35	736	264	472
36	738	271	467
37	738	272	466
38	738	272	466
39	735	263	472
40	750	266	484
41	758	264	494
42	748	270	478
43	745	269	476
44	756	265	491
45	745	269	476
46	739	274	465
47	748	273	475
48	754	267	487
49	744	267	477
50	764	267	497
51	772	269	503
52	779	264	515
53	779	259	520
54	768	267	501
55	765	267	498
56	766	281	485
57	771	278	493
58	787	272	515
59	785	275	510
60	776	269	507
61	782	266	516
62	788	265	523
63	797	275	522
64	780	273	507
65	774	270	504
66	793	270	523
67	794	277	517
68	781	273	508
69	794	280	514
70	789	289	500
71	793	278	515
72	793	280	513
73	799	281	518
74	818	271	547
75	809	268	541
76	814	268	546
77	819	271	548
78	814	274	540
79	819	279	540
80	815	280	535
81	825	274	551
82	825	270	555
83	833	277	556
84	823	273	550
85	815	277	538
86	809	287	522
87	826	283	543
88	845	275	570
89	846	274	572
90	860	268	592
91	853	272	581
92	851	273	578
93	866	261	605
94	864	274	590
95	855	277	578
96	860	274	586
97	865	277	588
98	860	272	588
99	857	271	586
100	868	278	590
101	887	281	606
102	890	272	618
103	890	275	615
104	895	276	619
105	899	277	622
106	901	286	615
107	900	279	621
108	902	272	630
109	907	284	623
110	897	274	623
111	907	276	631
112	920	287	633
113	924	274	650
114	921	272	649
115	928	280	648
116	933	277	656
117	947	276	671
118	944	293	651
119	960	288	672
120	952	269	683
121	948	272	676
122	958	274	684
123	958	287	671
124	970	294	676
125	965	281	684
126	956	281	675
127	975	290	685
128	985	281	704
129	976	279	697
130	975	275	700
131	991	277	714
132	980	279	701
133	994	276	718
134	1005	282	723
135	1001	279	722
136	982	287	695
137	984	283	701
138	1004	278	726
139	1007	278	729
140	1015	278	737
141	1012	280	732
142	1011	276	735
143	1026	291	735
144	1044	288	756
145	1038	279	759
146	1027	274	753
147	1036	277	759
148	1044	276	768
149	1047	282	765
150	1051	278	773
151	1054	278	776
152	1052	279	773
153	1061	287	774
154	1074	278	796
155	1067	271	796
156	1061	269	792
157	1072	274	798
158	1059	279	780
159	1068	280	788
160	1085	284	801
161	1083	277	806
162	1079	279	800
163	1086	279	807
164	1098	276	822
165	1102	279	823
166	1090	283	807
167	1095	286	809
168	1107	287	820
169	1112	292	820
170	1114	283	831
171	1121	288	833
172	1130	275	855
173	1140	269	871
174	1138	277	861
175	1134	288	846
176	1131	281	850
177	1154	282	872
178	1152	285	867
179	1159	281	878
180	1155	280	875
181	1157	280	877
182	1147	279	868
183	1153	285	868
184	1158	285	873
185	1147	279	868
186	1160	282	878
187	1157	286	871
188	1169	280	889
189	1174	283	891
190	1189	279	910
191	1187	281	906
192	1180	280	900
193	1195	279	916
194	1199	284	915
195	1197	283	914
196	1200	284	916
197	1206	277	929
198	1212	281	931
199	1208	283	925
200	1220	287	933
201	1223	288	935
202	1239	276	963
203	1218	282	936
204	1222	289	933
205	1232	286	946
206	1248	281	967
207	1240	282	958
208	1242	279	963
209	1231	279	952
210	1224	281	943
211	1221	283	938
212	1241	278	963
213	1255	276	979
214	1244	274	970
215	1256	268	988
216	1255	275	980
217	1257	284	973
218	1259	267	992
219	1259	290	969
220	1264	274	990
221	1266	272	994
222	1281	276	1005
223	1276	281	995
224	1270	285	985
225	1287	280	1007
226	1291	280	1011
227	1292	284	1008
228	1284	281	1003
229	1289	274	1015
230	1295	285	1010
231	1316	275	1041
232	1321	274	1047
233	1314	285	1029
234	1318	286	1032
235	1321	286	1035
236	1316	278	1038
237	1320	277	1043
238	1336	270	1066
239	1337	275	1062
240	1329	276	1053
241	1340	280	1060
242	1339	287	1052
243	1323	288	1035
244	1333	280	1053
245	1352	273	1079
246	1339	276	1063
247	1352	287	1065
248	1359	283	1076
249	1355	280	1075
250	1365	281	1084
251	1354	279	1075
252	1364	276	1088
253	1387	283	1104
254	1381	280	1101
255	1401	278	1123
256	1393	279	1114
257	1379	280	1099
258	1380	282	1098
259	1387	276	1111
260	1395	276	1119
261	1405	279	1126
262	1401	275	1126
263	1400	279	1121
264	1416	276	1140
265	1415	269	1146
266	1414	274	1140
267	1408	280	1128
268	1430	277	1153
269	1441	272	1169
270	1457	272	1185
271	1462	272	1190
272	1437	275	1162
273	1442	279	1163
274	1443	282	1161
275	1441	282	1159
276	1464	283	1181
277	1466	287	1179
278	1467	273	1194
279	1460	276	1184
280	1468	273	1195
281	1491	278	1213
282	1500	280	1220
283	1482	282	1200
284	1490	282	1208
285	1499	288	1211
286	1494	282	1212
287	1495	292	1203
288	1466	293	1173
289	1477	286	1191
290	1495	280	1215
291	1498	274	1224
292	1516	273	1243
293	1517	277	1240
294	1492	276	1216
295	1511	280	1231
296	1525	279	1246
297	1524	277	1247
298	1521	279	1242
299	1534	279	1255
300	1547	280	1267
301	1564	285	1279
302	1550	273	1277
303	1564	274	1290
304	1570	275	1295
305	1565	283	1282
306	1564	285	1279
307	1582	290	1292
308	1577	297	1280
309	1581	280	1301
