index	original	background	difference
-----------------------------------------------------
1	692	249	443
2	675	238	437
3	647	236	411
4	671	240	431
5	706	244	462
6	704	252	452
7	705	249	456
8	714	247	467
9	711	254	457
10	716	256	460
11	702	257	445
12	677	245	432
13	709	250	459
14	749	252	497
15	736	255	481
16	733	261	472
17	728	261	467
18	748	258	490
19	736	253	483
20	733	260	473
21	723	253	470
22	734	250	484
23	710	259	451
24	708	261	447
25	729	257	472
26	734	261	473
27	725	266	459
28	731	254	477
29	711	264	447
30	720	265	455
31	753	257	496
32	757	255	502
33	741	267	474
34	766	261	505
35	762	264	498
36	741	271	470
37	744	272	472
38	733	272	461
39	732	263	469
40	758	266	492
41	780	264	516
42	774	270	504
43	790	269	521
44	753	265	488
45	711	269	442
46	742	274	468
47	755	273	482
48	758	267	491
49	752	267	485
50	757	267	490
51	782	269	513
52	782	264	518
53	788	259	529
54	773	267	506
55	778	267	511
56	764	281	483
57	754	278	476
58	760	272	488
59	758	275	483
60	770	269	501
61	795	266	529
62	833	265	568
63	795	275	520
64	780	273	507
65	798	270	528
66	786	270	516
67	782	277	505
68	815	273	542
69	818	280	538
70	824	289	535
71	795	278	517
72	774	280	494
73	804	281	523
74	814	271	543
75	813	268	545
76	834	268	566
77	836	271	565
78	846	274	572
79	830	279	551
80	843	280	563
81	847	274	573
82	832	270	562
83	817	277	540
84	853	273	580
85	876	277	599
86	876	287	589
87	878	283	595
88	859	275	584
89	861	274	587
90	880	268	612
91	887	272	615
92	868	273	595
93	829	261	568
94	850	274	576
95	899	277	622
96	933	274	659
97	915	277	638
98	909	272	637
99	866	271	595
100	885	278	607
101	905	281	624
102	904	272	632
103	872	275	597
104	878	276	602
105	904	277	627
106	917	286	631
107	911	279	632
108	919	272	647
109	896	284	612
110	895	274	621
111	918	276	642
112	957	287	670
113	958	274	684
114	947	272	675
115	937	280	657
116	927	277	650
117	934	276	658
118	953	293	660
119	938	288	650
120	941	269	672
121	946	272	674
122	971	274	697
123	978	287	691
124	955	294	661
125	958	281	677
126	995	281	714
127	1001	290	711
128	998	281	717
129	978	279	699
130	981	275	706
131	1002	277	725
132	996	279	717
133	987	276	711
134	1024	282	742
135	1040	279	761
136	1026	287	739
137	1018	283	735
138	1037	278	759
139	1042	278	764
140	1054	278	776
141	1044	280	764
142	1026	276	750
143	1041	291	750
144	1023	288	735
145	1039	279	760
146	1056	274	782
147	1048	277	771
148	1060	276	784
149	1070	282	788
150	1065	278	787
151	1053	278	775
152	1077	279	798
153	1092	287	805
154	1076	278	798
155	1070	271	799
156	1073	269	804
157	1040	274	766
158	1073	279	794
159	1086	280	806
160	1088	284	804
161	1107	277	830
162	1130	279	851
163	1138	279	859
164	1121	276	845
165	1109	279	830
166	1100	283	817
167	1119	286	833
168	1138	287	851
169	1121	292	829
170	1147	283	864
171	1174	288	886
172	1145	275	870
173	1142	269	873
174	1162	277	885
175	1171	288	883
176	1159	281	878
177	1130	282	848
178	1165	285	880
179	1157	281	876
180	1183	280	903
181	1200	280	920
182	1191	279	912
183	1160	285	875
184	1155	285	870
185	1182	279	903
186	1234	282	952
187	1216	286	930
188	1163	280	883
189	1177	283	894
190	1224	279	945
191	1196	281	915
192	1180	280	900
193	1215	279	936
194	1217	284	933
195	1221	283	938
196	1253	284	969
197	1209	277	932
198	1210	281	929
199	1228	283	945
200	1239	287	952
201	1204	288	916
202	1218	276	942
203	1239	282	957
204	1242	289	953
205	1262	286	976
206	1290	281	1009
207	1262	282	980
208	1262	279	983
209	1269	279	990
210	1262	281	981
211	1260	283	977
212	1275	278	997
213	1266	276	990
214	1270	274	996
215	1309	268	1041
216	1312	275	1037
217	1302	284	1018
218	1302	267	1035
219	1292	290	1002
220	1278	274	1004
221	1305	272	1033
222	1317	276	1041
223	1285	281	1004
224	1292	285	1007
225	1295	280	1015
226	1315	280	1035
227	1349	284	1065
228	1349	281	1068
229	1368	274	1094
230	1356	285	1071
231	1335	275	1060
232	1370	274	1096
233	1305	285	1020
234	1296	286	1010
235	1294	286	1008
236	1320	278	1042
237	1354	277	1077
238	1351	270	1081
239	1352	275	1077
240	1365	276	1089
241	1381	280	1101
242	1390	287	1103
243	1361	288	1073
244	1356	280	1076
245	1368	273	1095
246	1356	276	1080
247	1370	287	1083
248	1390	283	1107
249	1411	280	1131
250	1411	281	1130
251	1408	279	1129
252	1399	276	1123
253	1407	283	1124
254	1400	280	1120
255	1407	278	1129
256	1434	279	1155
257	1452	280	1172
258	1447	282	1165
259	1467	276	1191
260	1428	276	1152
261	1384	279	1105
262	1428	275	1153
263	1475	279	1196
264	1471	276	1195
265	1480	269	1211
266	1473	274	1199
267	1463	280	1183
268	1462	277	1185
269	1457	272	1185
270	1459	272	1187
271	1459	272	1187
272	1470	275	1195
273	1434	279	1155
274	1436	282	1154
275	1492	282	1210
276	1492	283	1209
277	1438	287	1151
278	1494	273	1221
279	1493	276	1217
280	1483	273	1210
281	1519	278	1241
282	1521	280	1241
283	1516	282	1234
284	1525	282	1243
285	1530	288	1242
286	1560	282	1278
287	1559	292	1267
288	1565	293	1272
289	1566	286	1280
290	1516	280	1236
291	1567	274	1293
292	1578	273	1305
293	1561	277	1284
294	1562	276	1286
295	1563	280	1283
296	1610	279	1331
297	1597	277	1320
298	1575	279	1296
299	1617	279	1338
300	1632	280	1352
301	1596	285	1311
302	1581	273	1308
303	1565	274	1291
304	1589	275	1314
305	1595	283	1312
306	1593	285	1308
307	1605	290	1315
308	1660	297	1363
309	1646	280	1366
310	1652	279	1373
311	1619	279	1340
312	1631	282	1349
313	1668	272	1396
314	1618	269	1349
315	1618	276	1342
316	1655	283	1372
317	1672	278	1394
318	1676	280	1396
319	1701	284	1417
320	1676	277	1399
321	1684	281	1403
322	1675	271	1404
