index	original	background	difference
-----------------------------------------------------
1	352	210	142
2	356	221	135
3	355	224	131
4	340	224	116
5	337	224	113
6	349	228	121
7	326	230	96
8	324	216	108
9	348	216	132
10	354	222	132
11	335	223	112
12	341	233	108
13	355	234	121
14	337	231	106
15	341	228	113
16	346	224	122
17	333	214	119
18	339	223	116
19	351	232	119
20	361	236	125
21	384	234	150
22	373	230	143
23	375	229	146
24	384	232	152
25	378	238	140
26	374	231	143
27	382	225	157
28	384	230	154
29	369	223	146
30	352	225	127
31	359	236	123
32	368	230	138
33	364	231	133
34	380	231	149
35	394	232	162
36	400	246	154
37	393	246	147
38	374	237	137
39	360	228	132
40	385	235	150
41	411	248	163
42	408	243	165
43	391	238	153
44	403	240	163
45	387	239	148
46	375	241	134
47	407	243	164
48	417	242	175
49	397	250	147
50	419	250	169
51	424	239	185
52	403	252	151
53	412	252	160
54	406	244	162
55	397	233	164
56	397	236	161
57	387	246	141
58	378	246	132
59	419	242	177
60	442	237	205
61	428	240	188
62	423	248	175
63	434	239	195
64	413	237	176
65	391	249	142
66	406	244	162
67	415	238	177
68	417	243	174
69	415	250	165
70	419	254	165
71	442	248	194
72	454	243	211
73	426	244	182
74	418	251	167
75	430	255	175
76	446	255	191
77	426	240	186
78	408	242	166
79	432	249	183
80	434	245	189
81	432	253	179
82	428	247	181
83	409	253	156
84	409	259	150
85	416	259	157
86	409	250	159
87	440	235	205
88	434	240	194
89	411	238	173
90	408	243	165
91	444	253	191
92	442	256	186
93	420	247	173
94	411	243	168
95	400	243	157
96	417	248	169
97	422	248	174
98	417	255	162
99	427	257	170
100	431	262	169
101	441	255	186
102	442	254	188
103	425	249	176
104	418	245	173
105	396	242	154
106	407	249	158
107	421	258	163
108	420	259	161
109	448	256	192
110	432	250	182
111	426	247	179
112	429	251	178
113	432	256	176
114	418	253	165
115	431	256	175
116	409	252	157
117	406	256	150
118	398	260	138
119	414	248	166
120	400	243	157
121	413	252	161
122	409	258	151
123	405	268	137
124	424	259	165
125	411	253	158
126	401	249	152
127	408	240	168
128	412	247	165
129	409	254	155
130	414	258	156
131	424	253	171
132	425	251	174
133	422	247	175
134	430	256	174
135	410	259	151
136	396	253	143
137	408	252	156
138	406	258	148
139	428	262	166
140	441	257	184
141	445	262	183
142	452	263	189
143	436	255	181
144	422	263	159
145	419	262	157
146	413	265	148
147	426	262	164
148	408	247	161
149	411	249	162
150	439	250	189
151	434	247	187
152	431	250	181
153	421	256	165
154	433	269	164
155	432	273	159
156	418	271	147
157	423	258	165
158	428	253	175
159	439	257	182
160	426	267	159
161	418	263	155
162	418	260	158
163	434	255	179
164	445	252	193
165	433	254	179
166	436	247	189
167	459	251	208
168	441	267	174
169	430	263	167
170	423	249	174
171	455	249	206
172	460	251	209
173	439	243	196
174	436	241	195
175	429	251	178
176	446	263	183
177	456	265	191
178	438	267	171
179	446	254	192
180	449	259	190
181	460	263	197
182	468	262	206
183	455	255	200
184	442	254	188
185	446	259	187
186	470	262	208
187	492	259	233
188	494	261	233
189	506	262	244
190	493	260	233
191	473	253	220
192	459	241	218
193	472	254	218
194	476	260	216
195	473	255	218
196	488	246	242
197	496	247	249
198	510	257	253
199	489	256	233
200	481	254	227
201	490	254	236
202	493	257	236
203	494	256	238
204	486	252	234
205	507	251	256
206	534	254	280
207	512	250	262
208	508	249	259
209	527	265	262
210	509	264	245
211	521	264	257
212	509	268	241
213	522	256	266
214	513	257	256
215	531	256	275
216	532	252	280
217	521	254	267
218	528	257	271
219	537	257	280
220	530	257	273
221	544	258	286
222	528	263	265
223	536	259	277
224	540	256	284
225	551	252	299
226	545	255	290
227	534	255	279
228	519	256	263
229	554	258	296
230	580	258	322
231	546	258	288
232	536	257	279
233	533	260	273
234	547	260	287
235	544	262	282
236	565	257	308
237	572	260	312
238	561	274	287
239	565	257	308
240	567	256	311
241	551	253	298
242	556	250	306
243	532	252	280
244	538	259	279
245	536	269	267
246	537	268	269
247	551	267	284
248	572	266	306
249	557	258	299
250	559	253	306
251	591	258	333
252	574	258	316
253	546	256	290
254	552	259	293
255	564	260	304
256	556	260	296
257	571	254	317
258	575	254	321
259	564	258	306
260	574	263	311
261	593	250	343
262	613	251	362
263	588	257	331
264	548	257	291
265	558	248	310
266	561	256	305
267	559	267	292
268	567	254	313
269	569	253	316
270	562	261	301
271	537	257	280
272	543	247	296
273	548	246	302
274	577	246	331
275	593	246	347
276	591	253	338
277	571	257	314
278	552	250	302
279	557	259	298
280	557	262	295
281	555	259	296
282	558	258	300
283	565	264	301
284	589	259	330
285	590	253	337
286	571	261	310
287	551	259	292
288	558	252	306
289	578	246	332
290	578	251	327
291	575	258	317
292	572	256	316
293	574	256	318
294	587	254	333
295	563	264	299
296	554	266	288
297	559	255	304
298	566	252	314
299	544	248	296
300	568	255	313
301	575	256	319
302	557	257	300
303	552	258	294
304	537	259	278
305	537	252	285
306	563	253	310
307	574	253	321
308	571	254	317
309	578	250	328
310	570	253	317
311	575	254	321
312	561	257	304
313	553	260	293
314	571	260	311
315	572	254	318
316	549	249	300
317	549	257	292
318	556	252	304
319	563	252	311
320	569	249	320
321	581	245	336
322	577	251	326
323	561	259	302
324	534	257	277
325	551	249	302
326	572	244	328
327	583	249	334
328	559	251	308
329	533	251	282
330	533	250	283
331	543	262	281
332	562	262	300
333	546	259	287
334	542	262	280
335	559	254	305
336	569	255	314
337	551	258	293
338	541	253	288
339	538	256	282
340	552	249	303
341	536	250	286
342	538	243	295
343	564	252	312
344	540	258	282
345	524	254	270
346	533	251	282
347	532	261	271
348	553	264	289
349	560	264	296
350	543	258	285
351	576	256	320
352	571	258	313
353	549	261	288
354	544	262	282
355	540	257	283
356	554	264	290
357	528	257	271
358	553	253	300
359	563	251	312
360	546	251	295
361	530	255	275
362	556	253	303
363	583	249	334
364	566	258	308
365	554	263	291
366	543	256	287
367	547	249	298
368	567	261	306
369	572	259	313
370	577	257	320
371	594	254	340
372	593	258	335
373	570	260	310
374	573	256	317
375	589	253	336
376	583	259	324
377	572	266	306
378	586	257	329
379	591	250	341
380	601	247	354
381	589	240	349
382	581	251	330
383	615	255	360
384	613	250	363
385	598	243	355
386	577	255	322
387	586	244	342
388	591	246	345
389	587	250	337
390	566	248	318
391	571	260	311
