index	original	background	difference
-----------------------------------------------------
1	605	249	356
2	589	238	351
3	593	236	357
4	616	240	376
5	618	244	374
6	637	252	385
7	632	249	383
8	619	247	372
9	642	254	388
10	648	256	392
11	640	257	383
12	632	245	387
13	634	250	384
14	635	252	383
15	637	255	382
16	653	261	392
17	663	261	402
18	653	258	395
19	647	253	394
20	646	260	386
21	653	253	400
22	633	250	383
23	625	259	366
24	626	261	365
25	657	257	400
26	676	261	415
27	689	266	423
28	651	254	397
29	666	264	402
30	674	265	409
31	642	257	385
32	672	255	417
33	664	267	397
34	649	261	388
35	662	264	398
36	663	271	392
37	658	272	386
38	667	272	395
39	698	263	435
40	696	266	430
41	690	264	426
42	700	270	430
43	718	269	449
44	680	265	415
45	662	269	393
46	681	274	407
47	726	273	453
48	727	267	460
49	707	267	440
50	704	267	437
51	714	269	445
52	724	264	460
53	700	259	441
54	690	267	423
55	696	267	429
56	699	281	418
57	692	278	414
58	707	272	435
59	722	275	447
60	718	269	449
61	725	266	459
62	731	265	466
63	729	275	454
64	719	273	446
65	724	270	454
66	750	270	480
67	741	277	464
68	759	273	486
69	747	280	467
70	757	289	468
71	741	278	463
72	731	280	451
73	753	281	472
74	745	271	474
75	743	268	475
76	719	268	451
77	727	271	456
78	748	274	474
79	770	279	491
80	778	280	498
81	748	274	474
82	744	270	474
83	771	277	494
84	767	273	494
85	755	277	478
86	765	287	478
87	789	283	506
88	783	275	508
89	777	274	503
90	791	268	523
91	790	272	518
92	799	273	526
93	782	261	521
94	768	274	494
95	801	277	524
96	812	274	538
97	796	277	519
98	809	272	537
99	812	271	541
100	823	278	545
101	816	281	535
102	829	272	557
103	815	275	540
104	822	276	546
105	855	277	578
106	848	286	562
107	823	279	544
108	804	272	532
109	848	284	564
110	876	274	602
111	855	276	579
112	857	287	570
113	856	274	582
114	820	272	548
115	824	280	544
116	854	277	577
117	850	276	574
118	870	293	577
119	873	288	585
120	877	269	608
121	867	272	595
122	845	274	571
123	872	287	585
124	864	294	570
125	857	281	576
126	877	281	596
127	884	290	594
128	892	281	611
129	920	279	641
130	909	275	634
