index	original	background	difference
-----------------------------------------------------
1	229	237	-8
2	237	244	-7
3	237	241	-4
4	232	236	-4
5	213	239	-26
6	219	238	-19
7	227	251	-24
8	233	249	-16
9	245	246	-1
10	270	256	14
11	268	260	8
12	249	245	4
13	258	245	13
14	249	247	2
15	226	248	-22
16	239	239	0
17	221	236	-15
18	223	237	-14
19	245	246	-1
20	259	245	14
21	266	249	17
22	279	252	27
23	282	249	33
24	249	247	2
25	233	256	-23
26	255	251	4
27	254	256	-2
28	276	254	22
29	255	251	4
30	244	247	-3
31	260	251	9
32	263	249	14
33	240	260	-20
34	247	259	-12
35	233	261	-28
36	239	255	-16
37	262	255	7
38	263	249	14
39	262	254	8
40	262	254	8
41	266	261	5
42	261	265	-4
43	237	264	-27
44	265	254	11
45	266	255	11
46	261	262	-1
47	260	260	0
48	268	259	9
49	275	268	7
50	251	256	-5
51	270	259	11
52	286	259	27
53	262	257	5
54	270	255	15
55	275	260	15
56	275	251	24
57	270	256	14
58	260	271	-11
59	271	267	4
60	290	261	29
61	265	273	-8
62	274	265	9
63	270	270	0
64	269	265	4
65	274	264	10
66	280	266	14
67	250	273	-23
68	254	258	-4
69	276	262	14
70	287	262	25
71	273	260	13
72	257	260	-3
73	261	261	0
74	258	260	-2
75	267	265	2
76	289	251	38
77	285	263	22
78	272	264	8
79	262	266	-4
80	271	265	6
81	249	264	-15
82	251	258	-7
83	261	266	-5
84	257	271	-14
85	253	266	-13
86	268	253	15
87	283	259	24
88	288	257	31
89	285	267	18
90	267	270	-3
91	268	275	-7
92	267	260	7
93	258	258	0
94	262	264	-2
95	271	279	-8
96	288	272	16
97	272	270	2
98	256	272	-16
99	264	274	-10
100	267	266	1
101	279	270	9
102	290	258	32
103	283	260	23
104	278	264	14
105	261	263	-2
106	275	266	9
107	247	266	-19
108	256	273	-17
109	264	279	-15
110	283	263	20
111	287	260	27
112	288	267	21
113	275	275	0
114	261	270	-9
115	263	265	-2
116	283	269	14
117	281	271	10
118	297	264	33
119	276	269	7
120	276	282	-6
121	256	278	-22
122	264	262	2
123	275	271	4
124	269	261	8
125	267	272	-5
126	274	260	14
127	268	259	9
128	288	264	24
129	282	272	10
130	281	272	9
