index	original	background	difference
-----------------------------------------------------
1	226	237	-11
2	245	244	1
3	241	241	0
4	223	236	-13
5	231	239	-8
6	237	238	-1
7	241	251	-10
8	245	249	-4
9	265	246	19
10	266	256	10
11	283	260	23
12	282	245	37
13	270	245	25
14	267	247	20
15	267	248	19
16	266	239	27
17	255	236	19
18	252	237	15
19	248	246	2
20	247	245	2
21	237	249	-12
22	253	252	1
23	252	249	3
24	253	247	6
25	251	256	-5
26	251	251	0
27	272	256	16
28	271	254	17
29	249	251	-2
30	251	247	4
31	249	251	-2
32	252	249	3
33	250	260	-10
34	257	259	-2
35	253	261	-8
36	262	255	7
37	258	255	3
38	249	249	0
39	256	254	2
40	274	254	20
41	259	261	-2
42	252	265	-13
43	255	264	-9
44	268	254	14
45	276	255	21
46	267	262	5
47	257	260	-3
48	235	259	-24
49	253	268	-15
50	267	256	11
51	264	259	5
52	257	259	-2
53	272	257	15
54	277	255	22
55	255	260	-5
56	273	251	22
57	274	256	18
58	269	271	-2
59	244	267	-23
60	255	261	-6
61	255	273	-18
62	268	265	3
63	267	270	-3
64	255	265	-10
65	256	264	-8
66	265	266	-1
67	258	273	-15
68	250	258	-8
69	253	262	-9
70	287	262	25
71	296	260	36
72	301	260	41
73	278	261	17
74	261	260	1
75	244	265	-21
76	250	251	-1
77	275	263	12
78	265	264	1
79	269	266	3
80	265	265	0
81	256	264	-8
82	259	258	1
83	264	266	-2
84	299	271	28
85	268	266	2
86	269	253	16
87	284	259	25
88	282	257	25
89	272	267	5
90	283	270	13
91	254	275	-21
92	240	260	-20
93	233	258	-25
94	265	264	1
95	286	279	7
96	292	272	20
97	278	270	8
98	260	272	-12
99	264	274	-10
100	284	266	18
101	265	270	-5
102	258	258	0
103	255	260	-5
104	263	264	-1
105	266	263	3
106	269	266	3
107	258	266	-8
108	248	273	-25
109	250	279	-29
110	292	263	29
111	277	260	17
112	243	267	-24
113	228	275	-47
114	272	270	2
115	285	265	20
116	286	269	17
117	269	271	-2
118	266	264	2
119	249	269	-20
120	282	282	0
121	282	278	4
122	285	262	23
123	275	271	4
124	264	261	3
125	258	272	-14
126	273	260	13
127	278	259	19
128	271	264	7
129	286	272	14
130	283	272	11
131	283	272	11
132	283	263	20
133	278	270	8
134	273	271	2
135	252	270	-18
136	248	271	-23
137	261	277	-16
138	277	273	4
139	266	270	-4
140	277	269	8
141	273	270	3
142	281	266	15
143	291	283	8
144	265	282	-17
145	264	279	-15
146	272	277	-5
147	267	274	-7
148	257	262	-5
149	261	259	2
150	290	268	22
151	296	280	16
152	286	277	9
