index	original	background	difference
-----------------------------------------------------
1	433	346	87
2	444	356	88
3	437	362	75
4	422	357	65
5	436	352	84
6	431	352	79
7	404	359	45
8	414	364	50
9	411	360	51
10	418	370	48
11	422	363	59
12	428	359	69
13	439	365	74
14	426	359	67
15	424	350	74
16	419	346	73
17	440	360	80
18	431	357	74
19	443	350	93
20	451	359	92
21	424	363	61
22	421	360	61
23	422	362	60
24	423	361	62
25	433	355	78
26	423	368	55
27	411	371	40
28	405	360	45
29	420	365	55
30	422	371	51
31	417	369	48
32	417	361	56
33	423	369	54
34	420	379	41
35	427	366	61
36	418	363	55
37	419	359	60
38	415	362	53
39	423	359	64
40	433	359	74
41	449	366	83
42	438	363	75
43	455	370	85
44	439	367	72
45	419	353	66
46	441	358	83
47	473	367	106
48	446	364	82
49	448	375	73
50	459	379	80
51	445	377	68
52	430	372	58
53	439	367	72
54	451	380	71
55	445	375	70
56	437	372	65
57	419	374	45
58	426	376	50
59	449	370	79
60	466	373	93
61	453	374	79
62	455	370	85
63	450	376	74
64	430	368	62
65	438	373	65
66	435	379	56
67	464	371	93
68	451	368	83
69	444	363	81
70	467	361	106
71	464	368	96
72	458	377	81
73	435	378	57
74	446	381	65
75	444	374	70
76	450	364	86
77	457	355	102
78	455	367	88
79	456	371	85
80	463	368	95
81	483	373	110
82	449	381	68
83	422	368	54
84	435	373	62
85	459	378	81
86	437	370	67
87	435	371	64
88	439	363	76
89	441	364	77
90	449	374	75
91	460	381	79
92	447	379	68
93	435	372	63
94	448	369	79
95	441	373	68
96	440	367	73
97	434	361	73
98	434	370	64
99	421	372	49
100	438	377	61
101	459	379	80
102	454	376	78
103	414	370	44
104	413	369	44
105	420	378	42
106	452	377	75
107	450	373	77
108	450	371	79
109	469	371	98
110	464	373	91
111	455	370	85
112	460	364	96
113	471	377	94
114	453	375	78
115	429	374	55
116	437	376	61
117	456	372	84
118	440	378	62
119	437	378	59
120	432	369	63
121	435	365	70
122	446	366	80
123	435	378	57
124	410	391	19
125	410	375	35
126	425	368	57
127	427	367	60
128	443	374	69
129	449	381	68
130	456	376	80
131	434	376	58
132	407	369	38
133	417	369	48
134	435	368	67
135	451	375	76
136	451	383	68
137	451	378	73
138	437	377	60
139	444	368	76
140	442	378	64
141	432	386	46
142	421	385	36
143	415	369	46
144	419	369	50
145	410	378	32
146	412	367	45
147	436	365	71
148	433	376	57
149	414	371	43
150	427	381	46
151	439	394	45
152	448	381	67
153	436	372	64
154	453	369	84
155	430	364	66
156	434	369	65
157	438	368	70
158	440	364	76
159	446	374	72
160	454	374	80
161	455	370	85
162	452	370	82
163	448	378	70
164	435	373	62
165	428	373	55
166	432	382	50
167	431	379	52
168	440	376	64
169	452	368	84
170	445	368	77
171	461	366	95
172	457	373	84
173	443	369	74
174	440	372	68
175	438	370	68
176	443	371	72
177	437	363	74
178	422	369	53
179	429	368	61
180	448	379	69
181	442	373	69
182	429	373	56
183	461	373	88
184	468	372	96
185	429	368	61
186	420	373	47
187	443	362	81
188	449	364	85
189	472	373	99
190	434	371	63
191	433	373	60
192	440	374	66
193	445	373	72
194	441	365	76
195	455	364	91
196	439	368	71
197	413	366	47
198	423	368	55
199	439	380	59
200	446	379	67
201	449	374	75
202	447	380	67
203	421	371	50
204	420	367	53
205	442	371	71
206	456	364	92
207	443	365	78
208	435	371	64
209	428	377	51
210	421	372	49
211	425	380	45
212	427	377	50
213	412	366	46
214	421	370	51
215	437	375	62
216	443	374	69
217	440	373	67
218	438	371	67
219	445	361	84
220	417	370	47
221	415	365	50
222	430	366	64
223	429	368	61
224	446	371	75
225	431	374	57
226	439	365	74
227	433	368	65
228	456	361	95
229	481	368	113
230	464	372	92
231	463	369	94
232	472	370	102
233	438	366	72
234	432	367	65
235	445	369	76
236	439	361	78
237	442	363	79
238	427	370	57
239	418	364	54
240	430	357	73
241	455	363	92
242	464	362	102
243	465	364	101
244	431	367	64
245	437	374	63
246	435	378	57
247	440	373	67
248	441	367	74
249	443	360	83
250	471	370	101
251	437	364	73
252	430	367	63
253	444	363	81
254	453	366	87
255	450	369	81
256	438	372	66
257	455	381	74
258	431	371	60
259	437	359	78
260	433	361	72
261	429	368	61
262	448	361	87
263	432	368	64
264	429	371	58
265	423	369	54
266	413	372	41
267	433	373	60
268	434	367	67
269	430	365	65
270	436	363	73
271	429	367	62
272	443	370	73
273	430	364	66
274	436	365	71
275	441	371	70
276	449	374	75
277	460	368	92
278	464	366	98
279	442	365	77
280	441	367	74
281	445	365	80
282	431	360	71
283	426	352	74
284	443	361	82
285	448	357	91
286	438	352	86
287	413	360	53
288	446	368	78
289	441	375	66
290	459	365	94
291	449	351	98
292	450	364	86
293	436	365	71
294	415	357	58
295	418	361	57
296	412	361	51
297	436	368	68
298	423	370	53
299	413	359	54
300	434	359	75
301	434	350	84
302	425	358	67
303	444	354	90
304	459	352	107
305	426	360	66
306	442	365	77
307	423	364	59
308	413	353	60
309	429	351	78
310	440	351	89
311	433	356	77
312	433	361	72
313	424	352	72
314	428	352	76
315	446	353	93
316	449	358	91
317	434	360	74
318	418	362	56
319	427	365	62
320	426	364	62
321	433	368	65
322	422	371	51
323	433	369	64
324	429	365	64
325	422	363	59
326	432	360	72
327	411	354	57
328	428	365	63
329	417	366	51
330	439	362	77
331	441	353	88
332	452	353	99
333	465	358	107
334	451	361	90
335	428	353	75
336	400	359	41
337	424	367	57
338	430	362	68
339	418	356	62
340	412	351	61
341	428	354	74
342	453	362	91
343	424	355	69
