index	original	background	difference
-----------------------------------------------------
1	521	346	175
2	528	356	172
3	550	362	188
4	556	357	199
5	555	352	203
6	567	352	215
7	537	359	178
8	539	364	175
9	556	360	196
10	556	370	186
11	537	363	174
12	520	359	161
13	538	365	173
14	535	359	176
15	546	350	196
16	557	346	211
17	562	360	202
18	555	357	198
19	550	350	200
20	540	359	181
21	542	363	179
22	546	360	186
23	562	362	200
24	543	361	182
25	575	355	220
26	582	368	214
27	561	371	190
28	556	360	196
29	554	365	189
30	540	371	169
31	565	369	196
32	558	361	197
33	544	369	175
34	546	379	167
35	542	366	176
36	542	363	179
37	550	359	191
38	544	362	182
39	558	359	199
40	532	359	173
41	538	366	172
42	544	363	181
43	569	370	199
44	565	367	198
45	575	353	222
46	550	358	192
47	532	367	165
48	532	364	168
49	551	375	176
50	569	379	190
51	584	377	207
52	582	372	210
53	569	367	202
54	569	380	189
55	553	375	178
56	566	372	194
57	553	374	179
58	551	376	175
59	571	370	201
60	577	373	204
61	557	374	183
62	557	370	187
63	576	376	200
64	573	368	205
65	576	373	203
66	571	379	192
67	571	371	200
68	559	368	191
69	546	363	183
70	544	361	183
71	559	368	191
72	563	377	186
73	557	378	179
74	555	381	174
75	578	374	204
76	539	364	175
77	555	355	200
78	570	367	203
79	558	371	187
80	536	368	168
81	556	373	183
82	557	381	176
83	557	368	189
84	552	373	179
85	547	378	169
86	533	370	163
87	545	371	174
88	553	363	190
89	537	364	173
90	549	374	175
91	579	381	198
92	570	379	191
93	572	372	200
94	564	369	195
95	543	373	170
96	552	367	185
97	554	361	193
98	529	370	159
99	534	372	162
100	540	377	163
101	546	379	167
102	547	376	171
103	568	370	198
104	580	369	211
105	547	378	169
106	527	377	150
107	532	373	159
108	549	371	178
109	541	371	170
110	537	373	164
111	544	370	174
112	543	364	179
113	530	377	153
114	543	375	168
115	549	374	175
116	541	376	165
117	557	372	185
118	563	378	185
119	554	378	176
120	566	369	197
121	562	365	197
122	542	366	176
123	551	378	173
124	536	391	145
125	553	375	178
126	559	368	191
127	563	367	196
128	561	374	187
129	566	381	185
130	551	376	175
131	540	376	164
132	551	369	182
133	559	369	190
134	537	368	169
135	539	375	164
136	536	383	153
137	562	378	184
138	573	377	196
139	555	368	187
140	543	378	165
141	566	386	180
142	547	385	162
143	549	369	180
144	567	369	198
145	552	378	174
146	541	367	174
147	540	365	175
148	529	376	153
149	531	371	160
150	541	381	160
151	548	394	154
152	536	381	155
153	551	372	179
154	549	369	180
155	565	364	201
156	556	369	187
157	534	368	166
158	541	364	177
159	567	374	193
160	560	374	186
161	556	370	186
162	537	370	167
163	545	378	167
164	545	373	172
165	552	373	179
166	536	382	154
167	528	379	149
168	530	376	154
169	515	368	147
170	536	368	168
171	540	366	174
172	550	373	177
173	566	369	197
174	540	372	168
175	569	370	199
176	589	371	218
177	571	363	208
178	554	369	185
179	564	368	196
180	553	379	174
181	539	373	166
182	536	373	163
183	529	373	156
184	555	372	183
185	563	368	195
186	544	373	171
187	556	362	194
188	556	364	192
189	558	373	185
190	543	371	172
191	549	373	176
192	549	374	175
193	551	373	178
194	544	365	179
195	550	364	186
196	539	368	171
197	517	366	151
198	547	368	179
199	553	380	173
200	525	379	146
201	517	374	143
202	533	380	153
203	545	371	174
204	541	367	174
205	527	371	156
206	559	364	195
207	548	365	183
208	512	371	141
209	556	377	179
210	564	372	192
211	548	380	168
212	531	377	154
213	527	366	161
214	526	370	156
215	537	375	162
216	522	374	148
217	540	373	167
218	555	371	184
219	555	361	194
220	538	370	168
221	548	365	183
222	538	366	172
223	539	368	171
224	549	371	178
225	543	374	169
226	553	365	188
227	557	368	189
228	557	361	196
229	543	368	175
230	528	372	156
231	533	369	164
232	540	370	170
233	519	366	153
234	504	367	137
235	510	369	141
236	536	361	175
237	580	363	217
238	574	370	204
239	546	364	182
240	538	357	181
241	526	363	163
242	527	362	165
243	527	364	163
244	525	367	158
245	536	374	162
246	522	378	144
247	529	373	156
248	540	367	173
249	530	360	170
250	526	370	156
251	529	364	165
252	519	367	152
253	528	363	165
254	533	366	167
255	518	369	149
256	521	372	149
257	540	381	159
258	530	371	159
259	560	359	201
260	550	361	189
261	537	368	169
262	534	361	173
263	546	368	178
264	542	371	171
265	535	369	166
266	511	372	139
267	519	373	146
268	523	367	156
269	516	365	151
270	526	363	163
271	539	367	172
272	529	370	159
273	559	364	195
274	548	365	183
275	540	371	169
276	512	374	138
277	529	368	161
278	538	366	172
279	530	365	165
280	514	367	147
281	536	365	171
282	525	360	165
283	526	352	174
284	530	361	169
285	531	357	174
286	533	352	181
287	554	360	194
288	548	368	180
289	529	375	154
290	540	365	175
291	537	351	186
292	509	364	145
293	509	365	144
294	521	357	164
295	533	361	172
296	537	361	176
297	521	368	153
298	514	370	144
299	530	359	171
300	534	359	175
301	537	350	187
302	548	358	190
303	540	354	186
304	535	352	183
305	530	360	170
306	536	365	171
307	550	364	186
308	547	353	194
309	527	351	176
310	505	351	154
311	524	356	168
312	521	361	160
313	540	352	188
314	562	352	210
315	537	353	184
316	538	358	180
317	556	360	196
318	536	362	174
319	523	365	158
320	531	364	167
321	527	368	159
322	510	371	139
323	529	369	160
324	528	365	163
325	528	363	165
326	532	360	172
327	524	354	170
328	531	365	166
329	539	366	173
330	511	362	149
331	511	353	158
332	537	353	184
333	538	358	180
334	520	361	159
335	518	353	165
336	508	359	149
337	539	367	172
338	544	362	182
339	518	356	162
340	510	351	159
341	525	354	171
342	516	362	154
343	523	355	168
344	529	368	161
345	512	366	146
346	523	360	163
347	550	362	188
348	547	353	194
349	532	354	178
350	516	368	148
351	498	370	128
352	500	356	144
353	525	360	165
354	520	365	155
355	522	364	158
356	541	355	186
357	526	365	161
358	498	370	128
359	507	362	145
360	519	354	165
361	531	358	173
362	546	357	189
363	528	347	181
364	510	357	153
365	517	358	159
366	537	357	180
367	537	354	183
368	531	355	176
369	517	357	160
370	522	358	164
371	544	356	188
372	524	358	166
373	532	357	175
374	537	360	177
375	550	353	197
376	535	359	176
377	512	361	151
378	503	352	151
379	544	354	190
380	547	365	182
381	534	358	176
382	519	360	159
383	524	361	163
384	520	355	165
385	521	354	167
386	524	349	175
387	519	351	168
388	534	354	180
389	537	356	181
390	542	349	193
391	537	356	181
392	518	360	158
393	536	352	184
394	545	361	184
395	526	366	160
396	520	371	149
397	538	358	180
398	520	349	171
399	516	353	163
400	515	357	158
401	520	356	164
402	520	358	162
403	522	351	171
404	521	354	167
405	528	346	182
406	522	348	174
407	520	351	169
408	509	362	147
409	528	368	160
410	533	362	171
411	544	360	184
412	515	364	151
413	519	366	153
414	516	359	157
415	516	357	159
416	518	370	148
417	536	364	172
418	537	365	172
419	539	367	172
420	517	367	150
421	524	359	165
422	528	363	165
423	530	358	172
424	504	368	136
425	513	362	151
426	518	354	164
427	529	349	180
428	553	356	197
429	547	359	188
430	524	357	167
431	515	354	161
432	518	351	167
433	505	359	146
434	534	357	177
435	561	352	209
436	538	356	182
437	537	358	179
438	541	355	186
439	548	349	199
440	540	351	189
441	541	357	184
442	551	358	193
443	556	358	198
444	544	363	181
445	544	363	181
446	524	355	169
447	503	346	157
448	523	345	178
449	530	350	180
450	547	346	201
451	532	359	173
452	518	361	157
453	523	357	166
454	519	358	161
455	525	351	174
456	521	352	169
457	524	359	165
458	537	360	177
459	535	353	182
460	523	355	168
461	535	357	178
462	520	364	156
463	502	357	145
464	515	349	166
465	522	360	162
466	506	362	144
467	503	355	148
468	505	352	153
469	541	358	183
470	527	361	166
471	543	354	189
472	541	349	192
473	497	347	150
474	494	360	134
475	514	365	149
476	526	369	157
477	526	363	163
478	529	356	173
479	535	357	178
480	529	341	188
481	529	352	177
482	524	356	168
483	525	358	167
484	539	353	186
485	531	353	178
486	527	357	170
487	530	366	164
488	530	349	181
489	520	351	169
490	513	352	161
491	536	347	189
492	531	347	184
493	508	351	157
494	506	348	158
495	531	345	186
496	522	353	169
497	516	355	161
498	528	359	169
499	517	352	165
500	535	356	179
501	544	349	195
502	540	349	191
503	553	345	208
504	520	348	172
505	522	352	170
506	537	346	191
507	545	340	205
508	541	341	200
509	537	346	191
510	543	355	188
511	542	350	192
512	553	340	213
513	556	342	214
514	531	350	181
515	536	353	183
516	527	354	173
517	553	353	200
518	550	351	199
519	556	352	204
520	553	341	212
521	552	340	212
522	543	348	195
523	551	351	200
524	552	354	198
525	567	351	216
526	561	350	211
527	538	344	194
528	549	349	200
529	568	350	218
530	552	343	209
531	556	337	219
532	563	345	218
533	582	346	236
534	568	343	225
535	580	345	235
536	565	358	207
537	572	345	227
538	567	347	220
539	560	357	203
540	550	348	202
541	555	345	210
542	574	350	224
543	571	343	228
544	575	344	231
545	605	347	258
546	603	351	252
547	612	349	263
548	599	352	247
549	611	342	269
550	600	338	262
551	589	342	247
552	571	346	225
553	596	341	255
554	601	346	255
555	585	341	244
556	598	348	250
557	595	347	248
558	591	341	250
559	615	344	271
560	598	342	256
561	593	349	244
562	576	346	230
563	585	343	242
564	615	342	273
565	631	342	289
566	614	344	270
567	604	348	256
568	632	352	280
569	641	348	293
570	609	335	274
571	639	332	307
572	667	347	320
573	649	352	297
574	665	360	305
575	667	357	310
576	651	356	295
577	667	345	322
578	668	341	327
579	670	344	326
580	662	348	314
581	684	348	336
582	694	344	350
583	697	337	360
584	680	328	352
585	710	348	362
586	695	345	350
587	711	342	369
588	741	349	392
589	738	345	393
590	716	349	367
591	729	353	376
592	731	338	393
593	731	343	388
594	739	339	400
595	758	339	419
596	775	340	435
597	740	341	399
598	735	343	392
599	762	348	414
600	759	344	415
601	803	346	457
602	810	343	467
603	818	352	466
604	806	349	457
605	807	345	462
606	790	352	438
607	811	348	463
608	821	337	484
609	842	334	508
610	857	346	511
611	851	345	506
612	846	334	512
613	873	338	535
614	873	342	531
615	850	342	508
616	867	341	526
617	894	342	552
618	924	335	589
619	913	337	576
620	886	349	537
621	923	339	584
622	948	336	612
623	971	339	632
624	978	342	636
625	987	340	647
626	991	342	649
627	981	337	644
628	1045	340	705
629	1064	342	722
630	1058	343	715
631	1075	349	726
632	1122	357	765
633	1172	354	818
634	1149	346	803
635	1134	339	795
636	1155	337	818
637	1178	346	832
638	1189	345	844
639	1188	344	844
640	1222	340	882
641	1263	336	927
642	1271	341	930
643	1283	346	937
644	1346	345	1001
645	1315	338	977
646	1356	344	1012
647	1389	343	1046
648	1371	344	1027
649	1403	346	1057
650	1443	341	1102
651	1466	345	1121
652	1487	345	1142
653	1517	348	1169
654	1504	348	1156
655	1523	344	1179
656	1583	343	1240
657	1582	344	1238
658	1566	332	1234
659	1591	329	1262
660	1583	341	1242
661	1622	337	1285
662	1653	343	1310
663	1673	350	1323
664	1708	345	1363
665	1703	333	1370
666	1727	337	1390
667	1789	346	1443
668	1834	351	1483
669	1860	347	1513
670	1892	344	1548
671	1927	344	1583
672	1972	333	1639
673	2034	338	1696
674	2008	346	1662
675	2003	343	1660
676	2035	346	1689
677	2104	333	1771
678	2152	338	1814
679	2189	336	1853
680	2267	349	1918
681	2375	347	2028
682	2459	343	2116
683	2445	340	2105
684	2424	337	2087
685	2510	335	2175
686	2585	342	2243
687	2606	345	2261
688	2620	341	2279
689	2710	344	2366
690	2706	344	2362
691	2716	344	2372
692	2752	344	2408
693	2842	334	2508
694	2876	334	2542
695	2883	346	2537
696	2920	338	2582
697	2950	338	2612
698	3001	340	2661
699	3084	336	2748
700	3091	347	2744
701	3122	344	2778
702	3155	342	2813
703	3128	336	2792
704	3183	343	2840
705	3241	338	2903
706	3252	330	2922
707	3227	331	2896
708	3245	342	2903
709	3347	346	3001
710	3408	353	3055
711	3388	338	3050
712	3400	334	3066
713	3447	339	3108
714	3501	339	3162
715	3524	343	3181
716	3568	327	3241
717	3659	323	3336
718	3723	330	3393
719	3756	332	3424
720	3814	334	3480
721	3796	328	3468
722	3867	334	3533
723	3922	333	3589
724	3878	338	3540
725	3994	345	3649
726	4069	336	3733
727	4069	325	3744
728	4119	329	3790
729	4280	341	3939
730	4375	340	4035
731	4405	345	4060
732	4451	344	4107
733	4496	342	4154
734	4510	347	4163
735	4510	341	4169
736	4594	332	4262
737	4680	331	4349
738	4735	345	4390
739	4757	337	4420
740	4872	339	4533
741	4927	347	4580
742	4897	338	4559
743	5052	335	4717
744	5103	347	4756
745	5090	341	4749
746	5127	334	4793
747	5142	338	4804
748	5206	335	4871
749	5197	335	4862
750	5251	341	4910
751	5206	336	4870
752	5184	338	4846
753	5208	337	4871
754	5270	336	4934
755	5404	342	5062
756	5311	340	4971
757	5261	346	4915
758	5274	341	4933
759	5279	348	4931
760	5310	345	4965
761	5324	337	4987
762	5320	339	4981
763	5276	329	4947
764	5269	323	4946
765	5335	331	5004
766	5315	333	4982
767	5306	335	4971
768	5322	340	4982
769	5252	333	4919
770	5224	324	4900
771	5288	334	4954
772	5260	342	4918
773	5250	333	4917
774	5270	339	4931
775	5317	343	4974
776	5315	343	4972
777	5213	337	4876
778	5301	336	4965
779	5367	346	5021
780	5429	351	5078
781	5458	342	5116
782	5454	339	5115
783	5524	341	5183
784	5581	335	5246
785	5570	342	5228
786	5509	344	5165
787	5662	345	5317
788	5746	346	5400
789	5721	338	5383
790	5785	330	5455
