index	original	background	difference
-----------------------------------------------------
1	730	249	481
2	726	238	488
3	715	236	479
4	712	240	472
5	712	244	468
6	748	252	496
7	739	249	490
8	740	247	493
9	738	254	484
10	755	256	499
11	767	257	510
12	767	245	522
13	741	250	491
14	774	252	522
15	817	255	562
16	788	261	527
17	791	261	530
18	802	258	544
19	753	253	500
20	738	260	478
21	768	253	515
22	755	250	505
23	772	259	513
24	785	261	524
25	792	257	535
26	776	261	515
27	769	266	503
28	796	254	542
29	792	264	528
30	792	265	527
31	781	257	524
32	789	255	534
33	825	267	558
34	798	261	537
35	786	264	522
36	814	271	543
37	801	272	529
38	796	272	524
39	788	263	525
40	805	266	539
41	791	264	527
42	786	270	516
43	798	269	529
44	792	265	527
45	791	269	522
46	788	274	514
47	804	273	531
48	798	267	531
49	831	267	564
50	864	267	597
51	826	269	557
52	805	264	541
53	809	259	550
54	813	267	546
55	809	267	542
56	818	281	537
57	831	278	553
58	843	272	571
59	840	275	565
60	842	269	573
61	874	266	608
62	849	265	584
63	828	275	553
64	849	273	576
65	840	270	570
66	842	270	572
67	857	277	580
68	840	273	567
69	824	280	544
70	831	289	542
71	833	278	555
72	869	280	589
73	857	281	576
74	878	271	607
75	887	268	619
76	866	268	598
77	846	271	575
78	870	274	596
79	899	279	620
80	892	280	612
81	867	274	593
82	881	270	611
83	879	277	602
84	853	273	580
85	855	277	578
86	896	287	609
87	915	283	632
88	925	275	650
89	927	274	653
90	906	268	638
91	885	272	613
92	903	273	630
93	916	261	655
94	913	274	639
95	932	277	655
96	932	274	658
97	897	277	620
98	883	272	611
99	901	271	630
100	938	278	660
101	937	281	656
102	911	272	639
103	910	275	635
104	943	276	667
105	963	277	686
106	973	286	687
107	959	279	680
108	968	272	696
109	966	284	682
110	972	274	698
111	982	276	706
112	977	287	690
113	959	274	685
114	977	272	705
115	1007	280	727
116	1015	277	738
117	1009	276	733
118	1020	293	727
119	1024	288	736
120	1024	269	755
121	993	272	721
122	1012	274	738
123	1043	287	756
124	1028	294	734
125	1047	281	766
