index	original	background	difference
-----------------------------------------------------
1	465	346	119
2	457	356	101
3	460	362	98
4	454	357	97
5	457	352	105
6	455	352	103
7	450	359	91
8	445	364	81
9	467	360	107
10	472	370	102
11	443	363	80
12	464	359	105
13	465	365	100
14	463	359	104
15	459	350	109
16	448	346	102
17	442	360	82
18	448	357	91
19	452	350	102
20	426	359	67
21	442	363	79
22	452	360	92
23	454	362	92
24	448	361	87
25	449	355	94
26	461	368	93
27	454	371	83
28	450	360	90
29	455	365	90
30	468	371	97
31	452	369	83
32	451	361	90
33	484	369	115
34	462	379	83
35	462	366	96
36	483	363	120
37	460	359	101
38	479	362	117
39	455	359	96
40	476	359	117
41	459	366	93
42	442	363	79
43	448	370	78
44	455	367	88
45	453	353	100
46	467	358	109
47	456	367	89
48	435	364	71
49	441	375	66
50	459	379	80
51	450	377	73
52	462	372	90
53	477	367	110
54	468	380	88
55	467	375	92
56	484	372	112
57	490	374	116
58	465	376	89
59	473	370	103
60	442	373	69
61	422	374	48
62	442	370	72
63	458	376	82
64	453	368	85
65	469	373	96
66	463	379	84
67	466	371	95
68	466	368	98
69	468	363	105
70	476	361	115
71	452	368	84
72	453	377	76
73	454	378	76
74	452	381	71
75	449	374	75
76	436	364	72
77	459	355	104
78	476	367	109
79	445	371	74
80	442	368	74
81	471	373	98
82	467	381	86
83	494	368	126
84	483	373	110
85	473	378	95
86	453	370	83
87	460	371	89
88	467	363	104
89	474	364	110
90	484	374	110
91	475	381	94
92	455	379	76
93	487	372	115
94	490	369	121
95	467	373	94
96	470	367	103
97	459	361	98
98	462	370	92
99	465	372	93
100	460	377	83
101	458	379	79
102	431	376	55
103	459	370	89
104	452	369	83
105	431	378	53
106	456	377	79
107	465	373	92
108	442	371	71
109	456	371	85
110	464	373	91
111	478	370	108
112	483	364	119
113	464	377	87
114	435	375	60
115	424	374	50
116	454	376	78
117	473	372	101
118	460	378	82
119	465	378	87
120	454	369	85
121	458	365	93
122	468	366	102
123	468	378	90
124	474	391	83
125	481	375	106
126	460	368	92
127	467	367	100
128	448	374	74
129	443	381	62
130	461	376	85
131	461	376	85
132	464	369	95
133	449	369	80
134	460	368	92
135	461	375	86
136	453	383	70
137	454	378	76
138	459	377	82
139	444	368	76
140	447	378	69
141	447	386	61
142	441	385	56
143	456	369	87
144	440	369	71
145	451	378	73
146	469	367	102
147	451	365	86
148	470	376	94
149	472	371	101
150	451	381	70
151	449	394	55
