index	original	background	difference
-----------------------------------------------------
1	8176	470	7706
2	8208	480	7728
3	8186	475	7711
4	8108	459	7649
5	8130	468	7662
6	8131	468	7663
7	8024	470	7554
8	8014	462	7552
9	8157	474	7683
10	8115	474	7641
11	8061	480	7581
12	8127	480	7647
13	8137	479	7658
14	8074	464	7610
15	8081	469	7612
16	8122	468	7654
17	8121	470	7651
18	8066	472	7594
19	7983	473	7510
20	8149	476	7673
21	8101	479	7622
22	7999	478	7521
23	7967	480	7487
24	8012	477	7535
25	7999	474	7525
26	8059	478	7581
27	8103	474	7629
28	8124	478	7646
29	8064	485	7579
30	8122	496	7626
31	8151	489	7662
32	8074	487	7587
33	8074	496	7578
34	8187	493	7694
35	8205	484	7721
36	8168	472	7696
37	8193	481	7712
38	8212	488	7724
39	8202	490	7712
40	8252	477	7775
41	8249	490	7759
42	8279	484	7795
43	8287	479	7808
44	8350	488	7862
45	8368	490	7878
46	8400	496	7904
47	8390	500	7890
48	8450	494	7956
49	8521	493	8028
50	8516	505	8011
51	8518	503	8015
52	8554	507	8047
53	8506	502	8004
54	8559	497	8062
55	8564	492	8072
56	8525	493	8032
57	8490	505	7985
58	8460	504	7956
59	8550	505	8045
60	8552	498	8054
61	8578	496	8082
62	8541	494	8047
63	8503	496	8007
64	8514	506	8008
65	8505	512	7993
66	8472	505	7967
67	8518	501	8017
68	8550	503	8047
69	8562	519	8043
70	8578	516	8062
71	8553	518	8035
72	8523	511	8012
73	8562	512	8050
74	8565	523	8042
75	8599	521	8078
76	8594	514	8080
77	8450	520	7930
78	8514	509	8005
79	8600	512	8088
80	8654	510	8144
81	8658	511	8147
82	8586	504	8082
83	8516	493	8023
84	8530	500	8030
85	8579	513	8066
86	8576	526	8050
87	8541	526	8015
88	8446	523	7923
89	8467	515	7952
90	8536	519	8017
91	8532	520	8012
92	8500	514	7986
93	8443	516	7927
94	8415	521	7894
95	8427	514	7913
96	8354	518	7836
97	8347	515	7832
98	8314	519	7795
99	8336	514	7822
100	8327	516	7811
101	8282	515	7767
102	8173	503	7670
103	8145	507	7638
104	8143	524	7619
105	8106	532	7574
106	8037	530	7507
107	8013	532	7481
108	7948	520	7428
109	7960	522	7438
110	7965	524	7441
111	7948	527	7421
112	7849	521	7328
113	7726	528	7198
114	7748	526	7222
115	7775	513	7262
116	7636	524	7112
117	7653	527	7126
118	7618	524	7094
119	7575	526	7049
120	7529	522	7007
121	7517	528	6989
122	7513	537	6976
123	7413	529	6884
124	7388	519	6869
125	7404	525	6879
126	7486	527	6959
127	7370	523	6847
128	7251	513	6738
129	7253	513	6740
130	7259	525	6734
131	7224	526	6698
132	7169	515	6654
133	7134	513	6621
134	7180	518	6662
135	7199	523	6676
136	7246	528	6718
137	7249	523	6726
138	7171	532	6639
139	7220	536	6684
140	7213	540	6673
141	7150	533	6617
142	7123	533	6590
143	7047	529	6518
144	7029	519	6510
145	7065	524	6541
146	7040	537	6503
147	6986	541	6445
148	6910	530	6380
149	6921	528	6393
150	6959	527	6432
151	6913	536	6377
152	6853	528	6325
153	6844	520	6324
154	6836	533	6303
155	6809	530	6279
156	6794	533	6261
157	6786	539	6247
158	6752	532	6220
159	6756	534	6222
160	6742	536	6206
161	6713	533	6180
162	6697	533	6164
163	6624	532	6092
164	6708	540	6168
165	6677	538	6139
166	6595	537	6058
167	6645	534	6111
168	6744	529	6215
169	6651	536	6115
170	6604	530	6074
171	6641	540	6101
172	6620	539	6081
173	6663	531	6132
174	6698	535	6163
175	6646	547	6099
176	6591	546	6045
177	6636	541	6095
178	6648	534	6114
179	6668	539	6129
180	6666	540	6126
181	6635	547	6088
182	6730	541	6189
183	6786	535	6251
184	6731	532	6199
185	6667	526	6141
186	6657	541	6116
187	6725	541	6184
188	6861	538	6323
189	6823	539	6284
190	6876	533	6343
191	6939	532	6407
192	6961	532	6429
193	6897	543	6354
194	6943	551	6392
195	6922	552	6370
196	6906	536	6370
197	6981	543	6438
198	7009	552	6457
199	6996	554	6442
200	7036	547	6489
201	7029	550	6479
202	6945	543	6402
203	7025	534	6491
204	7064	532	6532
205	7083	535	6548
206	7117	539	6578
207	7095	552	6543
208	7152	548	6604
209	7150	551	6599
210	7118	541	6577
211	7188	528	6660
212	7272	533	6739
213	7191	540	6651
214	7255	544	6711
215	7311	544	6767
216	7240	543	6697
217	7258	541	6717
218	7291	536	6755
219	7360	527	6833
220	7337	534	6803
221	7313	551	6762
