index	original	background	difference
-----------------------------------------------------
1	268	237	31
2	279	235	44
3	286	235	51
4	267	226	41
5	270	232	38
6	261	233	28
7	271	228	43
8	271	225	46
9	274	229	45
10	266	227	39
11	258	238	20
12	264	242	22
13	284	241	43
14	286	241	45
15	293	247	46
16	289	251	38
17	277	251	26
18	277	249	28
19	272	256	16
20	267	252	15
21	284	243	41
22	282	232	50
23	288	235	53
24	300	242	58
25	284	237	47
26	268	242	26
27	287	247	40
28	278	243	35
29	287	244	43
30	305	241	64
31	319	238	81
32	291	239	52
33	286	243	43
34	278	256	22
35	273	255	18
36	273	248	25
37	301	246	55
38	301	241	60
39	312	240	72
40	315	254	61
41	319	262	57
42	310	254	56
43	309	253	56
44	312	251	61
45	334	248	86
46	309	242	67
47	298	247	51
48	307	255	52
49	307	264	43
50	316	247	69
51	303	246	57
52	304	247	57
53	335	246	89
54	303	248	55
55	309	256	53
56	335	255	80
57	353	254	99
58	337	245	92
59	309	255	54
60	316	263	53
61	320	261	59
62	323	253	70
63	338	252	86
64	332	253	79
65	350	257	93
66	337	252	85
67	332	264	68
68	347	262	85
69	349	261	88
70	339	257	82
71	333	261	72
72	320	253	67
73	313	253	60
74	320	262	58
75	338	264	74
76	323	262	61
77	342	271	71
78	350	262	88
79	349	256	93
80	351	258	93
81	368	258	110
82	362	265	97
83	371	259	112
84	355	251	104
85	351	259	92
86	366	251	115
87	376	267	109
88	371	264	107
89	358	260	98
90	344	250	94
91	352	258	94
92	363	257	106
93	360	260	100
94	342	256	86
95	361	262	99
96	359	261	98
97	356	268	88
98	368	265	103
99	383	267	116
100	362	255	107
101	381	250	131
102	405	247	158
103	380	251	129
104	367	257	110
105	379	263	116
106	402	254	148
107	409	249	160
108	376	255	121
109	394	246	148
110	420	256	164
111	422	267	155
112	449	274	175
113	420	265	155
114	409	255	154
115	434	249	185
116	445	256	189
117	432	265	167
118	429	254	175
119	440	240	200
120	431	249	182
121	432	260	172
122	438	266	172
123	458	263	195
124	466	259	207
125	461	273	188
126	447	266	181
127	433	262	171
128	408	265	143
129	445	265	180
130	480	264	216
131	478	260	218
132	482	254	228
133	461	260	201
134	462	262	200
135	481	261	220
136	489	255	234
137	506	258	248
138	511	264	247
139	515	263	252
140	502	253	249
141	519	259	260
142	510	257	253
143	516	256	260
144	539	267	272
145	526	269	257
146	515	261	254
147	545	255	290
148	551	259	292
149	563	264	299
150	574	251	323
151	565	264	301
152	561	268	293
153	553	267	286
154	585	261	324
155	593	259	334
156	580	251	329
157	570	250	320
158	575	254	321
159	591	255	336
160	598	255	343
161	594	269	325
162	585	270	315
163	604	258	346
164	620	260	360
165	611	267	344
166	594	261	333
167	617	260	357
168	635	263	372
169	651	268	383
170	667	269	398
171	663	263	400
172	633	264	369
173	650	277	373
174	679	267	412
175	682	258	424
176	664	251	413
177	677	252	425
178	676	265	411
179	681	262	419
180	721	256	465
181	762	257	505
182	748	256	492
183	761	256	505
184	746	259	487
185	765	271	494
186	763	276	487
187	751	268	483
188	769	264	505
189	780	265	515
190	785	266	519
191	818	265	553
192	801	263	538
193	805	259	546
194	789	265	524
195	814	260	554
196	814	260	554
197	816	270	546
198	797	264	533
199	841	261	580
200	873	266	607
201	863	261	602
202	851	262	589
203	879	272	607
204	860	264	596
205	865	267	598
206	869	263	606
207	865	257	608
208	868	251	617
209	878	257	621
210	919	256	663
211	959	247	712
212	946	257	689
213	950	268	682
214	934	260	674
215	970	269	701
216	1006	266	740
217	1027	265	762
218	1059	267	792
219	1071	266	805
220	1035	265	770
221	1025	264	761
222	1068	250	818
223	1122	253	869
224	1129	258	871
225	1144	263	881
226	1151	258	893
227	1163	252	911
228	1170	256	914
229	1227	264	963
230	1240	260	980
231	1232	261	971
232	1223	262	961
233	1281	267	1014
234	1254	261	993
235	1252	265	987
236	1289	264	1025
237	1280	263	1017
238	1266	266	1000
239	1293	270	1023
240	1316	265	1051
241	1305	265	1040
242	1282	268	1014
243	1283	263	1020
244	1287	250	1037
245	1341	263	1078
246	1351	272	1079
247	1333	263	1070
248	1349	254	1095
249	1384	262	1122
250	1421	263	1158
251	1415	261	1154
252	1408	262	1146
253	1448	267	1181
254	1465	254	1211
255	1505	250	1255
256	1516	261	1255
257	1562	275	1287
258	1556	272	1284
259	1617	265	1352
260	1594	263	1331
261	1630	268	1362
262	1697	267	1430
263	1725	259	1466
264	1809	257	1552
265	1870	260	1610
266	1850	254	1596
267	1885	254	1631
268	1920	257	1663
269	1980	268	1712
270	1992	275	1717
271	2025	268	1757
272	2072	262	1810
273	2042	267	1775
274	2088	264	1824
275	2155	268	1887
276	2149	259	1890
277	2157	264	1893
278	2176	260	1916
279	2209	261	1948
280	2272	260	2012
281	2241	267	1974
282	2226	265	1961
283	2290	263	2027
284	2318	261	2057
285	2280	257	2023
286	2297	248	2049
287	2372	251	2121
288	2355	253	2102
289	2368	260	2108
290	2369	265	2104
291	2402	258	2144
292	2423	260	2163
293	2457	259	2198
294	2453	255	2198
295	2459	255	2204
296	2484	262	2222
297	2494	259	2235
298	2556	258	2298
299	2562	264	2298
300	2563	259	2304
301	2605	262	2343
302	2632	259	2373
303	2667	259	2408
304	2734	264	2470
305	2782	267	2515
306	2742	256	2486
307	2838	261	2577
308	2901	269	2632
309	2921	270	2651
310	2941	262	2679
311	3110	253	2857
312	3171	250	2921
313	3145	257	2888
314	3150	255	2895
315	3246	268	2978
316	3341	262	3079
317	3412	258	3154
318	3473	263	3210
319	3525	271	3254
320	3541	261	3280
321	3580	255	3325
322	3641	267	3374
323	3682	258	3424
324	3691	258	3433
325	3771	270	3501
326	3793	268	3525
327	3775	267	3508
328	3822	265	3557
329	3834	262	3572
330	3921	266	3655
331	3931	267	3664
332	3970	272	3698
333	3968	259	3709
334	3938	256	3682
335	3946	258	3688
336	3942	265	3677
337	3944	268	3676
338	3954	257	3697
339	3987	252	3735
340	3968	256	3712
341	3877	266	3611
342	3858	267	3591
343	3888	265	3623
344	3853	264	3589
345	3800	250	3550
346	3910	246	3664
347	3921	260	3661
348	3834	264	3570
349	3825	274	3551
350	3863	267	3596
351	3840	266	3574
352	3949	269	3680
353	4046	265	3781
354	3961	258	3703
355	3951	263	3688
356	3956	258	3698
357	3957	254	3703
358	3964	259	3705
359	4064	259	3805
360	4053	259	3794
361	4098	262	3836
362	4195	259	3936
363	4175	263	3912
364	4229	259	3970
365	4387	256	4131
366	4421	259	4162
367	4434	257	4177
368	4454	259	4195
369	4483	264	4219
370	4517	251	4266
371	4682	253	4429
372	4707	258	4449
373	4799	264	4535
374	4776	252	4524
375	4775	259	4516
376	4823	265	4558
377	4833	263	4570
378	4833	249	4584
379	4962	246	4716
380	5033	255	4778
