index	original	background	difference
-----------------------------------------------------
1	4153	2220	1933
2	4223	2247	1976
3	4238	2251	1987
4	4146	2255	1891
5	4093	2257	1836
6	4061	2254	1807
7	4015	2255	1760
8	4009	2245	1764
9	3971	2259	1712
10	3929	2263	1666
11	3934	2274	1660
12	3927	2292	1635
13	3915	2308	1607
14	3897	2313	1584
15	3906	2290	1616
16	3935	2298	1637
17	3922	2303	1619
18	3930	2323	1607
19	3963	2336	1627
20	3878	2318	1560
21	3964	2318	1646
22	4027	2338	1689
23	4041	2335	1706
24	4066	2323	1743
25	4092	2321	1771
26	4117	2316	1801
27	4181	2331	1850
28	4191	2333	1858
29	4212	2344	1868
30	4301	2356	1945
31	4293	2352	1941
32	4191	2361	1830
33	4225	2350	1875
34	4270	2347	1923
35	4296	2356	1940
36	4299	2340	1959
37	4286	2345	1941
38	4269	2360	1909
39	4289	2370	1919
40	4296	2359	1937
41	4235	2344	1891
42	4247	2368	1879
43	4330	2370	1960
44	4345	2378	1967
45	4310	2359	1951
46	4310	2339	1971
47	4307	2367	1940
48	4271	2366	1905
49	4296	2344	1952
50	4342	2361	1981
51	4351	2378	1973
52	4351	2359	1992
53	4364	2355	2009
54	4363	2361	2002
55	4352	2350	2002
56	4423	2357	2066
57	4422	2384	2038
58	4378	2402	1976
59	4393	2369	2024
60	4418	2368	2050
61	4396	2357	2039
62	4331	2364	1967
63	4350	2370	1980
64	4287	2356	1931
65	4242	2345	1897
66	4294	2365	1929
67	4354	2361	1993
68	4330	2382	1948
69	4271	2408	1863
70	4260	2371	1889
71	4257	2382	1875
72	4336	2378	1958
73	4319	2362	1957
74	4256	2376	1880
75	4328	2390	1938
76	4352	2378	1974
77	4338	2364	1974
78	4312	2360	1952
79	4365	2351	2014
80	4372	2366	2006
81	4362	2391	1971
82	4321	2398	1923
83	4246	2404	1842
84	4244	2393	1851
85	4296	2388	1908
86	4290	2382	1908
87	4254	2359	1895
88	4218	2351	1867
89	4183	2372	1811
90	4195	2373	1822
91	4153	2367	1786
92	4109	2368	1741
93	4057	2375	1682
94	4017	2366	1651
95	4002	2359	1643
96	3970	2371	1599
97	3963	2369	1594
98	3894	2371	1523
99	3862	2372	1490
100	3848	2366	1482
101	3786	2371	1415
102	3763	2393	1370
103	3795	2379	1416
104	3767	2356	1411
105	3730	2377	1353
106	3727	2363	1364
107	3686	2353	1333
108	3658	2361	1297
109	3584	2358	1226
110	3547	2362	1185
111	3548	2376	1172
112	3553	2361	1192
113	3584	2353	1231
114	3563	2357	1206
115	3545	2361	1184
116	3511	2345	1166
117	3551	2351	1200
118	3529	2358	1171
119	3447	2344	1103
120	3449	2342	1107
121	3519	2347	1172
122	3548	2353	1195
123	3573	2367	1206
124	3559	2357	1202
125	3563	2358	1205
126	3580	2351	1229
127	3542	2324	1218
128	3536	2333	1203
129	3615	2345	1270
130	3609	2349	1260
131	3646	2352	1294
132	3648	2338	1310
133	3641	2358	1283
134	3647	2343	1304
135	3690	2339	1351
136	3723	2338	1385
137	3762	2322	1440
138	3801	2326	1475
139	3790	2336	1454
140	3731	2316	1415
141	3776	2320	1456
142	3788	2342	1446
143	3792	2351	1441
144	3819	2329	1490
145	3840	2334	1506
146	3788	2340	1448
147	3833	2331	1502
148	3851	2345	1506
149	3892	2339	1553
150	3874	2314	1560
151	3926	2323	1603
152	3911	2313	1598
153	3830	2308	1522
154	3840	2320	1520
155	3834	2303	1531
156	3871	2276	1595
157	3886	2312	1574
158	3824	2347	1477
159	3822	2326	1496
160	3778	2324	1454
161	3772	2300	1472
162	3752	2307	1445
163	3760	2316	1444
164	3827	2317	1510
165	3748	2298	1450
166	3701	2287	1414
167	3803	2297	1506
168	3724	2296	1428
169	3593	2297	1296
170	3660	2309	1351
171	3683	2313	1370
172	3634	2317	1317
173	3624	2323	1301
174	3623	2306	1317
175	3610	2308	1302
176	3589	2321	1268
177	3585	2317	1268
178	3637	2319	1318
179	3685	2320	1365
180	3657	2313	1344
181	3687	2295	1392
182	3688	2295	1393
183	3671	2278	1393
184	3592	2291	1301
185	3655	2316	1339
186	3688	2325	1363
187	3666	2295	1371
188	3653	2296	1357
189	3648	2302	1346
190	3638	2298	1340
191	3680	2295	1385
192	3682	2284	1398
193	3725	2290	1435
194	3757	2317	1440
195	3856	2310	1546
196	3895	2305	1590
197	3990	2321	1669
198	3988	2313	1675
199	3992	2277	1715
200	3989	2280	1709
201	4067	2289	1778
