index	original	background	difference
-----------------------------------------------------
1	445	346	99
2	461	356	105
3	450	362	88
4	438	357	81
5	441	352	89
6	444	352	92
7	434	359	75
8	427	364	63
9	440	360	80
10	446	370	76
11	447	363	84
12	450	359	91
13	456	365	91
14	442	359	83
15	448	350	98
16	439	346	93
17	446	360	86
18	445	357	88
19	446	350	96
20	450	359	91
21	449	363	86
22	459	360	99
23	459	362	97
24	447	361	86
25	446	355	91
26	447	368	79
27	436	371	65
28	442	360	82
29	455	365	90
30	447	371	76
31	459	369	90
32	456	361	95
33	458	369	89
34	452	379	73
35	460	366	94
36	455	363	92
37	450	359	91
38	462	362	100
39	465	359	106
40	459	359	100
41	452	366	86
42	453	363	90
43	452	370	82
44	444	367	77
45	443	353	90
46	452	358	94
47	462	367	95
48	463	364	99
49	456	375	81
50	462	379	83
51	462	377	85
52	456	372	84
53	471	367	104
54	472	380	92
55	462	375	87
56	470	372	98
57	467	374	93
58	460	376	84
59	458	370	88
60	460	373	87
61	473	374	99
62	463	370	93
63	457	376	81
64	455	368	87
65	461	373	88
66	462	379	83
67	467	371	96
68	460	368	92
69	468	363	105
70	461	361	100
71	453	368	85
72	459	377	82
73	460	378	82
74	456	381	75
75	462	374	88
76	458	364	94
77	459	355	104
78	452	367	85
79	453	371	82
80	456	368	88
81	471	373	98
82	476	381	95
83	470	368	102
84	462	373	89
85	465	378	87
86	461	370	91
87	460	371	89
88	452	363	89
89	462	364	98
90	464	374	90
91	462	381	81
92	460	379	81
93	460	372	88
94	463	369	94
95	457	373	84
96	454	367	87
97	458	361	97
98	458	370	88
99	453	372	81
100	459	377	82
101	465	379	86
102	452	376	76
103	461	370	91
104	459	369	90
105	454	378	76
106	463	377	86
107	466	373	93
108	467	371	96
109	468	371	97
110	459	373	86
111	471	370	101
112	470	364	106
113	469	377	92
114	459	375	84
115	456	374	82
116	463	376	87
117	467	372	95
118	453	378	75
119	449	378	71
120	451	369	82
121	455	365	90
122	457	366	91
123	455	378	77
124	457	391	66
125	468	375	93
126	454	368	86
127	463	367	96
128	460	374	86
129	461	381	80
130	458	376	82
131	463	376	87
132	463	369	94
133	453	369	84
134	455	368	87
135	452	375	77
136	451	383	68
137	462	378	84
138	467	377	90
139	464	368	96
140	463	378	85
141	461	386	75
142	460	385	75
143	459	369	90
144	470	369	101
145	467	378	89
146	453	367	86
147	459	365	94
148	471	376	95
149	468	371	97
150	461	381	80
151	458	394	64
152	447	381	66
153	461	372	89
154	466	369	97
155	468	364	104
156	457	369	88
157	459	368	91
158	457	364	93
159	451	374	77
160	446	374	72
161	454	370	84
162	457	370	87
163	458	378	80
164	441	373	68
165	442	373	69
166	449	382	67
167	454	379	75
168	452	376	76
169	447	368	79
170	447	368	79
171	458	366	92
172	449	373	76
173	445	369	76
174	450	372	78
175	456	370	86
176	452	371	81
177	459	363	96
178	457	369	88
179	457	368	89
180	450	379	71
181	448	373	75
182	446	373	73
183	454	373	81
184	463	372	91
185	458	368	90
186	446	373	73
187	450	362	88
188	459	364	95
189	464	373	91
190	449	371	78
191	447	373	74
192	454	374	80
193	460	373	87
194	462	365	97
195	450	364	86
196	451	368	83
197	443	366	77
198	442	368	74
199	448	380	68
200	463	379	84
201	452	374	78
202	447	380	67
203	457	371	86
204	453	367	86
205	455	371	84
206	454	364	90
207	451	365	86
208	453	371	82
209	454	377	77
210	455	372	83
211	455	380	75
212	455	377	78
213	454	366	88
214	450	370	80
215	450	375	75
216	445	374	71
217	452	373	79
218	452	371	81
219	451	361	90
220	454	370	84
221	454	365	89
222	454	366	88
223	452	368	84
224	451	371	80
225	444	374	70
226	440	365	75
227	455	368	87
228	451	361	90
229	453	368	85
230	460	372	88
231	454	369	85
232	440	370	70
233	438	366	72
234	453	367	86
235	458	369	89
236	443	361	82
237	444	363	81
238	440	370	70
239	438	364	74
240	453	357	96
241	455	363	92
242	453	362	91
243	448	364	84
244	445	367	78
245	450	374	76
246	446	378	68
247	432	373	59
248	448	367	81
249	453	360	93
250	445	370	75
251	456	364	92
252	448	367	81
253	449	363	86
254	444	366	78
255	435	369	66
256	445	372	73
257	447	381	66
258	435	371	64
259	434	359	75
260	444	361	83
261	446	368	78
262	445	361	84
263	446	368	78
264	448	371	77
265	447	369	78
266	446	372	74
267	451	373	78
268	449	367	82
269	447	365	82
270	437	363	74
271	430	367	63
272	430	370	60
273	440	364	76
274	440	365	75
275	453	371	82
276	445	374	71
277	431	368	63
278	434	366	68
279	440	365	75
280	438	367	71
281	448	365	83
282	441	360	81
283	443	352	91
284	437	361	76
285	437	357	80
286	437	352	85
287	438	360	78
288	439	368	71
289	439	375	64
290	445	365	80
291	441	351	90
292	436	364	72
293	444	365	79
294	440	357	83
295	431	361	70
296	427	361	66
297	438	368	70
298	442	370	72
299	455	359	96
300	456	359	97
301	445	350	95
302	435	358	77
303	440	354	86
304	449	352	97
305	444	360	84
306	441	365	76
307	445	364	81
308	447	353	94
309	445	351	94
310	428	351	77
311	436	356	80
312	441	361	80
313	439	352	87
314	434	352	82
315	436	353	83
316	434	358	76
317	435	360	75
318	435	362	73
319	447	365	82
320	437	364	73
321	441	368	73
322	442	371	71
323	444	369	75
324	434	365	69
325	432	363	69
326	437	360	77
327	437	354	83
328	436	365	71
329	443	366	77
330	444	362	82
331	440	353	87
332	444	353	91
333	439	358	81
334	435	361	74
335	438	353	85
336	442	359	83
337	440	367	73
338	436	362	74
339	423	356	67
340	416	351	65
341	432	354	78
342	439	362	77
343	443	355	88
344	438	368	70
345	436	366	70
346	443	360	83
347	442	362	80
348	440	353	87
349	442	354	88
350	445	368	77
351	438	370	68
352	435	356	79
353	439	360	79
354	444	365	79
355	439	364	75
356	443	355	88
357	442	365	77
358	433	370	63
359	440	362	78
360	439	354	85
361	452	358	94
362	449	357	92
363	434	347	87
364	433	357	76
365	439	358	81
366	440	357	83
367	451	354	97
368	438	355	83
369	424	357	67
370	429	358	71
371	439	356	83
372	436	358	78
373	451	357	94
374	445	360	85
375	438	353	85
376	436	359	77
377	433	361	72
378	434	352	82
379	437	354	83
380	441	365	76
381	446	358	88
