index	original	background	difference
-----------------------------------------------------
1	467	4415	-3948
2	476	4431	-3955
3	473	4454	-3981
4	486	4448	-3962
5	475	4406	-3931
6	493	4412	-3919
7	493	4435	-3942
8	476	4422	-3946
9	450	4429	-3979
10	460	4436	-3976
11	475	4409	-3934
12	471	4421	-3950
13	487	4435	-3948
14	491	4405	-3914
15	490	4407	-3917
16	476	4419	-3943
17	488	4402	-3914
18	483	4394	-3911
19	462	4424	-3962
20	469	4418	-3949
21	488	4433	-3945
22	480	4429	-3949
23	479	4410	-3931
24	492	4421	-3929
25	494	4411	-3917
26	489	4427	-3938
27	491	4420	-3929
28	495	4402	-3907
29	501	4420	-3919
30	488	4446	-3958
31	487	4441	-3954
32	484	4454	-3970
33	499	4448	-3949
34	503	4429	-3926
35	506	4428	-3922
36	511	4437	-3926
37	506	4423	-3917
38	504	4447	-3943
39	481	4433	-3952
40	490	4428	-3938
41	498	4436	-3938
42	496	4468	-3972
43	500	4478	-3978
44	494	4452	-3958
45	480	4464	-3984
46	473	4447	-3974
47	513	4447	-3934
48	502	4462	-3960
49	491	4444	-3953
50	505	4431	-3926
51	493	4439	-3946
52	508	4449	-3941
53	529	4449	-3920
54	504	4424	-3920
55	471	4444	-3973
56	489	4471	-3982
57	501	4470	-3969
58	476	4483	-4007
59	493	4479	-3986
60	484	4450	-3966
61	469	4445	-3976
62	478	4463	-3985
63	497	4456	-3959
64	490	4466	-3976
65	481	4485	-4004
66	499	4476	-3977
67	503	4445	-3942
68	478	4450	-3972
69	480	4478	-3998
70	483	4484	-4001
71	497	4458	-3961
72	491	4442	-3951
73	494	4447	-3953
74	506	4458	-3952
75	501	4465	-3964
76	490	4443	-3953
77	528	4449	-3921
78	545	4459	-3914
79	497	4446	-3949
80	501	4460	-3959
81	512	4495	-3983
82	512	4479	-3967
83	496	4493	-3997
84	495	4472	-3977
85	497	4448	-3951
86	512	4464	-3952
87	500	4464	-3964
88	507	4481	-3974
89	512	4487	-3975
90	505	4482	-3977
91	515	4474	-3959
92	541	4465	-3924
93	522	4472	-3950
94	494	4485	-3991
95	506	4468	-3962
96	514	4493	-3979
97	496	4527	-4031
98	484	4491	-4007
99	507	4494	-3987
100	507	4496	-3989
101	486	4448	-3962
102	496	4465	-3969
103	489	4483	-3994
104	482	4495	-4013
105	483	4476	-3993
106	488	4470	-3982
107	456	4476	-4020
108	470	4479	-4009
109	478	4489	-4011
110	506	4480	-3974
111	519	4505	-3986
112	481	4516	-4035
113	463	4534	-4071
114	475	4526	-4051
115	502	4517	-4015
116	500	4513	-4013
117	494	4503	-4009
118	515	4511	-3996
119	504	4507	-4003
120	491	4491	-4000
121	504	4496	-3992
122	517	4512	-3995
123	487	4510	-4023
124	476	4533	-4057
125	491	4504	-4013
126	505	4481	-3976
127	505	4503	-3998
128	518	4527	-4009
129	502	4492	-3990
130	509	4467	-3958
131	484	4482	-3998
132	483	4470	-3987
133	499	4489	-3990
134	479	4495	-4016
135	471	4507	-4036
136	527	4505	-3978
137	524	4472	-3948
138	512	4504	-3992
139	511	4520	-4009
140	496	4485	-3989
141	504	4484	-3980
142	505	4503	-3998
143	510	4501	-3991
144	499	4492	-3993
145	489	4473	-3984
146	504	4483	-3979
147	483	4526	-4043
148	497	4542	-4045
149	477	4510	-4033
150	479	4510	-4031
151	488	4523	-4035
152	507	4517	-4010
153	500	4512	-4012
154	506	4465	-3959
155	516	4487	-3971
156	493	4512	-4019
157	465	4512	-4047
158	492	4510	-4018
159	496	4513	-4017
160	488	4505	-4017
161	482	4502	-4020
162	502	4484	-3982
163	497	4494	-3997
164	527	4508	-3981
165	520	4498	-3978
166	497	4510	-4013
167	469	4485	-4016
168	470	4487	-4017
169	473	4500	-4027
170	481	4488	-4007
171	491	4472	-3981
172	485	4480	-3995
173	484	4493	-4009
174	481	4483	-4002
175	490	4519	-4029
176	499	4503	-4004
177	501	4506	-4005
178	524	4492	-3968
179	493	4497	-4004
180	489	4521	-4032
181	511	4534	-4023
182	506	4535	-4029
183	490	4516	-4026
184	475	4487	-4012
185	471	4519	-4048
186	490	4537	-4047
187	461	4517	-4056
188	473	4475	-4002
189	509	4502	-3993
190	514	4504	-3990
191	516	4482	-3966
192	497	4478	-3981
193	477	4501	-4024
194	490	4508	-4018
195	469	4520	-4051
196	468	4521	-4053
197	471	4498	-4027
198	484	4510	-4026
199	507	4542	-4035
200	513	4526	-4013
201	485	4505	-4020
202	472	4514	-4042
203	478	4520	-4042
204	498	4485	-3987
205	491	4481	-3990
206	492	4517	-4025
207	471	4533	-4062
208	469	4524	-4055
209	469	4497	-4028
210	501	4516	-4015
211	493	4522	-4029
212	477	4501	-4024
213	471	4501	-4030
214	487	4506	-4019
215	505	4514	-4009
216	516	4519	-4003
217	498	4531	-4033
218	507	4532	-4025
219	478	4514	-4036
220	489	4510	-4021
221	492	4536	-4044
222	494	4512	-4018
223	467	4478	-4011
224	502	4484	-3982
225	498	4505	-4007
226	489	4507	-4018
227	516	4530	-4014
228	503	4523	-4020
229	501	4491	-3990
230	490	4522	-4032
231	491	4529	-4038
232	502	4520	-4018
233	493	4529	-4036
234	496	4543	-4047
235	470	4523	-4053
236	482	4516	-4034
237	496	4516	-4020
238	488	4525	-4037
239	488	4543	-4055
240	475	4523	-4048
241	477	4498	-4021
242	491	4534	-4043
243	496	4548	-4052
244	514	4540	-4026
245	484	4530	-4046
246	476	4556	-4080
247	503	4537	-4034
248	490	4532	-4042
249	473	4520	-4047
250	485	4502	-4017
251	486	4515	-4029
252	512	4524	-4012
253	517	4526	-4009
254	500	4533	-4033
255	470	4528	-4058
256	475	4533	-4058
257	488	4534	-4046
258	496	4521	-4025
259	496	4540	-4044
260	503	4560	-4057
261	503	4570	-4067
262	511	4561	-4050
263	502	4539	-4037
264	499	4535	-4036
265	500	4541	-4041
266	508	4538	-4030
267	514	4555	-4041
268	541	4559	-4018
269	521	4535	-4014
270	474	4505	-4031
271	471	4501	-4030
272	481	4533	-4052
273	487	4545	-4058
274	496	4533	-4037
275	476	4522	-4046
276	482	4518	-4036
277	507	4537	-4030
278	473	4544	-4071
279	447	4516	-4069
280	464	4531	-4067
281	483	4533	-4050
282	481	4518	-4037
283	500	4537	-4037
284	508	4501	-3993
285	508	4514	-4006
286	511	4516	-4005
287	490	4517	-4027
288	479	4534	-4055
289	490	4531	-4041
290	487	4535	-4048
291	504	4518	-4014
292	508	4522	-4014
293	480	4518	-4038
294	457	4520	-4063
295	446	4532	-4086
296	458	4526	-4068
297	469	4512	-4043
298	477	4536	-4059
299	455	4512	-4057
300	456	4496	-4040
301	452	4538	-4086
302	455	4536	-4081
303	473	4540	-4067
304	477	4541	-4064
305	473	4514	-4041
306	481	4515	-4034
307	458	4507	-4049
308	480	4533	-4053
309	485	4527	-4042
310	482	4525	-4043
311	466	4525	-4059
312	466	4550	-4084
313	471	4530	-4059
314	475	4508	-4033
315	482	4510	-4028
316	475	4525	-4050
317	451	4501	-4050
318	453	4527	-4074
319	476	4530	-4054
320	465	4540	-4075
321	464	4545	-4081
322	476	4529	-4053
323	482	4526	-4044
324	479	4527	-4048
325	469	4539	-4070
326	482	4562	-4080
327	464	4533	-4069
328	484	4512	-4028
329	478	4524	-4046
330	471	4520	-4049
331	482	4544	-4062
332	477	4548	-4071
333	474	4508	-4034
334	485	4530	-4045
335	448	4535	-4087
336	453	4523	-4070
337	476	4524	-4048
338	491	4532	-4041
339	479	4510	-4031
340	480	4503	-4023
341	479	4516	-4037
342	481	4504	-4023
343	458	4510	-4052
344	476	4527	-4051
345	496	4530	-4034
346	495	4525	-4030
347	473	4533	-4060
348	476	4542	-4066
349	461	4557	-4096
350	455	4558	-4103
351	490	4538	-4048
352	495	4529	-4034
353	456	4537	-4081
354	470	4541	-4071
355	481	4538	-4057
356	495	4565	-4070
357	490	4542	-4052
358	466	4533	-4067
359	452	4534	-4082
360	492	4534	-4042
361	502	4541	-4039
362	492	4518	-4026
363	488	4536	-4048
364	510	4527	-4017
365	498	4538	-4040
366	491	4540	-4049
367	504	4550	-4046
368	527	4573	-4046
369	514	4561	-4047
370	497	4547	-4050
371	506	4549	-4043
372	506	4561	-4055
373	510	4577	-4067
374	479	4558	-4079
375	475	4542	-4067
376	481	4574	-4093
377	480	4533	-4053
378	473	4531	-4058
379	460	4540	-4080
380	486	4525	-4039
381	498	4522	-4024
382	491	4536	-4045
383	459	4554	-4095
384	474	4572	-4098
385	484	4564	-4080
386	527	4579	-4052
387	526	4570	-4044
388	492	4557	-4065
389	483	4540	-4057
390	475	4556	-4081
391	477	4554	-4077
392	497	4540	-4043
393	491	4556	-4065
394	474	4571	-4097
395	458	4561	-4103
396	463	4548	-4085
397	485	4554	-4069
398	484	4583	-4099
399	487	4579	-4092
400	495	4559	-4064
401	481	4530	-4049
402	489	4538	-4049
403	492	4544	-4052
404	495	4515	-4020
405	502	4510	-4008
406	509	4518	-4009
407	515	4542	-4027
408	522	4544	-4022
409	516	4551	-4035
410	509	4540	-4031
411	508	4523	-4015
412	496	4530	-4034
413	486	4554	-4068
414	493	4578	-4085
415	474	4579	-4105
416	503	4532	-4029
417	505	4512	-4007
418	492	4515	-4023
419	506	4520	-4014
420	499	4537	-4038
421	493	4530	-4037
422	483	4518	-4035
423	505	4538	-4033
424	521	4539	-4018
425	519	4534	-4015
426	484	4556	-4072
427	503	4569	-4066
428	505	4556	-4051
429	473	4555	-4082
430	485	4567	-4082
431	505	4562	-4057
432	512	4522	-4010
433	507	4531	-4024
434	513	4535	-4022
435	503	4546	-4043
436	497	4555	-4058
437	507	4550	-4043
438	545	4556	-4011
439	527	4534	-4007
440	497	4531	-4034
441	511	4513	-4002
442	514	4542	-4028
443	511	4528	-4017
444	524	4504	-3980
445	500	4527	-4027
446	495	4543	-4048
447	521	4540	-4019
448	527	4534	-4007
449	517	4516	-3999
450	513	4526	-4013
451	513	4533	-4020
452	522	4544	-4022
453	530	4569	-4039
454	529	4564	-4035
455	517	4546	-4029
456	540	4524	-3984
457	542	4526	-3984
458	538	4542	-4004
459	533	4549	-4016
460	553	4555	-4002
461	540	4548	-4008
462	524	4532	-4008
463	537	4517	-3980
464	533	4527	-3994
465	538	4558	-4020
466	521	4578	-4057
467	524	4554	-4030
468	531	4560	-4029
469	546	4551	-4005
470	550	4519	-3969
471	531	4538	-4007
472	539	4537	-3998
473	553	4534	-3981
474	559	4542	-3983
475	545	4533	-3988
476	548	4528	-3980
477	549	4534	-3985
478	537	4541	-4004
479	518	4565	-4047
480	561	4591	-4030
481	538	4555	-4017
482	528	4561	-4033
483	556	4559	-4003
484	553	4524	-3971
485	523	4518	-3995
486	549	4527	-3978
487	549	4529	-3980
488	560	4552	-3992
489	543	4538	-3995
490	528	4543	-4015
491	526	4537	-4011
492	550	4543	-3993
493	567	4550	-3983
494	584	4568	-3984
495	576	4583	-4007
496	588	4541	-3953
497	587	4536	-3949
498	576	4531	-3955
499	583	4535	-3952
500	603	4531	-3928
501	582	4508	-3926
502	579	4542	-3963
503	570	4551	-3981
504	569	4532	-3963
505	597	4525	-3928
506	626	4527	-3901
507	583	4534	-3951
508	590	4551	-3961
509	602	4524	-3922
510	615	4547	-3932
511	628	4544	-3916
512	636	4537	-3901
513	631	4557	-3926
514	628	4576	-3948
515	593	4543	-3950
516	605	4536	-3931
517	643	4574	-3931
518	656	4558	-3902
519	650	4531	-3881
520	626	4520	-3894
521	648	4517	-3869
522	678	4534	-3856
523	645	4520	-3875
524	661	4519	-3858
525	651	4533	-3882
526	660	4567	-3907
527	685	4565	-3880
528	670	4543	-3873
529	655	4540	-3885
530	689	4550	-3861
531	669	4534	-3865
532	665	4498	-3833
533	672	4511	-3839
534	683	4526	-3843
535	691	4558	-3867
536	679	4540	-3861
537	704	4542	-3838
538	707	4564	-3857
539	709	4543	-3834
540	723	4549	-3826
541	716	4541	-3825
542	760	4563	-3803
543	765	4563	-3798
544	758	4566	-3808
545	774	4540	-3766
546	775	4545	-3770
547	771	4546	-3775
548	759	4536	-3777
549	738	4538	-3800
550	755	4553	-3798
551	797	4552	-3755
552	792	4556	-3764
553	795	4550	-3755
554	821	4543	-3722
555	822	4560	-3738
556	844	4581	-3737
